rank,t_center_s,t_start_s,t_end_s,window_s,d_frac,d_hp,wave,n_frames,plates_med,plates_max,plates_at_t0,ring_med,ring_max,ring_at_t0,boss_banner,boss_txt_px,combat_text_runs,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal
1,864.7750,864.7333,864.8167,0.0834,-1.0000,-20005,160,41,6.0,13,13,1.0,4,2,0,0,213,0.03129051,0.00061680,0.02582321,0.00780430,0.00496624,0.00202787
2,850.5417,850.5000,850.5833,0.0833,-0.4218,-8439,160,41,6.0,11,6,1.0,4,2,0,122,214,0.04948785,0.00513792,0.01022328,0.00845920,0.00406684,0.00234616
3,847.6083,847.5667,847.6500,0.0833,-0.4073,-8149,160,41,5.0,10,10,2.0,4,4,0,0,136,0.05474875,0.00510995,0.01063947,0.01361015,0.00558931,0.00301698
4,845.7250,845.6833,845.7667,0.0834,-0.3373,-6748,160,41,6.0,11,7,0.0,3,2,0,125,33,0.06445843,0.00497589,0.01545959,0.01346692,0.00561101,0.00147521
5,818.9583,818.9167,819.0000,0.0833,-0.2842,-5685,159,41,3.0,5,2,0.0,2,0,0,249,129,0.03091580,0.00244695,0.00641879,0.01151283,0.01729408,0.00222801
6,855.7250,855.6833,855.7667,0.0834,-0.2506,-5014,160,41,5.0,10,7,0.0,3,1,0,0,137,0.05932051,0.00342351,0.01725068,0.00563175,0.00392313,0.00151379
7,737.7417,737.7000,737.7833,0.0833,-0.2223,-4448,154,41,5.0,11,6,0.0,3,0,0,387,83,0.04754340,0.00435137,0.00285735,0.00953270,0.00733845,0.00200328
8,835.7083,835.6667,835.7500,0.0833,-0.1862,-3725,159,41,3.0,8,4,1.0,3,1,0,0,113,0.04925637,0.00099248,0.02172791,0.00920235,0.00596595,0.00217448
9,833.0417,833.0000,833.0833,0.0833,-0.1842,-3684,159,41,2.0,6,4,0.0,2,2,0,368,308,0.07179736,0.00447820,0.02055604,0.00595679,0.01629196,0.00250579
10,849.5916,849.5500,849.6333,0.0833,-0.1776,-3553,160,41,4.0,8,6,0.0,1,0,0,0,112,0.04469618,0.00248167,0.01532359,0.00693866,0.01178964,0.00374518
11,740.3250,740.2833,740.3667,0.0834,-0.1770,-3541,154,41,4.0,7,5,0.0,2,0,0,0,16,0.06270206,0.00212047,0.00374470,0.00917149,0.00533468,0.00236931
