t_s,hp_cur,hp_max,hp_frac
675.0000,20005,20005,1.000000
675.0167,20005,20005,1.000000
675.0333,20005,20005,1.000000
675.0500,20005,20005,1.000000
675.0667,20005,20005,1.000000
675.0833,20005,20005,1.000000
675.1000,20005,20005,1.000000
675.1167,20005,20005,1.000000
675.1333,20005,20005,1.000000
675.1500,20005,20005,1.000000
675.1667,20005,20005,1.000000
675.1833,20005,20005,1.000000
675.2000,20005,20005,1.000000
675.2167,20005,20005,1.000000
675.2333,20005,20005,1.000000
675.2500,20005,20005,1.000000
675.2667,20005,20005,1.000000
675.2833,20005,20005,1.000000
675.3000,20005,20005,1.000000
675.3167,20005,20005,1.000000
675.3333,20005,20005,1.000000
675.3500,20005,20005,1.000000
675.3667,20005,20005,1.000000
675.3833,20005,20005,1.000000
675.4000,20005,20005,1.000000
675.4167,20005,20005,1.000000
675.4333,20005,20005,1.000000
675.4500,20005,20005,1.000000
675.4667,20005,20005,1.000000
675.4833,20005,20005,1.000000
675.5000,20005,20005,1.000000
675.5167,20005,20005,1.000000
675.5333,20005,20005,1.000000
675.5500,20005,20005,1.000000
675.5667,20005,20005,1.000000
675.5833,20005,20005,1.000000
675.6000,20005,20005,1.000000
675.6167,20005,20005,1.000000
675.6333,20005,20005,1.000000
675.6500,20005,20005,1.000000
675.6667,20005,20005,1.000000
675.6833,20005,20005,1.000000
675.7000,20005,20005,1.000000
675.7167,20005,20005,1.000000
675.7333,20005,20005,1.000000
675.7500,20005,20005,1.000000
675.7667,20005,20005,1.000000
675.7833,20005,20005,1.000000
675.8000,20005,20005,1.000000
675.8167,20005,20005,1.000000
675.8333,20005,20005,1.000000
675.8500,20005,20005,1.000000
675.8667,20005,20005,1.000000
675.8833,20005,20005,1.000000
675.9000,20005,20005,1.000000
675.9167,20005,20005,1.000000
675.9333,20005,20005,1.000000
675.9500,20005,20005,1.000000
675.9667,20005,20005,1.000000
675.9833,20005,20005,1.000000
676.0000,20005,20005,1.000000
676.0167,20005,20005,1.000000
676.0333,20005,20005,1.000000
676.0500,20005,20005,1.000000
676.0667,20005,20005,1.000000
676.0833,20005,20005,1.000000
676.1000,20005,20005,1.000000
676.1167,20005,20005,1.000000
676.1333,20005,20005,1.000000
676.1500,20005,20005,1.000000
676.1667,20005,20005,1.000000
676.1833,20005,20005,1.000000
676.2000,20005,20005,1.000000
676.2167,20005,20005,1.000000
676.2333,20005,20005,1.000000
676.2500,20005,20005,1.000000
676.2667,20005,20005,1.000000
676.2833,20005,20005,1.000000
676.3000,20005,20005,1.000000
676.3167,20005,20005,1.000000
676.3333,20005,20005,1.000000
676.3500,20005,20005,1.000000
676.3667,20005,20005,1.000000
676.3833,20005,20005,1.000000
676.4000,20005,20005,1.000000
676.4167,20005,20005,1.000000
676.4333,20005,20005,1.000000
676.4500,20005,20005,1.000000
676.4667,20005,20005,1.000000
676.4833,20005,20005,1.000000
676.5000,20005,20005,1.000000
676.5167,20005,20005,1.000000
676.5333,20005,20005,1.000000
676.5500,20005,20005,1.000000
676.5667,20005,20005,1.000000
676.5833,20005,20005,1.000000
676.6000,20005,20005,1.000000
676.6167,20005,20005,1.000000
676.6333,20005,20005,1.000000
676.6500,20005,20005,1.000000
676.6667,20005,20005,1.000000
676.6833,20005,20005,1.000000
676.7000,20005,20005,1.000000
676.7167,20005,20005,1.000000
676.7333,20005,20005,1.000000
676.7500,20005,20005,1.000000
676.7667,20005,20005,1.000000
676.7833,20005,20005,1.000000
676.8000,20005,20005,1.000000
676.8167,20005,20005,1.000000
676.8333,20005,20005,1.000000
676.8500,20005,20005,1.000000
676.8667,20005,20005,1.000000
676.8833,20005,20005,1.000000
676.9000,20005,20005,1.000000
676.9167,20005,20005,1.000000
676.9333,20005,20005,1.000000
676.9500,20005,20005,1.000000
676.9667,20005,20005,1.000000
676.9833,20005,20005,1.000000
677.0000,20005,20005,1.000000
677.0167,20005,20005,1.000000
677.0333,20005,20005,1.000000
677.0500,20005,20005,1.000000
677.0667,20005,20005,1.000000
677.0833,20005,20005,1.000000
677.1000,20005,20005,1.000000
677.1167,20005,20005,1.000000
677.1333,20005,20005,1.000000
677.1500,20005,20005,1.000000
677.1667,20005,20005,1.000000
677.1833,20005,20005,1.000000
677.2000,20005,20005,1.000000
677.2167,20005,20005,1.000000
677.2333,20005,20005,1.000000
677.2500,20005,20005,1.000000
677.2667,20005,20005,1.000000
677.2833,20005,20005,1.000000
677.3000,20005,20005,1.000000
677.3167,20005,20005,1.000000
677.3333,20005,20005,1.000000
677.3500,20005,20005,1.000000
677.3667,20005,20005,1.000000
677.3833,20005,20005,1.000000
677.4000,20005,20005,1.000000
677.4167,20005,20005,1.000000
677.4333,20005,20005,1.000000
677.4500,20005,20005,1.000000
677.4667,20005,20005,1.000000
677.4833,20005,20005,1.000000
677.5000,20005,20005,1.000000
677.5167,20005,20005,1.000000
677.5333,20005,20005,1.000000
677.5500,20005,20005,1.000000
677.5667,20005,20005,1.000000
677.5833,20005,20005,1.000000
677.6000,20005,20005,1.000000
677.6167,20005,20005,1.000000
677.6333,20005,20005,1.000000
677.6500,20005,20005,1.000000
677.6667,20005,20005,1.000000
677.6833,20005,20005,1.000000
677.7000,20005,20005,1.000000
677.7167,20005,20005,1.000000
677.7333,20005,20005,1.000000
677.7500,20005,20005,1.000000
677.7667,20005,20005,1.000000
677.7833,20005,20005,1.000000
677.8000,20005,20005,1.000000
677.8167,20005,20005,1.000000
677.8333,20005,20005,1.000000
677.8500,20005,20005,1.000000
677.8667,20005,20005,1.000000
677.8833,20005,20005,1.000000
677.9000,20005,20005,1.000000
677.9167,20005,20005,1.000000
677.9333,20005,20005,1.000000
677.9500,20005,20005,1.000000
677.9667,20005,20005,1.000000
677.9833,20005,20005,1.000000
678.0000,20005,20005,1.000000
678.0167,20005,20005,1.000000
678.0333,20005,20005,1.000000
678.0500,20005,20005,1.000000
678.0667,20005,20005,1.000000
678.0833,20005,20005,1.000000
678.1000,20005,20005,1.000000
678.1167,20005,20005,1.000000
678.1333,20005,20005,1.000000
678.1500,20005,20005,1.000000
678.1667,20005,20005,1.000000
678.1833,20005,20005,1.000000
678.2000,20005,20005,1.000000
678.2167,20005,20005,1.000000
678.2333,20005,20005,1.000000
678.2500,20005,20005,1.000000
678.2667,20005,20005,1.000000
678.2833,20005,20005,1.000000
678.3000,20005,20005,1.000000
678.3167,20005,20005,1.000000
678.3333,20005,20005,1.000000
678.3500,20005,20005,1.000000
678.3667,20005,20005,1.000000
678.3833,20005,20005,1.000000
678.4000,20005,20005,1.000000
678.4167,20005,20005,1.000000
678.4333,20005,20005,1.000000
678.4500,20005,20005,1.000000
678.4667,20005,20005,1.000000
678.4833,20005,20005,1.000000
678.5000,20005,20005,1.000000
678.5167,20005,20005,1.000000
678.5333,20005,20005,1.000000
678.5500,20005,20005,1.000000
