t_start_s,t_end_s,label,basis
0.0000,682.0833,pre-fight,"wave-counter ROI (abs x1580-1650 y138-168) blank/non-wave at 60 fps until 682.0833; sub-structure: black 0.0-16.5 s, UI ramp 17.0-18.5, game HUD orb-ink present from 50.0 s (2 fps brightness/orb-ink, +/-0.5 s)"
682.1000,698.3667,wave-151,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 151, t_end=last frame reading 151 (numeral blanks <=0.28 s at each flip)"
698.3833,714.6333,wave-152,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 152, t_end=last frame reading 152 (numeral blanks <=0.28 s at each flip)"
714.8500,729.6000,wave-153,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 153, t_end=last frame reading 153 (numeral blanks <=0.28 s at each flip)"
729.6167,743.7333,wave-154,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 154, t_end=last frame reading 154 (numeral blanks <=0.28 s at each flip)"
743.7500,760.0667,wave-155,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 155, t_end=last frame reading 155 (numeral blanks <=0.28 s at each flip)"
760.0833,780.2833,wave-156,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 156, t_end=last frame reading 156 (numeral blanks <=0.28 s at each flip)"
780.5667,799.4167,wave-157,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 157, t_end=last frame reading 157 (numeral blanks <=0.28 s at each flip)"
799.4333,812.5333,wave-158,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 158, t_end=last frame reading 158 (numeral blanks <=0.28 s at each flip)"
812.5500,838.8500,wave-159,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 159, t_end=last frame reading 159 (numeral blanks <=0.28 s at each flip)"
838.8667,868.3167,wave-160,"wave-counter numeral MEASURED at 60 fps: NCC>=0.90 vs per-wave template built from 2 fps cluster medoids; t_start=first frame reading 160, t_end=last frame reading 160 (numeral blanks <=0.28 s at each flip)"
864.7333,864.8167,death,HP-orb OCR at 60 fps: last frame at 20005/20005 (frac 1.0000) -> first frame at 0/20005; nested inside wave-160
867.6500,869.8500,post-death-fade,HP readout unreadable from 867.6500 (60 fps OCR); 2 fps frame brightness 25.5 (867.0) -> 4.05 (868.0) -> 0.24 (869.0) -> 7.99 (869.5); orb-ink 0 across 868.0-869.5; ends at last blank wave-counter frame before numeral 160 returns
869.8667,1028.9833,respawn-aftermath,wave-counter numeral 160 returns at 869.8667 (60 fps); HP readout returns 18065/18065 at 870.2833 (60 fps OCR); 2 fps content present through 1028.5
1029.0000,1034.1000,black-tail,"2 fps frame brightness exactly 0.000 from 1029.0 to end of file; true transition within (1028.5, 1029.0], resolution +/-0.5 s"
