record,wave,level,armor,absorption_pct,DA,DA_bio,DA_wave_flat,DA_wave_pct,res_physical,res_pierce,res_fire,res_cold,res_lightning,res_poison,res_life,res_aether,res_chaos,res_bleeding,grade,basis
records/creatures/anomalies/aetheranomaly_01_summon.dbr,151,105,0.0,70.0,449.4,367.0,61.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,152,105,0.0,70.0,449.4,367.0,61.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,153,105,0.0,70.0,450.45,367.0,62.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,154,105,0.0,70.0,451.5,367.0,63.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,155,105,0.0,70.0,451.5,367.0,63.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,156,105,0.0,70.0,452.55,367.0,64.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,157,105,0.0,70.0,453.6,367.0,65.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,158,105,0.0,70.0,453.6,367.0,65.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,159,105,0.0,70.0,454.65,367.0,66.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
records/creatures/anomalies/aetheranomaly_01_summon.dbr,160,105,0.0,70.0,455.7,367.0,67.0,5.0,500.0,530.0,500.0,500.0,500.0,500.0,1000.0,500.0,500.0,0.0,MEASURED,bio equation @ level_lo + every skillName{i} passive at its own skillLevel{i}; armour absorption default from gameengine.dbr
