stat,value,source,source_kind,rank_used,index_note,grade,basis
augmentAllLevel,1.0,gear:neck:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentMasteryLevel1,1.0,gear:head:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentMasteryLevel1,2.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentMasteryLevel2,1.0,gear:head:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentMasteryLevel2,2.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,2.0,gear:head:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,3.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,2.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,3.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,2.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,3.0,gear:ring2:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,2.0,gear:ring2:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,3.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,2.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,3.0,gear:medal:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel1,4.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,3.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,2.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,2.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,2.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,3.0,gear:ring2:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,3.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,2.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,3.0,gear:medal:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel2,4.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel3,2.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel3,2.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel3,3.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel3,2.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel3,3.0,gear:ring2:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel3,3.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel3,2.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
