field,value,source_record,source_archive,grade,note
skillTargetRadius,3.0,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED,"metres, Lap-F display contract; == the sim's EOR_RADIUS_M"
targetingMode,Point,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED,'Point' -- centred on the caster
skillTargetNumber,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
skillMaxTargets,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
targetTypeMax,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
skillProjectileNumber,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
skillTargetAngle,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
skillTargetAngleMax,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
numTargets,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
maxTargets,ABSENT,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,MEASURED-ABSENT,no target-count field is declared on the record
meleeTargetDistance,2.4000000953674316,records/game/gameengine.dbr,base,MEASURED,the engine's own melee contact distance == the sim's D_ENGAGE_M
meleeAutoTargetDistance,4.0,records/game/gameengine.dbr,base,MEASURED,
eor_modifier_projectilePeriod,0.20000000298023224,records/skills/playerclass09/eyeofreckoning2.dbr,gdx2,MEASURED,"Soulfire, the allocated EoR modifier: an ORBITING projectile, 1 per period, pierces 100%"
eor_modifier_skillProjectileNumber,1,records/skills/playerclass09/eyeofreckoning2.dbr,gdx2,MEASURED,
