body_record,in_pool_waves,in_frozen_baton_roll,slot,slot_field,skill_record,skill_archive,skill_class,chance_pct,delay_s,timeout_s,range_band,character_attack_speed,short_range_max,medium_range_max,long_range_max,skillCooldownTime,skillActiveDuration,skillChargeDuration,skillChargeLevel,skillWindUpTime,chargeDuration,skillProjectileSpeed,projectileSpeed,skillTargetRadius,projectileExplosionRadius,dropHeight,dropRadius,projectileLaunchNumber,skillTargetNumber
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskills/bossskills/backbreaker_aethersmash.dbr,base,Skill_AttackWave,100.0,5.0,3.0,ShortRange,1.25,9.0,8.0,20.0,5.0,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskills/bossskills/backbreaker_aetherstomp.dbr,base,Skill_AttackRadius,100.0,8.0,0.0,MediumRange,1.25,9.0,8.0,20.0,,,,,,,,,9.0,,,,,
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskills/bossskills/backbreaker_charge.dbr,base,Skill_AttackWeaponCharge,100.0,5.0,5.0,LongRange,1.25,9.0,8.0,20.0,5.0,,,,,,,,,,,,,6
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskills/bossskills/angela_devastation_shortrange.dbr,base,Skill_BuffAttackRadiusDrop,100.0,16.0,10.0,AnyRange,1.25,9.0,8.0,20.0,,9.0,,,,,,,7.0,1.5,16.0,10.0,2,
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,160,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/bossskills/galakros_poisongrenadeburst.dbr,gdx1,Skill_AttackProjectileFan,100.0,4.0,1.0,MediumRange,1.2000000476837158,6.0,12.0,20.0,,,,,,,,,,2.5,,,3,
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,160,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/bossskills/galakros_poisonslam.dbr,gdx1,Skill_AttackRadius,100.0,6.0,2.0,ShortRange,1.2000000476837158,6.0,12.0,20.0,,,,,,,,,8.0,,,,,
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,160,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx1/bossskills/galakros_roar.dbr,gdx1,Skill_AttackRadius,100.0,11.0,4.0,ShortRange,1.2000000476837158,6.0,12.0,20.0,,,,,,,,,8.0,,,,,
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,160,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx1/bossskills/galakros_vilecharge.dbr,gdx1,Skill_AttackWeaponCharge,100.0,3.0,1.0,LongRange,1.2000000476837158,6.0,12.0,20.0,,,,,,,,,,,,,,6
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,160,NO,special5,specialAttack5SkillName,records/skills/nonplayerskillsgdx1/bossskills/galakros_poisonstrike.dbr,gdx1,Skill_AttackWeapon,90.0,4.0,2.0,ShortRange,1.2000000476837158,6.0,12.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx2/bossskills/scarabmaggot_doublebite.dbr,gdx2,Skill_AttackWeapon,100.0,6.0,1.0,ShortRange,1.0,4.0,12.0,18.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx2/bossskills/scarabmaggot_groundslam.dbr,gdx2,Skill_AttackProjectileFan,100.0,8.0,2.0,MediumRange,1.0,4.0,12.0,18.0,,,,,,,,,,2.0,,,3,
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx2/bossskills/scarabmaggot_poisonfumeshake.dbr,gdx2,Skill_AttackProjectileRing,100.0,9.0,5.0,MediumRange,1.0,4.0,12.0,18.0,,,,,,,,,,2.0,,,8,
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx2/bossskills/scarabmaggot_charge.dbr,gdx2,Skill_AttackWeaponCharge,100.0,4.0,1.0,LongRange,1.0,4.0,12.0,18.0,,,,,,,,,,,,,,6
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,159,NO,basic,attackSkillName,records/skills/nonplayerskillsgdx1/bossskills/ekketzul_brutalchaos.dbr,gdx1,Skill_WeaponPool_ChargedFinale,,,,,1.100000023841858,4.0,10.0,18.0,,,2.5,2,,,,,,,,,,3
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/bossskills/ekketzul_chaosgust.dbr,gdx1,Skill_AttackWave,100.0,12.0,3.0,ShortRange,1.100000023841858,4.0,10.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/bossskills/ekketzul_firedoubleswipe.dbr,gdx1,Skill_AttackWave,100.0,6.0,1.0,ShortRange,1.100000023841858,4.0,10.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx1/bossskills/ekketzul_obsidianspineslam.dbr,gdx1,Skill_AttackProjectileRing,100.0,15.0,8.0,MediumRange,1.100000023841858,4.0,10.0,18.0,,,,,,,,,,0.10000000149011612,,,8,
