t_s,colour,area,cx,cy,ground_r_px
864.0,cyan,654,567.7,354.8,416.0
864.0,cyan,49,487.3,566.6,537.7
864.0,cyan,86,264.2,625.4,786.1
864.0,cyan,703,1244.0,637.9,481.7
864.0,cyan,65,260.8,666.8,827.6
864.0,cyan,97,314.2,678.9,796.0
864.0,cyan,615,861.6,684.7,486.3
864.0,cyan,110,292.7,679.6,814.4
864.0,cyan,132,869.8,716.8,543.5
864.0,cyan,68,875.8,759.4,621.1
864.0,cyan,674,595.0,825.9,824.3
864.0,cyan,126,1170.7,840.0,793.9
864.0,cyan,58,343.8,904.2,1078.3
864.0,cyan,272,359.9,917.0,1089.1
864.0,cyan,303,344.2,941.7,1136.2
864.0,cyan,1903,1287.6,983.9,1084.0
864.0,cyan,60,1108.3,978.8,1034.4
864.0,cyan,103,1100.3,991.5,1056.8
864.0,green,159,10.1,155.7,1077.6
864.0,green,139,48.8,169.9,1031.0
864.0,green,59,1487.4,171.9,712.3
864.0,green,143,70.0,258.8,944.7
864.0,green,276,45.4,281.2,955.1
864.0,green,41,82.1,277.3,922.2
864.0,green,106,81.8,295.1,913.0
864.0,green,281,45.1,300.0,945.9
864.0,green,211,134.5,313.4,853.1
864.0,green,1778,41.0,353.7,929.6
864.0,green,95,16.9,333.7,959.7
864.0,green,177,1634.7,354.5,688.8
864.0,green,90,1691.9,369.7,740.2
864.0,green,84,1651.2,379.6,697.3
864.0,green,45,1621.8,379.3,668.2
864.0,green,94,1592.0,387.5,636.8
864.0,green,88,1643.4,394.2,686.5
864.0,green,1699,1609.9,429.9,649.9
864.0,green,141,1735.0,400.3,776.8
864.0,green,48,400.5,397.2,562.6
864.0,green,193,420.2,403.0,542.0
864.0,green,43,42.5,400.1,919.1
864.0,green,93,1710.6,404.1,752.1
864.0,green,2678,1691.7,460.8,734.1
864.0,green,51,1769.6,422.9,809.7
864.0,green,201,1394.0,478.6,443.7
864.0,green,75,1420.1,477.6,468.9
864.0,green,215,423.5,528.2,567.5
864.0,green,207,362.8,554.0,640.9
864.0,green,97,338.9,554.7,663.7
864.0,green,188,1056.6,612.6,355.4
864.0,green,157,1229.8,622.9,450.7
864.0,green,205,1126.8,637.2,422.0
864.0,green,64,1041.8,638.1,397.9
864.0,green,199,1400.7,641.3,592.0
864.0,green,45,1425.8,646.8,617.6
864.0,green,209,337.9,661.2,757.6
864.0,green,196,1136.4,662.1,468.5
864.0,green,553,1051.8,672.6,462.9
864.0,green,320,1100.9,673.4,476.5
864.0,green,85,1082.4,679.0,481.3
864.0,green,202,1063.1,688.9,494.9
864.0,green,46,1113.9,689.7,509.4
864.0,green,51,1083.5,705.1,528.7
864.0,green,229,1321.6,800.1,780.0
864.0,green,122,1154.7,929.3,951.9
864.0,green,249,695.0,967.5,1037.1
864.0,green,296,358.8,974.0,1179.6
864.0,green,109,333.6,989.5,1217.3
864.0,green,79,1219.9,1002.9,1099.8
864.0,green,50,1209.7,998.8,1090.1
864.0,green,553,1278.0,1003.2,1115.6
864.0,green,200,1289.8,1027.6,1162.4
864.0167,cyan,728,573.5,357.7,408.7
864.0167,cyan,53,647.5,543.5,378.2
864.0167,cyan,47,641.9,552.6,392.6
864.0167,cyan,70,494.5,569.0,533.5
864.0167,cyan,64,272.4,625.6,779.0
864.0167,cyan,693,1250.7,640.7,489.8
864.0167,cyan,63,267.1,671.1,826.7
864.0167,cyan,92,319.9,684.5,797.6
864.0167,cyan,561,868.4,688.8,492.4
864.0167,cyan,174,295.5,683.9,816.6
864.0167,cyan,163,876.5,722.9,553.7
864.0167,cyan,63,883.7,763.4,627.4
864.0167,cyan,684,601.1,829.7,828.0
864.0167,cyan,43,893.0,838.2,764.9
864.0167,cyan,120,1178.5,843.6,802.5
864.0167,cyan,244,359.8,914.9,1085.8
864.0167,cyan,493,356.4,946.6,1137.2
864.0167,cyan,1915,1287.7,983.8,1083.9
864.0167,cyan,64,1116.2,982.7,1042.8
864.0167,cyan,104,1108.5,995.5,1065.2
864.0167,green,288,12.1,161.3,1071.0
864.0167,green,210,52.5,169.1,1028.5
864.0167,green,59,1487.4,171.9,712.3
864.0167,green,47,66.8,183.4,1003.5
864.0167,green,45,84.4,184.2,987.2
864.0167,green,41,72.0,260.6,941.7
864.0167,green,286,49.1,282.0,951.1
864.0167,green,88,86.3,296.6,907.8
864.0167,green,189,43.5,301.6,946.7
864.0167,green,278,138.6,317.3,847.4
864.0167,green,2211,43.9,357.9,925.6
864.0167,green,76,14.8,336.8,960.6
864.0167,green,88,1642.0,348.9,698.1
864.0167,green,56,1629.4,349.9,685.4
864.0167,green,127,1629.5,371.0,678.2
864.0167,green,108,1699.6,370.6,747.5
864.0167,green,51,1658.9,379.6,704.9
864.0167,green,41,1713.1,380.5,758.5
864.0167,green,1922,1616.9,431.8,656.9
864.0167,green,117,1740.0,400.5,781.8
864.0167,green,61,405.6,400.4,556.9
864.0167,green,259,427.1,406.4,534.6
864.0167,green,49,46.9,402.6,914.5
864.0167,green,68,1718.8,406.7,759.9
864.0167,green,1359,1681.6,463.4,724.5
864.0167,green,44,1777.1,425.2,817.1
864.0167,green,1008,1715.9,457.6,757.7
864.0167,green,86,1757.7,469.8,801.3
864.0167,green,280,1397.7,481.7,448.6
864.0167,green,89,1426.5,480.4,476.3
864.0167,green,42,1715.0,485.2,762.2
864.0167,green,317,431.8,533.3,562.8
864.0167,green,414,362.7,557.7,643.6
864.0167,green,172,1063.8,616.6,364.5
864.0167,green,40,663.6,611.2,450.5
864.0167,green,193,1236.8,625.8,459.3
864.0167,green,199,1133.0,640.1,429.5
864.0167,green,319,1403.8,643.2,596.8
864.0167,green,46,1047.5,642.1,406.3
864.0167,green,54,1433.8,649.9,627.5
864.0167,green,270,346.3,665.3,755.2
864.0167,green,89,1152.3,661.2,473.2
864.0167,green,576,1059.7,675.4,469.6
864.0167,green,96,1134.3,668.5,478.8
864.0167,green,317,1107.6,676.8,484.5
864.0167,green,81,1088.8,682.0,488.4
864.0167,green,212,1069.5,691.7,501.3
864.0167,green,51,1121.4,693.2,517.7
864.0167,green,45,1090.8,707.9,535.6
864.0167,green,49,407.8,719.9,773.5
864.0167,green,341,1326.5,801.8,785.0
864.0167,green,65,897.2,913.8,905.1
864.0167,green,216,1161.8,931.4,957.1
864.0167,green,200,703.0,965.3,1031.2
864.0167,green,48,389.0,965.2,1150.3
864.0167,green,279,366.2,978.9,1183.8
864.0167,green,117,340.5,994.0,1221.0
864.0167,green,79,1219.9,1002.9,1099.8
864.0167,green,50,1209.7,998.8,1090.1
864.0167,green,556,1278.2,1003.2,1115.7
864.0167,green,198,1289.6,1027.8,1162.8
864.0333,cyan,788,577.5,361.4,402.7
864.0333,cyan,41,578.9,463.4,386.5
864.0333,cyan,68,663.0,549.4,372.1
864.0333,cyan,53,655.4,556.7,386.5
864.0333,cyan,51,500.2,573.3,532.5
864.0333,cyan,52,278.3,630.0,777.7
864.0333,cyan,709,1256.7,644.3,498.9
864.0333,cyan,49,274.2,681.1,831.1
864.0333,cyan,76,326.4,689.0,797.4
864.0333,cyan,1158,880.0,722.6,552.6
864.0333,cyan,192,299.9,688.7,818.3
864.0333,cyan,716,607.2,834.3,833.1
864.0333,cyan,122,1185.8,847.8,811.9
864.0333,cyan,70,902.3,850.4,786.9
864.0333,cyan,252,365.8,920.0,1090.5
864.0333,cyan,521,362.8,953.4,1144.6
864.0333,cyan,1915,1287.7,983.8,1083.9
864.0333,cyan,76,1129.2,992.5,1062.9
864.0333,cyan,97,1116.1,1000.9,1076.4
864.0333,green,351,11.5,162.8,1070.2
864.0333,green,270,53.0,171.9,1025.6
864.0333,green,55,1487.1,171.5,712.6
864.0333,green,160,75.1,187.3,992.8
864.0333,green,168,48.0,282.4,952.0
864.0333,green,75,69.8,287.1,928.6
864.0333,green,208,46.6,303.0,943.0
864.0333,green,369,141.2,315.9,845.5
864.0333,green,2700,43.1,359.7,925.9
864.0333,green,49,1637.1,351.1,692.5
864.0333,green,225,1718.5,379.0,764.2
864.0333,green,42,1666.2,379.7,712.1
864.0333,green,1512,1610.0,423.0,650.1
864.0333,green,104,1746.4,401.0,788.1
864.0333,green,55,50.5,403.7,910.8
864.0333,green,195,432.3,410.3,528.8
864.0333,green,51,1725.4,408.7,766.3
864.0333,green,2899,1692.4,463.4,735.2
864.0333,green,247,1403.3,484.8,455.3
864.0333,green,64,1433.0,483.3,483.6
864.0333,green,264,443.7,541.1,556.9
864.0333,green,134,378.5,561.3,631.6
864.0333,green,101,352.5,562.6,656.4
864.0333,green,47,669.8,615.1,452.0
864.0333,green,89,1071.9,622.8,377.8
864.0333,green,117,1241.9,629.6,467.9
864.0333,green,120,1222.0,635.5,465.4
864.0333,green,172,1138.9,645.0,440.3
864.0333,green,264,1410.5,646.7,606.1
864.0333,green,46,737.0,644.8,459.6
864.0333,green,40,1051.3,648.3,418.4
864.0333,green,81,1158.8,664.4,481.4
864.0333,green,176,349.1,669.3,757.3
864.0333,green,547,1063.9,678.6,476.2
864.0333,green,58,368.0,671.4,744.5
864.0333,green,88,1141.1,672.4,488.0
864.0333,green,330,1113.8,680.9,493.7
864.0333,green,135,1091.5,684.6,493.8
864.0333,green,226,1075.4,695.6,509.6
864.0333,green,55,1127.7,696.7,525.9
864.0333,green,47,1096.9,711.8,544.1
864.0333,green,258,1333.3,805.5,794.3
864.0333,green,129,1168.3,933.8,962.7
864.0333,green,108,714.8,967.4,1032.2
864.0333,green,130,398.0,968.6,1151.3
864.0333,green,279,373.2,983.4,1187.6
864.0333,green,79,1219.9,1002.9,1099.8
864.0333,green,50,1209.7,998.8,1090.1
864.0333,green,575,1277.3,1003.4,1115.7
864.0333,green,202,1289.5,1027.5,1162.3
864.05,cyan,825,582.7,366.2,395.1
864.05,cyan,45,578.7,467.4,387.9
864.05,cyan,66,677.4,554.9,367.1
864.05,cyan,722,1262.8,648.6,508.8
864.05,cyan,76,279.4,684.5,830.5
864.05,cyan,74,332.3,694.6,799.2
864.05,cyan,203,306.3,694.6,819.7
864.05,cyan,355,880.2,696.9,505.1
864.05,cyan,748,889.9,749.0,600.1
864.05,cyan,716,613.8,840.4,840.7
864.05,cyan,131,1192.5,853.0,823.0
864.05,cyan,67,909.7,865.5,814.4
864.05,cyan,255,371.9,927.1,1098.2
864.05,cyan,503,366.6,960.3,1153.7
864.05,cyan,1934,1287.8,983.7,1083.7
864.05,cyan,43,1132.3,994.2,1066.6
864.05,cyan,149,1126.2,1006.2,1087.7
864.05,cyan,54,1143.6,1007.2,1092.3
864.05,green,460,13.5,167.5,1064.5
864.05,green,742,60.4,182.1,1010.3
864.05,green,56,1487.2,171.6,712.5
864.05,green,649,53.9,294.5,940.0
864.05,green,386,145.0,320.2,839.8
864.05,green,3048,44.1,366.4,923.3
864.05,green,42,1644.5,356.0,697.9
864.05,green,50,1665.4,359.6,717.2
