body_record,level_grade,level_lo,level_hi,in_pool_waves,pool_kind,in_frozen_baton_roll,monster_classification,description_tag,display_name,bio_record,dexterity,intelligence,oa,player_DA,pth_raw,pth_effective,hit_chance,crit_tier,crit_mult,own_total_damage_modifier_pct,own_total_damage_modifier_sources,total_damage_modifier_pct,base_weapon_damage,attack_period_s
records/creatures/enemies/aetherialbloater_b01_summon.dbr,NO-LEVEL-SOURCE,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialbloater_c01_summon.dbr,NO-LEVEL-SOURCE,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/bonerat_witchgod_a01_summon.dbr,NO-LEVEL-SOURCE,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/bonerat_witchgod_b01_summon.dbr,NO-LEVEL-SOURCE,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,MEASURED-SET,106,108,159,BOSS,NO,Quest,tagEnemyFleshHulkBoss01,"Venarius, the Backbreaker",records/creatures/enemies/bios/bio_boss_fleshhulk_01.dbr,988.0,914.0,2675.43,2591.0,92.4151,92.4151,1.0,2,1.100000023841858,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE); armorbase05.dbr[107]=25.0(IN-RANGE),124.0,damagebase_physical05.dbr:Physical[107]=1001-1309; backbreaker_passiveattackproperties.dbr:Physical[27]=222-222; backbreaker_passiveattackproperties.dbr:Aether[27]=226-277,1.25
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,MEASURED-SET,106,108,160,BOSS,NO,Quest,tagGDX1MiniBoss_Aetherial02,"Galakros, the Mountain",records/creatures/enemies/bios/bio_boss_aetherial_colossusgalakros.dbr,919.0,811.0,2724.994,2591.0,93.8217,93.8217,1.0,2,1.100000023841858,81.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE); armorbase05.dbr[107]=25.0(IN-RANGE); galakros_enrage.dbr=40.0,164.0,damagebase_physical05.dbr:Physical[107]=1001-1309; galakros_passiveproperties_01.dbr:Physical[27]=94-94; galakros_passiveproperties_01.dbr:Fire[27]=150-150,1.2000000476837158
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,MEASURED-SET,106,108,159,BOSS,NO,Quest,tagGDX2Miniboss_Beast_06,Margul the Rotting,records/creatures/enemies/bios/bio_boss_beetle_02.dbr,919.0,811.0,2642.483,2591.0,91.4756,91.4756,1.0,2,1.100000023841858,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE); armorbase05.dbr[107]=25.0(IN-RANGE),124.0,damagebase_physical03.dbr:Physical[107]=629-827; beetlemaggot_passiveproperties_01.dbr:Pierce[27]=86-86; beetlemaggot_passiveproperties_01.dbr:Poison[27]=172-172,1.0
records/creatures/enemies/boss&quest/beetle_maggot01_maggotsummon.dbr,NO-LEVEL-SOURCE,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,MEASURED-SET,106,108,159,BOSS,NO,Quest,tagGDX1Boss_Chthonian02,"Ekket'Zul, Progenitor of Darkness",records/creatures/enemies/bios/bio_boss_chthonian_ekketzul.dbr,919.0,811.0,2642.483,2591.0,91.4756,91.4756,1.0,2,1.100000023841858,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE); armorbase05.dbr[107]=25.0(IN-RANGE),124.0,damagebase_physical05.dbr:Physical[107]=1001-1309; ekketzul_passiveproperties_01.dbr:Fire[27]=150-150; ekketzul_passiveproperties_01.dbr:Chaos[27]=154-238,1.100000023841858
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,MEASURED-SET,106,108,159,BOSS,159,Quest,tagGDX1Boss_Chthonian01,"Lunal'Valgoth, Steward of Darkness",records/creatures/enemies/bios/bio_boss_chthonian_lunalvalgoth.dbr,919.0,811.0,2642.483,2591.0,91.4756,91.4756,1.0,2,1.100000023841858,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE); armorbase05.dbr[107]=25.0(IN-RANGE),124.0,damagebase_physical05.dbr:Physical[107]=1001-1309,1.149999976158142
