body_record,body_display_name,body_waves,in_frozen_baton_roll,skill_record,skill_archive,skill_class,skill_depth,rank,rank_grade,mechanism_class,weapon_damage_pct,damage_families,raw_total_hi,applied_single_lo,applied_single_hi,applied_single_hi_crit,applied_single_hi_crit_ATTROFF,applied_volley_hi_crit_ATTROFF,type_modifier_clamped_to_zero,crit_mult,crit_tier,projectile_launch_number,projectile_fragments_min,projectile_fragments_max,projectile_launch_rotation,projectile_piercing_chance,n_coincident_max,applied_volley_hi,applied_volley_hi_crit,applied_volley_hi_crit_r1scaled,applied_single_hi_crit_r1,applied_single_hi_crit_r3,n_projectiles_needed_r2,n_projectiles_needed_r1,n_projectiles_needed_r3,n_projectiles_needed_ATTROFF_r2,n_projectiles_needed_ATTROFF_r3,range1_scale_pct,range1_max_m,range3_scale_pct,skill_target_radius,skill_target_number,skill_cooldown_s,percent_current_life_pct,percent_current_life_at_full,reaches_20005_single,reaches_20005_volley,fraction_of_20005_single,fraction_of_20005_volley,arithmetic_chain
records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,"Valdaran, the Storm Scourge",160,NO,records/skills/nonplayerskills/bossskills/nemesis/valdaran_lightningorbnova.dbr,base,Skill_AttackProjectileRing,0,28,MEASURED-RANK,volley-overlap,0.0,Elemental|Lightning,57723.04,11544.61,11544.61,12699.07,1971.34,41398.05,NO,1.100000023841858,2,21,0,0,360.0,0.0,21,242436.76,266680.44,160008.26,7619.44,19048.6,2,3,2,11,7,60.0,2.0,150.0,0.0,0,0.0,0.0,0.0,NO,YES,0.63479,13.33069,Elemental: flat 529-529 x attr 6.4419 x total 2.5200 x type 1.0000 = raw 8588 -> applied 1718 | Lightning: flat 2162-2162 x attr 6.4419 x total 2.5200 x type 1.4000 = raw 49136 -> applied 9827
records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,Reaper of the Lost,160,160,records/skills/nonplayerskillsgdx1/bossskills/nemesis/wendigo_necroticnovainverse.dbr,gdx1,Skill_AttackProjectileRing,0,28,MEASURED-RANK,volley-overlap,0.0,Life|Pierce,58420.87,15285.07,15285.07,16813.58,6039.15,72469.85,NO,1.100000023841858,2,12,0,0,360.0,100.0,12,183420.89,201762.98,141234.09,11769.51,21857.66,2,2,1,4,3,70.0,2.0,130.0,0.0,0,0.0,18.0,3600.9,NO,YES,0.84047,10.08563,Life: flat 1986-1986 x attr 6.4419 x total 2.9200 x type 1.0000 = raw 37357 -> applied 7471 | Pierce: flat 1249-1249 x attr 5.7755 x total 2.9200 x type 1.0000 = raw 21064 -> applied 4213 | PercentCurrentLife: 18% x 20005 (at full) = 3601  [no resistance field known -- DECLARED]
records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,Reaper of the Lost,160,160,records/skills/nonplayerskillsgdx1/bossskills/nemesis/wendigo_necroticnovaboomerang.dbr,gdx1,Skill_AttackProjectileRing,0,28,MEASURED-RANK,volley-overlap,0.0,Life|Pierce,42613.11,10523.12,10523.12,11575.43,3724.97,59599.44,NO,1.100000023841858,2,16,0,0,360.0,100.0,16,168369.95,185206.95,129644.86,8102.8,15048.06,2,3,2,6,5,70.0,2.0,130.0,0.0,0,0.0,10.0,2000.5,NO,YES,0.57863,9.25803,Life: flat 1333-1333 x attr 6.4419 x total 2.9200 x type 1.0000 = raw 25074 -> applied 5015 | Pierce: flat 1040-1040 x attr 5.7755 x total 2.9200 x type 1.0000 = raw 17539 -> applied 3508 | PercentCurrentLife: 10% x 20005 (at full) = 2000  [no resistance field known -- DECLARED]
records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,Archmage Aleksander,160,160,records/skills/nonplayerskillsgdx1/bossskills/nemesis/aetherialvanguard_aethermissileinversenova.dbr,gdx1,Skill_AttackProjectileRing,0,28,MEASURED-RANK,volley-overlap,0.0,Aether,26103.45,8221.44,8221.44,9043.58,4192.3,67076.8,NO,1.100000023841858,2,16,0,0,360.0,100.0,16,131543.04,144697.34,72348.67,4521.79,11756.66,3,5,2,5,4,50.0,2.0,130.0,0.0,0,0.0,15.0,3000.75,NO,YES,0.45207,7.23306,Aether: flat 1608-1608 x attr 6.4419 x total 2.5200 x type 1.0000 = raw 26103 -> applied 5221 | PercentCurrentLife: 15% x 20005 (at full) = 3001  [no resistance field known -- DECLARED]
records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,Archmage Aleksander,160,160,records/skills/nonplayerskillsgdx1/bossskills/nemesis/aetherialvanguard_arcanemissilenova.dbr,gdx1,Skill_AttackProjectileRing,0,28,MEASURED-RANK,volley-overlap,0.0,Elemental,31785.17,6357.03,6357.03,6992.74,1085.52,19539.27,NO,1.100000023841858,2,18,0,0,360.0,100.0,18,114426.61,125869.28,62934.64,3496.37,9090.56,3,6,3,19,15,50.0,2.0,130.0,0.0,0,0.0,0.0,0.0,NO,YES,0.34955,6.29189,Elemental: flat 1958-1958 x attr 6.4419 x total 2.5200 x type 1.0000 = raw 31785 -> applied 6357
records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,"Zantarin, the Immortal",160,NO,records/skills/nonplayerskills/bossskills/nemesis/zantarin_vitalitynovabarrage.dbr,base,Skill_AttackProjectileRing,0,28,MEASURED-RANK,volley-overlap,0.0,Life|Poison,31653.76,6330.75,6330.75,6963.83,1081.03,19458.49,NO,1.100000023841858,2,18,0,0,360.0,0.0,18,113953.52,125348.88,50139.55,2785.53,11838.51,3,8,2,19,11,40.0,2.0,170.0,0.0,0,2.0,0.0,0.0,NO,YES,0.3481,6.26588,Life: flat 1228-1228 x attr 6.4419 x total 2.3200 x type 1.0000 = raw 18353 -> applied 3671 | Poison: flat 890-890 x attr 6.4419 x total 2.3200 x type 1.0000 = raw 13301 -> applied 2660
records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,"Valdaran, the Storm Scourge",160,NO,records/skills/nonplayerskills/bossskills/nemesis/valdaran_lightningorb.dbr,base,Skill_AttackProjectileBurst,0,28,MEASURED-RANK,volley-overlap,0.0,Lightning,52067.29,7268.06,10413.46,11454.8,1778.18,8890.91,NO,1.100000023841858,2,5,0,0,45.0,0.0,5,52067.29,57274.02,25773.31,5154.66,17182.21,2,4,2,12,8,45.0,2.5,150.0,0.0,0,0.10000000149011612,0.0,0.0,NO,YES,0.5726,2.86299,Lightning: flat 1599-2291 x attr 6.4419 x total 2.5200 x type 1.4000 = raw 52067 -> applied 10413
records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,"Zantarin, the Immortal",160,NO,records/skills/nonplayerskills/bossskills/nemesis/zantarin_vitalityburst.dbr,base,Skill_AttackProjectileBurst,0,28,MEASURED-RANK,volley-overlap,0.0,Life|Poison,15946.44,2842.56,3189.29,3508.22,544.6,8713.55,NO,1.100000023841858,2,16,0,0,45.0,0.0,16,51028.61,56131.47,39292.03,2455.75,5963.97,6,9,4,37,22,70.0,2.0,170.0,0.0,0,0.0,0.0,0.0,NO,YES,0.17537,2.80587,Life: flat 579-695 x attr 6.4419 x total 2.3200 x type 1.0000 = raw 10387 -> applied 2077 | Poison: flat 372-372 x attr 6.4419 x total 2.3200 x type 1.0000 = raw 5560 -> applied 1112
records/creatures/enemies/nemesis/nemesis_beast_02.dbr,The Underking,160,NO,records/skills/nonplayerskillsgdx3/bossskills/nemesis/beast2_sludgeball.dbr,gdx3,Skill_AttackProjectile,0,28,MEASURED-RANK,volley-overlap,0.0,Physical|Poison,31168.3,6233.66,6233.66,6857.03,1064.45,8515.58,Physical(-0.23),1.100000023841858,2,0,5,8,0.0,0.0,8,49869.28,54856.21,54856.21,6857.03,6857.03,3,3,3,19,19,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,NO,YES,0.34277,2.74212,Physical: flat 1242-1503 x attr 5.7755 x total 2.5200 x type 0.0000 [CLAMPED from -0.2300] = raw 0 -> applied 0 | Poison: flat 1920-1920 x attr 6.4419 x total 2.5200 x type 1.0000 = raw 31168 -> applied 6234
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,"Ekket'Zul, Progenitor of Darkness",159,NO,records/skills/nonplayerskillsgdx1/bossskills/ekketzul_obsidianspineslam.dbr,gdx1,Skill_AttackProjectileRing,0,28,MEASURED-RANK,volley-overlap,0.0,Chaos|Physical,17156.63,5831.93,5831.93,6415.12,3431.6,27452.83,Physical(-0.44),1.100000023841858,2,8,0,0,360.0,100.0,8,46655.41,51320.95,20528.38,2566.05,8660.41,4,8,3,6,5,40.0,3.0,135.0,0.0,0,0.0,12.0,2400.6,NO,YES,0.32068,2.56541,Chaos: flat 1605-1605 x attr 4.7721 x total 2.2400 x type 1.0000 = raw 17157 -> applied 3431 | Physical: flat 1118-1118 x attr 4.7510 x total 2.2400 x type 0.0000 [CLAMPED from -0.4400] = raw 0 -> applied 0 | PercentCurrentLife: 12% x 20005 (at full) = 2401  [no resistance field known -- DECLARED]
