t_s,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal,green_r0_60,sat_r0_60,green_r60_120,sat_r60_120,green_r120_200,sat_r120_200,green_r200_300,sat_r200_300,green_r300_450,sat_r300_450,green_r450_650,sat_r450_650,plates,ring_plates,boss_banner,boss_txt_px
862.0,0.01524064,0.00096547,0.00929495,0.01051794,0.00225405,0.00178048,0.01679012,0.19901235,0.01234636,0.17153205,0.00233894,0.10710481,0.00313004,0.05821398,0.00250811,0.04803355,0.00106699,0.06239761,5,0,0,1294
862.0167,0.0144102,0.00101321,0.00871142,0.01020689,0.00216821,0.00179639,0.02205761,0.15588477,0.01327919,0.15638718,0.00039368,0.09798064,0.00228825,0.04916769,0.00118029,0.05994183,0.00177293,0.05885174,5,0,0,1503
862.0333,0.01450714,0.00092641,0.00806182,0.00970293,0.00222801,0.00179205,0.05218107,0.21251029,0.0100417,0.1477173,2.316e-05,0.09601223,0.00373471,0.05575975,0.00077983,0.06824601,0.00096191,0.05387243,4,0,0,1752
862.05,0.01487317,0.00103299,0.00804591,0.00894049,0.00232012,0.00167824,0.0526749,0.18534979,0.00389596,0.12631694,4.632e-05,0.09121856,0.0056317,0.0660865,0.0003583,0.07273005,0.00090263,0.05455143,6,0,0,1820
862.0667,0.01530285,0.0010407,0.0078805,0.00839988,0.00236015,0.00157118,0.07160494,0.20757202,0.00230465,0.13185909,0.0,0.07894493,0.00637864,0.06864744,0.00016861,0.07078574,0.0008218,0.05741561,6,0,0,1707
862.0833,0.01571807,0.00089217,0.00788339,0.00831983,0.00249952,0.00153646,0.09497942,0.27604938,0.0,0.13290167,0.0,0.06713445,0.00757612,0.07220431,0.00014227,0.06868861,0.00082719,0.06212817,6,0,0,1620
862.1,0.01639998,0.00094136,0.00827643,0.00854022,0.00274595,0.00156539,0.07670782,0.21975309,0.00861501,0.1322432,0.0,0.07308601,0.0079318,0.08895713,0.00050584,0.07678203,0.00088377,0.05786558,7,0,0,1644
862.1167,0.01666667,0.00069444,0.00871335,0.00852189,0.00283661,0.00163966,0.05152263,0.12427984,0.00812116,0.10628841,0.00169052,0.06625446,0.00901072,0.09975813,0.00061649,0.08742571,1.078e-05,0.05336319,6,0,0,1254
862.1333,0.01772569,0.0006684,0.00976562,0.00818191,0.00279273,0.00169174,0.01876543,0.04872428,0.00515803,0.11945786,0.00798944,0.08758279,0.01024376,0.10222422,0.00079037,0.08855857,0.0,0.05375388,5,0,0,899
862.15,0.01889034,0.00069541,0.01067419,0.00804446,0.0027691,0.00162278,0.01876543,0.06222222,0.02024802,0.15375329,0.01468204,0.11970265,0.0111804,0.10070663,0.00074822,0.08696202,0.0,0.05568579,7,1,0,897
862.1667,0.01890432,0.000625,0.01078559,0.00822676,0.00294223,0.00161024,0.0182716,0.0745679,0.01733977,0.14881475,0.00690102,0.10664166,0.01160723,0.09175519,0.00073768,0.08646672,0.0,0.05584476,9,1,0,897
862.1833,0.01981047,0.00077498,0.01074363,0.00820313,0.00309558,0.0015326,0.02090535,0.06600823,0.0066396,0.12779851,0.00018526,0.10439535,0.0115598,0.09844209,0.00073768,0.08905914,0.0,0.05647525,7,1,0,896
862.2,0.02131848,0.00144387,0.01092062,0.00873939,0.00506559,0.0015543,0.0217284,0.14139918,0.00532265,0.15079017,0.0,0.15515724,0.01300626,0.11538462,0.00079037,0.09638326,0.0,0.06817986,7,1,0,896
862.2167,0.0213749,0.00160397,0.01113378,0.00879389,0.00494695,0.00160976,0.01975309,0.20065844,0.00164618,0.14019974,0.00011579,0.15038674,0.01335009,0.11304894,0.00069553,0.1000137,0.0,0.07006865,8,1,0,895
