t_s,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal,green_r0_60,sat_r0_60,green_r60_120,sat_r60_120,green_r120_200,sat_r120_200,green_r200_300,sat_r200_300,green_r300_450,sat_r300_450,green_r450_650,sat_r450_650
838.8667,0.03488474,0.00057677,0.02202595,0.00753328,0.00937018,0.00314959,0.04625514,0.66995885,0.0,0.46471686,0.00034737,0.31934602,0.00681732,0.29992649,0.04228491,0.16142035,0.04388418,0.07770736
838.9667,0.02943866,0.0008724,0.01317949,0.00853202,0.00931954,0.00239776,0.03621399,0.70057613,0.0,0.33598551,0.0,0.32874809,0.00020156,0.25627193,0.01956962,0.10609957,0.0297519,0.05309913
839.0667,0.02854745,0.00101273,0.0127662,0.00955295,0.00911989,0.00166233,0.03473251,0.68971193,0.0,0.30695786,0.0,0.34120698,0.0008655,0.24103671,0.01040657,0.09718944,0.0274293,0.06250808
839.1667,0.02936246,0.00109857,0.01417535,0.0091358,0.00739294,0.00185764,0.03506173,0.70090535,0.0,0.33192493,0.0,0.33328702,0.00041497,0.25864318,0.00547464,0.09282658,0.03182122,0.07282236
839.2667,0.02546923,0.00081694,0.01230565,0.00871769,0.00506607,0.00154562,0.03506173,0.63078189,0.0,0.29856234,0.0,0.31364921,0.00014227,0.21641136,0.00638621,0.07536989,0.03285857,0.06633148
839.3667,0.02675781,0.00081019,0.01151331,0.00792004,0.00475984,0.00159192,0.03308642,0.62502058,0.0,0.27809482,0.0,0.31807234,0.00042682,0.23366215,0.01064895,0.0818931,0.031541,0.06411127
839.4667,0.02728684,0.00087481,0.01301022,0.00816744,0.00540509,0.00182195,0.03292181,0.64230453,0.0,0.24412862,0.0,0.32261127,0.00013042,0.25483733,0.007224,0.08681975,0.0326511,0.06460435
839.5667,0.0259375,0.0013479,0.01364632,0.00835214,0.00472704,0.00187066,0.0327572,0.64213992,0.0,0.28182616,0.0,0.32666389,0.00033197,0.23525088,0.00934747,0.08284155,0.03327621,0.05888138
839.6667,0.02547695,0.00147425,0.01160494,0.00856723,0.004375,0.00200858,0.03209877,0.61004115,0.0,0.35436787,0.0,0.29259877,0.00034383,0.20562221,0.01183978,0.09845403,0.02311552,0.04852399
839.7667,0.02688223,0.00180893,0.0098206,0.00844907,0.00441165,0.00213011,0.03308642,0.38222222,0.0,0.45890035,0.0,0.31649761,5.928e-05,0.18978232,0.02013341,0.10962463,0.01574894,0.04922993
839.8667,0.02616657,0.00109037,0.00896605,0.00939863,0.00411362,0.00207514,0.0327572,0.34781893,0.0,0.33422959,0.0,0.30850817,9.485e-05,0.12202409,0.0246965,0.11758104,0.01206835,0.05255216
839.9667,0.02342496,0.00083382,0.00830488,0.00892554,0.00376206,0.00156829,0.03308642,0.33020576,0.0,0.14903424,0.0,0.28937983,0.0,0.11871621,0.02444358,0.09076634,0.01197674,0.04762944
840.0667,0.02321759,0.00068335,0.00685571,0.00808835,0.00370033,0.00153839,0.03292181,0.26436214,0.0,0.13399912,0.0,0.13748784,0.0,0.18144741,0.01661889,0.07394196,0.01106064,0.04951824
840.1667,0.02271316,0.00066069,0.00675974,0.00748071,0.00418306,0.0015707,0.03292181,0.25711934,0.0,0.12110404,0.0,0.04775138,0.0,0.18375937,0.00153332,0.07149707,0.01927326,0.06072168
840.2667,0.02379196,0.00068239,0.00743104,0.00767361,0.00403742,0.00141445,0.03111111,0.05497942,0.0,0.15331431,0.0,0.05497661,0.0,0.12598407,0.0,0.12664924,0.02311821,0.05866044
840.3667,0.02486208,0.00056038,0.00749855,0.00767072,0.00450135,0.00165895,0.03292181,0.03835391,0.0,0.09399693,0.0,0.07838914,0.0,0.14406478,0.0,0.13231358,0.03116378,0.06739578
840.4667,0.02571277,0.00053578,0.00879726,0.00715856,0.00466435,0.00168933,0.03308642,0.03358025,0.0,0.04027656,0.0,0.1355889,0.0,0.1311178,0.0,0.13946908,0.04143225,0.07790406
840.5667,0.02560957,0.0004673,0.00892699,0.00672405,0.00461613,0.00186632,0.03259259,0.03341564,0.0,0.04296532,0.0,0.14730675,0.0,0.16022479,0.0,0.13092252,0.03839832,0.06647428
840.6667,0.02517458,0.00039834,0.00920139,0.0057827,0.00496431,0.00146219,0.03045267,0.03144033,0.0,0.04131914,0.0,0.19887916,0.0,0.17262639,0.0,0.10516166,0.03708614,0.06272903
840.7667,0.02469715,0.00038725,0.00925781,0.00585745,0.00531491,0.00149113,0.03045267,0.0327572,0.0,0.07396839,0.0,0.29445139,0.0,0.15037228,0.0,0.08487544,0.03377738,0.0596924
840.8667,0.02465133,0.00042197,0.00859809,0.00603733,0.00500627,0.00156829,0.03045267,0.07176955,0.0,0.2178446,0.0,0.32728915,0.0,0.13510149,0.0,0.07447941,0.03120419,0.05044512
840.9667,0.02582465,0.00057485,0.00851948,0.00582465,0.00505498,0.00147377,0.02798354,0.27670782,0.0,0.36320237,0.0,0.30656292,0.0,0.07986342,0.0,0.08472263,0.03138472,0.0545191
841.0667,0.02733507,0.00053193,0.01016445,0.00585986,0.00506221,0.00144772,0.0273251,0.37102881,0.0,0.45494952,0.0,0.27221991,0.0,0.06954852,0.0,0.07500105,0.02590425,0.06171053
841.1667,0.02808738,0.00050203,0.01122203,0.00636044,0.00523148,0.00146508,0.02864198,0.33135802,0.0,0.46416813,0.0,0.26003891,0.0,0.10090819,0.0,0.07511171,0.02753708,0.06238953
841.2667,0.02643422,0.00055652,0.01012683,0.00714603,0.00457658,0.00171634,0.02814815,0.26238683,0.0,0.46680202,0.0,0.25341578,0.0,0.09010718,0.0,0.06437318,0.03365613,0.0712542
