frame,t_sec,ocr_conf,clean_read,damage,multiplier,residue_cents,offset_family,implied_tier,source_text
3,686.0,0.5,1,6961,1.67,7,A(+0.57),1.10,6961 (x1.67)
4,688.0,0.5,0,,1.67,7,A(+0.57),1.10,(x1.67)
4,688.0,0.3,0,,1.67,7,A(+0.57),1.10,12169 (x1.67
4,688.0,1.0,1,25850,1.79,9,B(+0.69),1.10,25850 (x1.79)
6,692.0,1.0,0,,1.79,9,B(+0.69),1.10,60060 (x1.79
7,694.0,1.0,1,5181,1.67,7,A(+0.57),1.10,5181 (x1.67)
7,694.0,1.0,1,1571,1.67,7,A(+0.57),1.10,1571 (x1.67)
7,694.0,0.5,0,,1.77,7,A(+0.57),1.20,2071 (x1.77>1535
8,696.0,0.3,0,,1.67,7,A(+0.57),1.10,"31215 (x1,67"
8,696.0,0.5,1,41622,1.79,9,B(+0.69),1.10,41622 (x1.79)
9,698.0,1.0,1,22242,1.67,7,A(+0.57),1.10,22242 (x1.67)
9,698.0,0.3,1,15400,1.67,7,A(+0.57),1.10,15400 (x1.67)
9,698.0,1.0,1,10158,1.77,7,A(+0.57),1.20,10158 (x1.77)
9,698.0,1.0,1,1393,1.89,9,B(+0.69),1.20,1393 (x1.89)
9,698.0,1.0,1,1995,1.89,9,B(+0.69),1.20,1995 (x1.89)
12,704.0,0.5,0,,1.89,9,B(+0.69),1.20,"(51.523/91,6962882 (x1,89)45669"
13,706.0,0.5,0,,1.67,7,A(+0.57),1.10,10149 6x1.67)
13,706.0,1.0,1,21433,1.87,7,A(+0.57),1.30,21433 (x1.87)
13,706.0,1.0,1,20473,1.97,7,A(+0.57),1.40,20473 (x1.97)
14,708.0,1.0,1,3893,1.67,7,A(+0.57),1.10,3893 (x1.67)
14,708.0,1.0,1,69079,1.79,9,B(+0.69),1.10,69079 (x1.79)
15,710.0,1.0,1,10077,1.67,7,A(+0.57),1.10,10077 (x1.67)
15,710.0,1.0,1,14179,1.67,7,A(+0.57),1.10,14179 (x1.67)
15,710.0,0.3,1,496857,1.67,7,A(+0.57),1.10,496857 (x1.67)
16,712.0,0.3,1,413,1.67,7,A(+0.57),1.10,0413 (x1.67)
17,714.0,1.0,1,18102,1.77,7,A(+0.57),1.20,18102 (x1.77)
19,718.0,0.5,0,,1.89,9,B(+0.69),1.20,45810 (x1.89
21,722.0,1.0,0,,1.77,7,A(+0.57),1.20,"31640 (x1,77)"
21,722.0,1.0,1,76538,1.79,9,B(+0.69),1.10,76538 (x1.79)
21,722.0,0.5,0,,1.99,9,B(+0.69),1.30,"99294 (x1,99) 8499 (x2.09)"
21,722.0,0.5,0,,2.09,9,B(+0.69),1.40,"99294 (x1,99) 8499 (x2.09)"
22,724.0,1.0,1,66704,1.89,9,B(+0.69),1.20,66704 (x1.89)
24,728.0,0.5,1,464731,1.99,9,B(+0.69),1.30,464731(x1.99)
25,730.0,1.0,0,,1.99,9,B(+0.69),1.30,"4618 (x1,99)"
27,734.0,1.0,1,23627,1.67,7,A(+0.57),1.10,23627 (x1.67)
27,734.0,0.5,0,,1.67,7,A(+0.57),1.10,3226 1899/2(x1.67)
28,736.0,0.5,1,62151,1.79,9,B(+0.69),1.10,62151 (x1.79)
28,736.0,0.3,0,,1.79,9,B(+0.69),1.10,2899984x1.79)
29,738.0,0.3,0,,1.67,7,A(+0.57),1.10,"1d.0278 (x1,67)"
29,738.0,1.0,1,37094,1.79,9,B(+0.69),1.10,37094 (x1.79)
30,740.0,1.0,1,16061,1.67,7,A(+0.57),1.10,16061 (x1.67)
