frame,t_sec,text,ocr_conf,cls,damage,mult,bbox_x,bbox_y,bbox_w,bbox_h,mult_tokens,rgb_r,rgb_g,rgb_b,r_over_g,colour_class
0,680.0,Gladiator,1.0,other,,,0.00577,0.97375,0.04515,0.01633,,213.8,210.2,192.7,1.017,neutral
0,680.0,9:48:46,1.0,other,,,0.0087,0.93779,0.048,0.01588,,214.7,208.8,188.4,1.028,cream_dealt
0,680.0,Crucible of the Dead,1.0,other,,,0.89244,0.9713,0.09738,0.01852,,212.5,208.1,191.6,1.021,cream_dealt
0,680.0,PM,1.0,other,,,0.0625,0.9354,0.0218,0.01809,,213.4,206.1,188.2,1.035,cream_dealt
0,680.0,125,1.0,hud,125,,0.71657,0.88889,0.02471,0.0155,,183.8,170.3,146.7,1.079,cream_dealt
0,680.0,00:00,1.0,other,,,0.77616,0.88889,0.02035,0.01292,,199.1,190.8,166.0,1.044,cream_dealt
0,680.0,Objectives,1.0,other,,,0.87355,0.68217,0.05523,0.01809,,230.7,172.0,95.5,1.341,cream_dealt
0,680.0,Crucible to Begin,1.0,other,,,0.88953,0.64341,0.06105,0.01585,,223.7,225.4,226.2,0.993,neutral
0,680.0,"(20,005/20,005)",1.0,health_readout,,,0.46076,0.61499,0.07994,0.0155,,239.9,238.8,237.6,1.004,neutral
0,680.0,"Cokarr, Master of the Crucible",1.0,other,,,0.38517,0.45185,0.14244,0.01852,,235.4,224.4,109.9,1.049,cream_dealt
0,680.0,"Oh, is that so? Very well. I wager that you will die, but...if you",1.0,other,,,0.38517,0.41574,0.25291,0.0213,,242.1,240.4,239.7,1.007,neutral
0,680.0,"surprise me, I will raise your reward substantially.",1.0,other,,,0.38517,0.39793,0.2064,0.01809,,243.5,242.7,242.1,1.003,neutral
0,680.0,Do we have a deal?,1.0,other,,,0.38517,0.36389,0.07994,0.01596,,247.0,246.0,244.2,1.004,neutral
0,680.0,Start on Wave 50,1.0,other,,,0.40116,0.30233,0.07413,0.0155,,231.2,222.5,156.2,1.039,cream_dealt
