row_kind,record_path,record_archive,display_name,wave,spawn_level,n_actors_this_wave,threat_tier,monster_classification,halt_attr,halt_own,named_in_commission,bio_record,wave_crit_damage_modifier_pct,oa_attr_characterDexterity,oa_flat_bio,oa_flat_own_skills,oa_flat_wave_surv,oa_flat_ultimate_pak,oa_mod_pct_own_skills,oa_mod_pct_wave_surv,oa_mod_pct_ultimate_pak,oa_mod_pct_total,oa_level_term,oa_attr_term,OA,da_attr_characterStrength,da_flat_bio,da_flat_own_skills,da_flat_wave_surv,da_flat_ultimate_pak,da_mod_pct_own_skills,da_mod_pct_wave_surv,da_mod_pct_ultimate_pak,da_mod_pct_total,da_level_term,da_attr_term,DA,pool_proxy_levels,level_basis,OA_at_proxy_lo,OA_at_proxy_hi,DA_at_proxy_lo,DA_at_proxy_hi,m2p_pth_at_proxy_lo,m2p_pth_at_proxy_hi,p2m_pth_at_proxy_lo,p2m_pth_at_proxy_hi,m2p_pth_raw,m2p_pth_effective,m2p_pth_floored_at_55,m2p_p_hit_pct,m2p_p_miss_pct,m2p_sub70_damage_scalar,m2p_p_normal_x1_0_pct,m2p_p_crit_any_pct,m2p_expected_mult_given_hit,m2p_expected_mult_per_swing,m2p_p_tier2_x1.1_pct,m2p_p_tier3_x1.2_pct,m2p_p_tier4_x1.3_pct,m2p_p_tier5_x1.4_pct,m2p_p_tier6_x1.5_pct,m2p_tier_mass_sum_check_pct,p2m_pth_raw,p2m_pth_effective,p2m_pth_floored_at_55,p2m_p_hit_pct,p2m_p_miss_pct,p2m_sub70_damage_scalar,p2m_p_normal_x1_0_pct,p2m_p_crit_any_pct,p2m_expected_mult_given_hit,p2m_expected_mult_per_swing,p2m_p_tier2_x1.1_pct,p2m_p_tier3_x1.2_pct,p2m_p_tier4_x1.3_pct,p2m_p_tier5_x1.4_pct,p2m_p_tier6_x1.5_pct,p2m_tier_mass_sum_check_pct,m2p_defender_DA,p2m_attacker_OA
monster,records/creatures/enemies/aetherialcorruption_b01.dbr,sm1,Fleshwarped Chilled One,156,103.0,7,trash,Champion,True,False,False,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,27.0,643.0,678.6,-4.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1236.0,321.5,2280.1555,689.2,467.9,0.0,64.0,75.0,0.0,5.0,-8.0,-3.0,1236.0,344.6,2174.875,103|104,AGREE,2280.1555,2300.4015,2174.875,2193.79,80.87,81.4775,120.2516,119.7161,80.87,80.87,False,80.87,19.13,1.0,80.87,0.0,1.0,0.8087,0.0,0.0,0.0,0.0,0.0,100.0,120.2516,120.2516,False,100.0,0.0,1.0,69.7484,30.2516,1.045755,1.045755,15.0,15.0,0.2516,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/aetherialcorruption_c01.dbr,sm1,Fleshwarped Aberration,155,103.0,14,trash,Champion,True,False,False,records/creatures/enemies/bios/bio_aetherialcorruption_c01.dbr,27.0,828.1,729.5,-4.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1236.0,414.05,2416.1953,689.2,498.5,0.0,63.0,75.0,0.0,5.0,-8.0,-3.0,1236.0,344.6,2203.587,103|104,AGREE,2416.1953,2437.5395,2203.587,2222.696,84.9156,85.543,119.4389,118.8984,84.9156,84.9156,False,84.9156,15.0844,1.0,84.9156,0.0,1.0,0.849156,0.0,0.0,0.0,0.0,0.0,100.0,119.4389,119.4389,False,100.0,0.0,1.0,70.5611,29.4389,1.043878,1.043878,15.0,14.4389,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,sm2,Blugrug the Living Plague,157,109.0,2,boss,Quest,True,True,False,records/creatures/enemies/bios/bio_boss_aetherialbloater_malmouthdocks_01.dbr,27.0,927.0,863.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,463.5,2664.4475,758.5,736.7,0.0,65.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2540.0315,106|107|108,DIVERGENT,2598.5525,2642.4825,2477.321,2519.128,90.2171,91.4756,111.7243,110.5512,92.1024,92.1024,False,92.1024,7.8976,1.0,90.0,2.1024,1.002283,0.923126,2.1024,0.0,0.0,0.0,0.0,100.0,109.9652,109.9652,False,100.0,0.0,1.0,80.0348,19.9652,1.02493,1.02493,15.0,4.9652,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,sm1,"Dralgar, the Keeper of Burrwitch",155,109.0,2,boss,Quest,True,True,False,records/creatures/enemies/bios/bio_boss_aetherial_intro.dbr,27.0,927.0,863.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,463.5,2663.4925,758.5,736.7,0.0,63.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2538.0915,106|107|108,DIVERGENT,2597.5975,2641.5275,2475.381,2517.188,90.1896,91.4483,111.7788,110.6056,92.0752,92.0752,False,92.0752,7.9248,1.0,90.0,2.0752,1.002254,0.922827,2.0752,0.0,0.0,0.0,0.0,100.0,110.0195,110.0195,False,100.0,0.0,1.0,79.9805,20.0195,1.025039,1.025039,15.0,5.0195,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,sm1,Stone Basilisk,156,109.0,2,boss,Quest,True,True,False,records/creatures/enemies/bios/bio_boss_basilisk_witchritual01.dbr,27.0,927.0,863.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,463.5,2664.4475,758.5,736.7,0.0,64.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2539.0615,106|107|108,DIVERGENT,2598.5525,2642.4825,2476.351,2518.158,90.2171,91.4756,111.7515,110.5784,92.1024,92.1024,False,92.1024,7.8976,1.0,90.0,2.1024,1.002283,0.923126,2.1024,0.0,0.0,0.0,0.0,100.0,109.9923,109.9923,False,100.0,0.0,1.0,80.0077,19.9923,1.024985,1.024985,15.0,4.9923,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,sm1,"Gabal'Thunn, the Visage of Madness",154,106.0,2,boss,Quest,True,True,False,records/creatures/enemies/bios/bio_boss_chthonian_gabalthunn.dbr,27.0,903.0,842.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1272.0,451.5,2597.5975,739.0,717.8,0.0,63.0,75.0,0.0,5.0,-8.0,-3.0,1272.0,369.5,2475.381,106|107|108,AGREE,2597.5975,2641.5275,2475.381,2517.188,90.1896,91.4483,111.7788,110.6056,90.1896,90.1896,False,90.1896,9.8104,1.0,90.0,0.1896,1.00021,0.902086,0.1896,0.0,0.0,0.0,0.0,100.0,111.7788,111.7788,False,100.0,0.0,1.0,78.2212,21.7788,1.028558,1.028558,15.0,6.7788,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,sm1,"Lunal'Valgoth, Steward of Darkness",159,106.0,2,boss,Quest,False,False,False,records/creatures/enemies/bios/bio_boss_chthonian_lunalvalgoth.dbr,27.0,903.0,842.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1272.0,451.5,2598.5525,739.0,717.8,0.0,66.0,75.0,0.0,5.0,-8.0,-3.0,1272.0,369.5,2478.291,106|107|108,AGREE,2598.5525,2642.4825,2478.291,2520.098,90.2171,91.4756,111.6971,110.524,90.2171,90.2171,False,90.2171,9.7829,1.0,90.0,0.2171,1.000241,0.902388,0.2171,0.0,0.0,0.0,0.0,100.0,111.6971,111.6971,False,100.0,0.0,1.0,78.3029,21.6971,1.028394,1.028394,15.0,6.6971,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,sm_mod,Bloodlord Thalonis,154,106.0,2,boss,Quest,True,False,False,records/creatures/enemies/bios/bio_boss_cultistleader_01.dbr,27.0,961.0,842.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1272.0,480.5,2625.2925,686.0,760.2,0.0,63.0,75.0,0.0,5.0,-8.0,-3.0,1272.0,343.0,2490.804,106|107|108,AGREE,2625.2925,2669.7,2490.804,2532.902,90.9839,92.252,111.3458,110.165,90.9839,90.9839,False,90.9839,9.0161,1.0,90.0,0.9839,1.001081,0.910823,0.9839,0.0,0.0,0.0,0.0,100.0,111.3458,111.3458,False,100.0,0.0,1.0,78.6542,21.3458,1.027692,1.027692,15.0,6.3458,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/eldritcharmor_dreegmindreaper_01.dbr,sm2,"Ishtal, the Mind Reaper",155,109.0,2,boss,Quest,True,True,False,records/creatures/enemies/bios/bio_boss_mindreaper_01.dbr,27.0,927.0,863.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,463.5,2663.4925,758.5,736.7,0.0,63.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2538.0915,106|107|108,DIVERGENT,2597.5975,2641.5275,2475.381,2517.188,90.1896,91.4483,111.7788,110.6056,92.0752,92.0752,False,92.0752,7.9248,1.0,90.0,2.0752,1.002254,0.922827,2.0752,0.0,0.0,0.0,0.0,100.0,110.0195,110.0195,False,100.0,0.0,1.0,79.9805,20.0195,1.025039,1.025039,15.0,5.0195,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/human_chthonickurn_shaman_01.dbr,sm3,Yurra Voideye,156,109.0,1,boss,Quest,True,True,False,records/creatures/enemies/bios/bio_boss_chthonicoracle_01.dbr,27.0,927.0,863.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,463.5,2664.4475,758.5,736.7,0.0,64.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2539.0615,106|107|108,DIVERGENT,2598.5525,2642.4825,2476.351,2518.158,90.2171,91.4756,111.7515,110.5784,92.1024,92.1024,False,92.1024,7.8976,1.0,90.0,2.1024,1.002283,0.923126,2.1024,0.0,0.0,0.0,0.0,100.0,109.9923,109.9923,False,100.0,0.0,1.0,80.0077,19.9923,1.024985,1.024985,15.0,4.9923,0.0,0.0,0.0,100.0,2591.0,3259.0
