actor_id,record_path,record_archive,display_name,wave,spawn_level,threat_tier,is_champion,monster_classification,charlevel_equation,halt_class,halt_attr,halt_own,attr_mult_physical_pierce,attr_mult_magical,bio_record,bio_archive,dex_equation,dex_bio_value,dex_skill_add,dex_total,dex_source,dex_skill_sources,int_equation,int_bio_value,int_skill_add,int_total,int_source,int_skill_sources,str_equation,str_bio_value,str_skill_add,str_total,str_source,oa_equation,oa_bio_value,oa_skill_add,oa_total,oa_source,da_equation,da_bio_value,da_skill_add,da_total,da_source,own_total_damage_modifier_pct,own_tdm_state,own_tdm_lapI_crosscheck,own_tdm_n_sources,own_tdm_sources,own_tdm_slots_checked,pool_proxy_levels,level_basis,dex_total_at_proxy_lo,dex_total_at_proxy_hi,int_total_at_proxy_lo,int_total_at_proxy_hi,own_tdm_at_proxy_lo,own_tdm_at_proxy_hi
w151_a000,records/creatures/enemies/ghost_b01.dbr,sm_mod,Haunted Noble,151,103,trash,False,Champion,charLevel*1,both,True,True,4.126531,4.242791,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,766.0,0.0,766.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 5 own skill slots,(charLevel*6.4)+38,697.2,0.0,697.2,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 5 own skill slots,(charLevel*6)+30,648.0,0.0,648.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,678.0,0.0,678.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,483.5,0.0,483.5,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,46.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase02.dbr::offensiveTotalDamageModifier[102]=30.0(IN-RANGE,rank=103)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonusranged_physical01.dbr | records/skills/nonplayerskills/passive/armorbase02.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackprojectile/ghost_phantomblade.dbr,103|104,AGREE,766.0,773.0,697.2,703.6,46.0,46.0
w151_a001,records/creatures/enemies/ghost_b03.dbr,sm_mod,Haunted Champion,151,103,trash,False,Champion,charLevel*1,both,True,True,4.126531,4.242791,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,766.0,0.0,766.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 6 own skill slots,(charLevel*6.4)+38,697.2,0.0,697.2,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 6 own skill slots,(charLevel*6)+30,648.0,0.0,648.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,678.0,0.0,678.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,483.5,0.0,483.5,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,41.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase03.dbr::offensiveTotalDamageModifier[102]=25.0(IN-RANGE,rank=103)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonus_physical02.dbr | records/skills/nonplayerskills/passive/armorbase03.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackmelee/ghost_cadence.dbr | records/skills/nonplayerskills/attackmelee/ghost_bladearc.dbr,103|104,AGREE,766.0,773.0,697.2,703.6,41.0,41.0
w151_a002,records/creatures/enemies/ghost_b02.dbr,sm_mod,Haunted Noble,151,103,trash,False,Champion,charLevel*1,both,True,True,4.126531,4.242791,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,766.0,0.0,766.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 5 own skill slots,(charLevel*6.4)+38,697.2,0.0,697.2,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 5 own skill slots,(charLevel*6)+30,648.0,0.0,648.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,678.0,0.0,678.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,483.5,0.0,483.5,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,46.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase02.dbr::offensiveTotalDamageModifier[102]=30.0(IN-RANGE,rank=103)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonus_physical02.dbr | records/skills/nonplayerskills/passive/armorbase02.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackmelee/ghost_shadowstrike.dbr,103|104,AGREE,766.0,773.0,697.2,703.6,46.0,46.0
w151_a003,records/creatures/enemies/ghost_b04.dbr,sm_mod,Haunted Champion,151,104,trash,False,Champion,charLevel*1,both,True,True,4.155102,4.272558,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,773.0,0.0,773.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 6 own skill slots,(charLevel*6.4)+38,703.6,0.0,703.6,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 6 own skill slots,(charLevel*6)+30,654.0,0.0,654.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,684.0,0.0,684.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,488.0,0.0,488.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,41.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase03.dbr::offensiveTotalDamageModifier[103]=25.0(IN-RANGE,rank=104)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonus_physical03.dbr | records/skills/nonplayerskills/passive/armorbase03.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackmelee/ghost_cadence.dbr | records/skills/nonplayerskills/attackmelee/ghost_bladearc.dbr,104|105,AGREE,773.0,780.0,703.6,710.0,41.0,41.0
w151_a004,records/creatures/enemies/ghost_b04.dbr,sm_mod,Haunted Champion,151,104,trash,False,Champion,charLevel*1,both,True,True,4.155102,4.272558,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,773.0,0.0,773.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 6 own skill slots,(charLevel*6.4)+38,703.6,0.0,703.6,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 6 own skill slots,(charLevel*6)+30,654.0,0.0,654.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,684.0,0.0,684.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,488.0,0.0,488.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,41.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase03.dbr::offensiveTotalDamageModifier[103]=25.0(IN-RANGE,rank=104)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonus_physical03.dbr | records/skills/nonplayerskills/passive/armorbase03.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackmelee/ghost_cadence.dbr | records/skills/nonplayerskills/attackmelee/ghost_bladearc.dbr,104|105,AGREE,773.0,780.0,703.6,710.0,41.0,41.0
w151_a005,records/creatures/enemies/ghost_b04.dbr,sm_mod,Haunted Champion,151,104,trash,False,Champion,charLevel*1,both,True,True,4.155102,4.272558,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,773.0,0.0,773.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 6 own skill slots,(charLevel*6.4)+38,703.6,0.0,703.6,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 6 own skill slots,(charLevel*6)+30,654.0,0.0,654.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,684.0,0.0,684.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,488.0,0.0,488.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,41.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase03.dbr::offensiveTotalDamageModifier[103]=25.0(IN-RANGE,rank=104)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonus_physical03.dbr | records/skills/nonplayerskills/passive/armorbase03.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackmelee/ghost_cadence.dbr | records/skills/nonplayerskills/attackmelee/ghost_bladearc.dbr,104|105,AGREE,773.0,780.0,703.6,710.0,41.0,41.0
w151_a006,records/creatures/enemies/ghost_b01.dbr,sm_mod,Haunted Noble,151,103,trash,False,Champion,charLevel*1,both,True,True,4.126531,4.242791,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,766.0,0.0,766.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 5 own skill slots,(charLevel*6.4)+38,697.2,0.0,697.2,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 5 own skill slots,(charLevel*6)+30,648.0,0.0,648.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,678.0,0.0,678.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,483.5,0.0,483.5,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,46.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase02.dbr::offensiveTotalDamageModifier[102]=30.0(IN-RANGE,rank=103)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonusranged_physical01.dbr | records/skills/nonplayerskills/passive/armorbase02.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackprojectile/ghost_phantomblade.dbr,103|104,AGREE,766.0,773.0,697.2,703.6,46.0,46.0
w151_a007,records/creatures/enemies/ghost_b04.dbr,sm_mod,Haunted Champion,151,104,trash,False,Champion,charLevel*1,both,True,True,4.155102,4.272558,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,773.0,0.0,773.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 6 own skill slots,(charLevel*6.4)+38,703.6,0.0,703.6,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 6 own skill slots,(charLevel*6)+30,654.0,0.0,654.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,684.0,0.0,684.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,488.0,0.0,488.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,41.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase03.dbr::offensiveTotalDamageModifier[103]=25.0(IN-RANGE,rank=104)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonus_physical03.dbr | records/skills/nonplayerskills/passive/armorbase03.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackmelee/ghost_cadence.dbr | records/skills/nonplayerskills/attackmelee/ghost_bladearc.dbr,104|105,AGREE,773.0,780.0,703.6,710.0,41.0,41.0
w151_a008,records/creatures/enemies/ghost_b02.dbr,sm_mod,Haunted Noble,151,103,trash,False,Champion,charLevel*1,both,True,True,4.126531,4.242791,records/creatures/enemies/bios/bio_ghost_02.dbr,base,(charLevel*7.0)+45,766.0,0.0,766.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDexterity,ABSENT on all 5 own skill slots,(charLevel*6.4)+38,697.2,0.0,697.2,records/creatures/enemies/bios/bio_ghost_02.dbr::characterIntelligence,ABSENT on all 5 own skill slots,(charLevel*6)+30,648.0,0.0,648.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterStrength,(charLevel*6)+60,678.0,0.0,678.0,records/creatures/enemies/bios/bio_ghost_02.dbr::characterOffensiveAbility,(charLevel*4.5)+20,483.5,0.0,483.5,records/creatures/enemies/bios/bio_ghost_02.dbr::characterDefensiveAbility,46.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase02.dbr::offensiveTotalDamageModifier[102]=30.0(IN-RANGE,rank=103)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebonus_physical02.dbr | records/skills/nonplayerskills/passive/armorbase02.dbr | records/skills/nonplayerskills/passive/passiveproperties_ghost.dbr | records/skills/nonplayerskills/attackmelee/ghost_shadowstrike.dbr,103|104,AGREE,766.0,773.0,697.2,703.6,46.0,46.0
w151_a009,records/creatures/enemies/hero/wendigo_h01.dbr,sm1,Vollarius ~ Arcane,151,109,hero,True,Hero,charLevel*1,both,True,True,4.798367,5.351628,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr,sm_mod,(charLevel*8.4)+15,930.6,0.0,930.6,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr::characterDexterity,ABSENT on all 16 own skill slots,(charLevel*8.4)+20,935.6,0.0,935.6,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr::characterIntelligence,ABSENT on all 16 own skill slots,(charLevel*6.7)+25,755.3,0.0,755.3,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr::characterStrength,(charLevel*7)+92,855.0,0.0,855.0,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr::characterOffensiveAbility,(charLevel*6.8)+15,756.2,0.0,756.2,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr::characterDefensiveAbility,41.0,MEASURED,AGREE,2,"records/skills/nonplayerskills/passive/damage_totaladjuster.dbr::offensiveTotalDamageModifier[3]=16.0(IN-RANGE,rank=4) | records/skills/nonplayerskills/passive/armorbase04.dbr::offensiveTotalDamageModifier[108]=25.0(IN-RANGE,rank=109)",records/skills/nonplayerskills/passive/damage_totaladjuster.dbr | records/skills/nonplayerskills/passive/damagebase_physical04.dbr | records/skills/nonplayerskills/passive/armorbase04.dbr | records/skills/nonplayerskills/passive/resists_heroboss.dbr | records/skills/nonplayerskills/heroskills/hero loot chests/hero_chest_all_01.dbr | records/skills/nonplayerskillsgdx1/passive/passiveproperties_wendigo.dbr | records/skills/nonplayerskillsgdx1/buff/wendigo_ancientaura.dbr | records/skills/nonplayerskillsgdx1/attackmelee/wendigo_tripleswipe.dbr | records/skills/nonplayerskillsgdx1/attackmelee/wendigo_leechingslam.dbr | records/skills/nonplayerskillsgdx1/buffoffensive/wraith_soulsiphon.dbr | records/skills/nonplayerskillsgdx1/aoe/wendigo_crimsonpool.dbr | records/skills/nonplayerskillsgdx1/heroskills/archetypes/arcane_elementalaura.dbr | records/skills/nonplayerskillsgdx1/heroskills/archetypes/arcane_elementaltempest.dbr | records/skills/nonplayerskillsgdx1/heroskills/archetypes/arcane_nullification.dbr | records/skills/nonplayerskillsgdx1/heroskills/archetypes/arcane_passivestatmodifier.dbr | records/skills/nonplayerskillsgdx1/heroskills/archetypes/arcane_elementalbolt.dbr,107|108,DIVERGENT,913.8,922.2,918.8,927.2,41.0,41.0
