source_kind,owner,record,archive,display_name,engine_class,field,rank_used,index_note,array_len,value,scope,condition,uptime_basis,active,grade,basis,note
gear:base,legs,records/items/gearlegs/b002e_legs.dbr,gdx1,Solael-Sect Legguards,ArmorProtective_Legs,offensiveLifeLeechMin,1,scalar,1,5.0,GLOBAL-WEAPON-ATTACKS,equipped,"PERMANENT (equipped, block 3)",ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,
gear:component,hands,records/items/materia/compa_restlessremains.dbr,base,Hands,ItemRelic,offensiveLifeLeechMin,1,scalar,1,3.0,GLOBAL-WEAPON-ATTACKS,equipped,"PERMANENT (equipped, block 3)",ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,
skill,Tonic of Mending,records/skills/default/defaulthealthpotion.dbr,gdx3,Tonic of Mending,Skill_ChargePotion,skillLifeBonus,1,scalar,1,800.0,,Skill_ChargePotion,SEE-CLASS,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1
skill,Tonic of Mending,records/skills/default/defaulthealthpotion.dbr,gdx3,Tonic of Mending,Skill_ChargePotion,skillLifePercent,1,scalar,1,25.0,,Skill_ChargePotion,SEE-CLASS,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1
skill,Veterancy,records/skills/playerclass01/passive2.dbr,base,Veterancy,Skill_Passive,characterLifeRegen,5,list[20]@rank5:exact,20,30.0,,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1 + sheet bonuses
skill,Veterancy,records/skills/playerclass01/passive2.dbr,base,Veterancy,Skill_Passive,characterLifeRegenModifier,5,list[20]@rank5:exact,20,25.0,,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1 + sheet bonuses
skill,Menhir's Will,records/skills/playerclass01/willtolive1.dbr,base,Menhir's Will,Skill_PassiveOnLifeBuffSelf,characterLifeRegen,5,list[26]@rank5:exact,26,120.0,,auto-triggers below 33.0% health,CONDITIONAL-LOWHEALTH,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1 + sheet bonuses
skill,Menhir's Will,records/skills/playerclass01/willtolive1.dbr,base,Menhir's Will,Skill_PassiveOnLifeBuffSelf,skillLifePercent,5,list[26]@rank5:exact,26,35.0,,auto-triggers below 33.0% health,CONDITIONAL-LOWHEALTH,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1 + sheet bonuses
skill,Menhir's Will,records/skills/playerclass01/willtolive1.dbr,base,Menhir's Will,Skill_PassiveOnLifeBuffSelf,lifeMonitorPercent,5,scalar,1,33.0,,auto-triggers below 33.0% health,CONDITIONAL-LOWHEALTH,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1 + sheet bonuses
skill,Ascension,records/skills/playerclass09/ascension1.dbr,gdx2,Ascension,Skill_BuffSelfDuration,damageAbsorption,2,list[22]@rank2:exact,22,30.0,,"manual, 10.0 s duration / 24.0 s cooldown",ACTIVE-WINDOW,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1 + sheet bonuses
skill,Clarity of Purpose,records/skills/playerclass09/ascension2.dbr,gdx2,Clarity of Purpose,Skill_Modifier,defensiveSlowLifeLeach,2,scalar,1,100.0,,Skill_Modifier,SEE-CLASS,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 1 + sheet bonuses
skill,Resilience,records/skills/playerclass09/passive02.dbr,gdx2,Resilience,Skill_PassiveOnLifeBuffSelf,characterHealIncreasePercent,3,list[22]@rank3:exact,22,24.0,,auto-triggers below 66.0% health,CONDITIONAL-LOWHEALTH,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 2 + sheet bonuses
skill,Resilience,records/skills/playerclass09/passive02.dbr,gdx2,Resilience,Skill_PassiveOnLifeBuffSelf,lifeMonitorPercent,3,scalar,1,66.0,,auto-triggers below 66.0% health,CONDITIONAL-LOWHEALTH,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 2 + sheet bonuses
skill,Haven,records/skills/playerclass09/presenceofvirtue2.dbr,gdx2,Haven,Skill_Modifier,characterHealIncreasePercent,10,list[20]@rank10:exact,20,22.0,,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 alloc 9 + sheet bonuses
devotion,Scales of Ulcama,records/skills/devotion/tier2_02d.dbr,base,Scales of Ulcama,Skill_Passive,offensiveLifeLeechMin,1,scalar,1,5.0,GLOBAL-WEAPON-ATTACKS,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 1
devotion,Scales of Ulcama,records/skills/devotion/tier2_02d.dbr,base,Scales of Ulcama,Skill_Passive,characterLifeRegen,1,scalar,1,30.0,,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 1
devotion,Scales of Ulcama,records/skills/devotion/tier2_02d.dbr,base,Scales of Ulcama,Skill_Passive,characterLifeRegenModifier,1,scalar,1,33.0,,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 1
devotion,Tip the Scales,records/skills/devotion/tier2_02f_skill.dbr,gdx3,Tip the Scales,Skill_AttackSpell,offensiveLifeLeechMin,20,list[20]@rank20:exact,20,132.0,SKILL-SCOPED,on use,ON-USE,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 20
devotion,Dire Bear,records/skills/devotion/tier2_05e.dbr,base,Dire Bear,Skill_Passive,offensiveLifeLeechMin,1,scalar,1,4.0,GLOBAL-WEAPON-ATTACKS,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 1
devotion-payload,tier2_05f_skill.dbr ->buffSkillName,records/skills/devotion/tier2_05f_skill_buff.dbr,gdx3,Maul,SkillBuff_Debuf,offensiveLifeLeechMin,20,list[20]@rank20:exact,20,45.0,SKILL-SCOPED,on use,ON-USE,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,payload of tier2_05f_skill.dbr via buffSkillName
devotion,Arcane Barrier,records/skills/devotion/tier2_17c_skill.dbr,gdx3,Arcane Barrier,Skill_BuffSelfShield,damageAbsorption,20,list[20]@rank20:exact,20,2900.0,,Skill_BuffSelfShield,SEE-CLASS,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 20
devotion,Turtle Shell,records/skills/devotion/tier1_29e_skill.dbr,gdx3,Turtle Shell,Skill_BuffSelfShield,damageAbsorption,25,list[25]@rank25:exact,25,6100.0,,Skill_BuffSelfShield,SEE-CLASS,ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 25
devotion,Toad,records/skills/devotion/tier1_42c.dbr,gdx1,Toad,Skill_Passive,offensiveLifeLeechMin,1,scalar,1,3.0,GLOBAL-WEAPON-ATTACKS,always-on,PERMANENT (passive / mastery / toggled aura),ACTIVE,MEASURED,record field read at the save's own allocation / devotion_level,block8 devotion_level 1
