record,archive,display_name,engine_class,role,trigger,rank_used,rank_basis,weaponDamagePct_skill,weaponDamagePct_gear_active,weaponDamagePct_gear_inactive,weaponDamagePct_total,gear_wd_sources,adcth_leech_fraction,adcth_clamped_at_100,own_skill_scoped_adcth_pct,own_skill_scoped_adcth_index,own_flat_physical,own_flat_vitality,timeBetweenAttacks_quanta,hit_period_100pct_s,hit_period_s_LO,hit_period_s_HI,hit_rate_per_s_LO,hit_rate_per_s_HI,skillCooldownTime_s,skillActiveDuration_s,skillTargetRadius_m,targetingMode,target_cap_field,grade,basis
records/skills/default/defaultkickattack.dbr,base,,Skill_Kick,other,,1,block8 1,150.0,0,0,150.0,,1.0,YES,,,8.0,,,,,,,,,,,,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/default/defaultwpbasicattack.dbr,base,Weapon Attack,Skill_WPAttack_BasicAttack,other,,1,block8 1,100.0,0,0,100.0,,1.0,no,,,,,,,,,,,,,,,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/default/defaultweaponattack.dbr,base,Weapon Attack,Skill_WeaponPool_Default,other,,1,block8 1,100.0,0,0,100.0,,1.0,no,,,,,,,,,,,,,,,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/playerclass01/blitz1.dbr,base,Blitz,Skill_AttackWeaponCharge,player-skill,bar-bound / manual,5,block8 1 + sheet mastery/all bonuses,195.0,0,0,195.0,,1.0,YES,,,190.0,,,,,,,,3.5,,,,PRESENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/playerclass09/viremight1.dbr,gdx2,Vire's Might,Skill_AttackPathCharge,player-skill,bar-bound / manual,2,block8 1 + sheet mastery/all bonuses,125.0,0,0,125.0,,1.0,YES,,,73.0,,100,0.08,0.04391,0.040816,22.774,24.5,3.5999999046325684,,2.200000047683716,Point,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,Eye of Reckoning,Skill_AttackRadiusSpin,player-skill,bar-bound / manual,20,block8 15 + all-skills 1 + oathkeeper 0 + Gutsmasher augmentSkillLevel2 4,43.0,14.0,5.0,57.0,weapon:mace2h_d107_eyeofreckoning.dbr=14.0; set:warborn:set_d025_eyeofreckoning.dbr=5.0 [INACTIVE],0.57,no,,,109.0,,200,0.16,0.08782,0.081633,11.387,12.25,,,3.0,Point,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/devotion/tier2_02f_skill.dbr,gdx3,Tip the Scales,Skill_AttackSpell,devotion-proc,bound autocast,20,block8 devotion_level 20,33.0,0,0,33.0,,0.33,no,132.0,list[20]@rank20:exact,,310.0,,,,,,,1.0,,,,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/devotion/tier2_05f_skill_buff.dbr,gdx3,Maul,SkillBuff_Debuf,devotion-proc-payload,via buffSkillName,20,payload of tier2_05f_skill.dbr at devotion_level 20,0.0,0,0,0.0,,0.0,no,45.0,list[20]@rank20:exact,305.0,,,,,,,,,5.0,4.5,,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/devotion/tier3_20e_skill.dbr,gdx3,Shifting Sands,Skill_AttackProjectile,devotion-proc,bound autocast,15,block8 devotion_level 15,30.0,0,0,30.0,,0.3,no,,,205.0,,,,,,,,0.5,1.0,,,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
records/skills/itemskillsgdx2/runes/rush_d203.dbr,gdx2,Violent Delights,Skill_AttackPathCharge,item-skill,medal:itemSkillName,1,"item-granted, rank 1",240.0,0,0,240.0,,1.0,YES,,,300.0,,100,0.08,0.04391,0.040816,22.774,24.5,2.5,,2.0,Point,ABSENT,MEASURED,skill record `weaponDamagePct` at the save's own effective rank; gear modifiers from modifiedSkillName/modifierSkillName pairs
