record,archive,display_name,monster_classification,wave,level,own_leech_resist_pct,difficulty_leech_resist_pct,survival_wave_leech_resist_pct,total_leech_resist_pct,max_resist_field,adcth_mult_COUPLED,adcth_mult_DECOUPLED,weapon_portion_raw_LO,weapon_portion_raw_HI,weapon_portion_applied_LO,weapon_portion_applied_HI,heal_per_hit_COUPLED_LO,heal_per_hit_COUPLED_HI,heal_per_hit_DECOUPLED_LO,heal_per_hit_DECOUPLED_HI,mitigation_grade,ehp_lo,ehp_hi,n_sources,sources,grade,basis
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,151,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,59525,61637,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,152,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,59646,61762,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,153,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,59766,61887,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,154,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,59887,62012,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,155,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,60008,62137,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,156,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,60128,62262,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,157,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,60249,62387,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,158,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,60370,62512,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,159,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,60491,62637,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
records/creatures/anomalies/aetheranomaly_01_summon.dbr,gdx1,Whirlwind,Common,160,105,500.0,65.0,0.0,565.0,0.0,0.0,1.0,9674.04,23330.1,0.0,0.0,0.0,0.0,0.0,0.0,MEASURED,60611,62762,1,passiveproperties_trap.dbr.defensiveSlowLifeLeach=500.0,MEASURED,record.defensiveSlowLifeLeach + every skillName{i} passive at its own skillLevel{i} + balancingadjustment_mp+difficulty_enemies01[8] + survivalmode wave term
