source,window,frame_path,t_sec,text,ocr_conf,text_class,is_hud,colour_class,rgb_r,rgb_g,rgb_b,r_over_g,g_minus_maxrb,bbox_x,bbox_y,bbox_w,bbox_h,px_x0,px_y0,px_x1,px_y1
census,,C0000.png,683.0,Gladiator,1.0,other,0,neutral,214.4,210.7,192.2,1.018,-3.7,0.00576,0.9736,0.04518,0.01662,11,10,97,28
census,,C0000.png,683.0,9:48:49,1.0,other,0,cream_dealt,215.7,209.6,186.7,1.029,-6.0,0.01017,0.93798,0.04651,0.0155,19,50,108,66
census,,C0000.png,683.0,PM,1.0,other,0,cream_dealt,212.6,204.8,186.2,1.038,-7.9,0.05669,0.93798,0.02762,0.01809,108,47,161,66
census,,C0000.png,683.0,Crucible of the Dead,1.0,other,0,cream_dealt,212.7,208.3,190.8,1.021,-4.4,0.89244,0.9713,0.09738,0.01852,1713,10,1900,30
census,,C0000.png,683.0,125,1.0,bare,1,cream_dealt,186.9,176.7,152.6,1.058,-10.2,0.71802,0.88889,0.01599,0.01292,1378,106,1409,119
census,,C0000.png,683.0,New Mutators Active,1.0,other,0,neutral,188.5,191.9,204.9,0.983,-13.1,0.39244,0.83204,0.21657,0.0337,753,145,1169,181
census,,C0000.png,683.0,151,1.0,bare,1,red_taken,179.1,82.6,46.2,2.168,-96.5,0.82558,0.85013,0.0189,0.01809,1585,142,1621,161
census,,C0000.png,683.0,"(139,400/139,400)",1.0,pair,0,neutral,232.8,235.0,239.2,0.99,-4.2,0.00145,0.75452,0.09157,0.0155,2,248,178,265
census,,C0000.png,683.0,"(225,874/225,874)",1.0,pair,0,neutral,237.8,239.1,242.1,0.995,-3.0,0.03198,0.69251,0.09012,0.01292,61,318,234,332
census,,C0000.png,683.0,"(373,665/373,665)",1.0,pair,0,neutral,229.9,234.6,229.7,0.98,4.7,0.01599,0.65116,0.09012,0.0155,30,359,203,376
census,,C0000.png,683.0,"(136,975/136,975)",1.0,pair,0,neutral,231.8,233.5,233.2,0.993,0.3,0.01744,0.63049,0.09012,0.0155,33,382,206,399
census,,C0000.png,683.0,Objectives,1.0,other,0,cream_dealt,238.1,172.2,84.9,1.383,-65.9,0.87355,0.68217,0.05523,0.01809,1677,323,1783,343
census,,C0000.png,683.0,"(20,005/20,005)",1.0,pair,0,neutral,241.0,238.1,237.4,1.012,-2.9,0.46076,0.61499,0.07994,0.0155,884,399,1038,415
census,,C0000.png,683.0,400),1.0,other,0,neutral,238.0,243.6,238.9,0.977,4.8,0.0,0.55297,0.02326,0.01292,0,468,44,482
census,,C0000.png,683.0,20005/20005,1.0,pair,1,neutral,232.8,229.3,226.1,1.015,-3.5,0.30233,0.05426,0.05378,0.0155,580,1004,683,1021
census,,C0000.png,683.0,1594/2576,1.0,pair,1,neutral,232.0,235.2,235.0,0.986,0.2,0.64815,0.05081,0.04527,0.01983,1244,1003,1331,1025
census,,C0000.png,683.0,03:03,0.5,other,0,cream_dealt,189.8,182.5,159.6,1.04,-7.3,0.77616,0.88889,0.0218,0.0155,1490,103,1532,119
census,,C0000.png,683.0,"230,020)",0.5,other,0,neutral,235.7,233.3,235.6,1.01,-2.4,0.0,0.73385,0.04651,0.0155,0,270,89,287
census,,C0000.png,683.0,O Eliminate all Enemies,0.5,other,0,neutral,213.4,215.5,215.2,0.99,0.3,0.87936,0.66111,0.08576,0.01589,1688,348,1853,366
