frame,t_sec,wave,hp_before,hp_after,health_max,deficit_before,step_raw,step_net_of_regen,clean,provenance,per_body_if_N1,COUPLED_median_band_contains,DECOUPLED_median_band_contains,below_DECOUPLED_board_p5,below_COUPLED_board_min
703,694.7167,151,16350,17167,20005,3655,817,814.84,1,hp_trace_60fps_ocr_NOT_fct,814.84,1,0,1,0
830,696.8333,151,11300,12462,20005,8705,1162,1159.84,1,hp_trace_60fps_ocr_NOT_fct,1159.84,1,0,1,0
836,696.9333,151,12472,14050,20005,7533,1578,1575.84,1,hp_trace_60fps_ocr_NOT_fct,1575.84,0,0,0,0
841,697.0167,151,14058,15187,20005,5947,1129,1126.84,1,hp_trace_60fps_ocr_NOT_fct,1126.84,1,0,1,0
847,697.1167,151,15197,16396,20005,4808,1199,1196.84,1,hp_trace_60fps_ocr_NOT_fct,1196.84,1,0,1,0
852,697.2,151,16405,18565,20005,3600,2160,2157.84,1,hp_trace_60fps_ocr_NOT_fct,2157.84,0,1,0,0
1761,712.35,152,16956,19960,20005,3049,3004,3001.84,0,hp_trace_60fps_ocr_NOT_fct,3001.84,0,1,0,0
2571,725.85,153,15298,18150,20005,4707,2852,2849.84,1,hp_trace_60fps_ocr_NOT_fct,2849.84,0,1,0,0
3049,733.8167,154,16824,17201,20005,3181,377,374.84,0,hp_trace_60fps_ocr_NOT_fct,374.84,0,0,1,0
3292,737.8667,154,15477,16304,20005,4528,827,824.84,1,hp_trace_60fps_ocr_NOT_fct,824.84,1,0,1,0
3297,737.95,154,16313,18090,20005,3692,1777,1774.84,1,hp_trace_60fps_ocr_NOT_fct,1774.84,0,0,0,0
3386,739.4333,154,16856,17513,20005,3149,657,654.84,0,hp_trace_60fps_ocr_NOT_fct,654.84,1,0,1,0
3443,740.3833,154,16441,17422,20005,3564,981,978.84,0,hp_trace_60fps_ocr_NOT_fct,978.84,1,0,1,0
3513,741.55,154,14034,18690,20005,5971,4656,4653.84,0,hp_trace_60fps_ocr_NOT_fct,4653.84,0,1,0,0
4091,751.1833,155,15166,17393,20005,4839,2227,2224.84,0,hp_trace_60fps_ocr_NOT_fct,2224.84,0,1,0,0
5362,772.3667,156,15794,16874,20005,4211,1080,1077.84,1,hp_trace_60fps_ocr_NOT_fct,1077.84,1,0,1,0
5368,772.4667,156,16869,17714,20005,3136,845,842.84,0,hp_trace_60fps_ocr_NOT_fct,842.84,1,0,1,0
5380,772.6667,156,16058,16820,20005,3947,762,759.84,0,hp_trace_60fps_ocr_NOT_fct,759.84,1,0,1,0
5386,772.7667,156,16814,17732,20005,3191,918,915.84,0,hp_trace_60fps_ocr_NOT_fct,915.84,1,0,1,0
5397,772.95,156,15582,16434,20005,4423,852,849.84,1,hp_trace_60fps_ocr_NOT_fct,849.84,1,0,1,0
5403,773.05,156,16226,17264,20005,3779,1038,1035.84,0,hp_trace_60fps_ocr_NOT_fct,1035.84,1,0,1,0
8159,818.9833,159,16115,16472,20005,3890,357,354.84,0,hp_trace_60fps_ocr_NOT_fct,354.84,0,0,1,0
8164,819.0667,159,14217,14452,20005,5788,235,232.84,0,hp_trace_60fps_ocr_NOT_fct,232.84,0,0,1,0
8169,819.15,159,14351,14588,20005,5654,237,234.84,0,hp_trace_60fps_ocr_NOT_fct,234.84,0,0,1,0
8175,819.25,159,14487,14692,20005,5518,205,202.84,0,hp_trace_60fps_ocr_NOT_fct,202.84,0,0,1,0
8181,819.35,159,14701,14807,20005,5304,106,103.84,1,hp_trace_60fps_ocr_NOT_fct,103.84,0,0,1,1
8186,819.4333,159,14816,14970,20005,5189,154,151.84,0,hp_trace_60fps_ocr_NOT_fct,151.84,0,0,1,0
8192,819.5333,159,14950,15171,20005,5055,221,218.84,0,hp_trace_60fps_ocr_NOT_fct,218.84,0,0,1,0
8202,819.7,159,14735,14990,20005,5270,255,252.84,0,hp_trace_60fps_ocr_NOT_fct,252.84,0,0,1,0
8203,819.7167,159,14990,15411,20005,5015,421,418.84,0,hp_trace_60fps_ocr_NOT_fct,418.84,0,0,1,0
8209,819.8167,159,15278,15612,20005,4727,334,331.84,1,hp_trace_60fps_ocr_NOT_fct,331.84,0,0,1,0
8356,822.2667,159,14593,14792,20005,5412,199,196.84,1,hp_trace_60fps_ocr_NOT_fct,196.84,0,0,1,0
8359,822.3167,159,14795,15203,20005,5210,408,405.84,1,hp_trace_60fps_ocr_NOT_fct,405.84,0,0,1,0
8360,822.3333,159,15203,15356,20005,4802,153,150.84,1,hp_trace_60fps_ocr_NOT_fct,150.84,0,0,1,0
8365,822.4167,159,15361,15526,20005,4644,165,162.84,1,hp_trace_60fps_ocr_NOT_fct,162.84,0,0,1,0
8367,822.45,159,15526,17211,20005,4479,1685,1682.84,1,hp_trace_60fps_ocr_NOT_fct,1682.84,0,0,0,0
8442,823.7,159,16991,17084,20005,3014,93,90.84,1,hp_trace_60fps_ocr_NOT_fct,90.84,0,0,1,1
8520,825.0,159,16381,16630,20005,3624,249,246.84,0,hp_trace_60fps_ocr_NOT_fct,246.84,0,0,1,0
8525,825.0833,159,16611,16751,20005,3394,140,137.84,0,hp_trace_60fps_ocr_NOT_fct,137.84,0,0,1,0
8529,825.15,159,16757,17187,20005,3248,430,427.84,1,hp_trace_60fps_ocr_NOT_fct,427.84,0,0,1,0
8552,825.5333,159,16326,16508,20005,3679,182,179.84,0,hp_trace_60fps_ocr_NOT_fct,179.84,0,0,1,0
8558,825.6333,159,14192,14358,20005,5813,166,163.84,1,hp_trace_60fps_ocr_NOT_fct,163.84,0,0,1,0
8564,825.7333,159,14339,14727,20005,5666,388,385.84,1,hp_trace_60fps_ocr_NOT_fct,385.84,0,0,1,0
8570,825.8333,159,14712,15090,20005,5293,378,375.84,1,hp_trace_60fps_ocr_NOT_fct,375.84,0,0,1,0
8576,825.9333,159,15074,15438,20005,4931,364,361.84,1,hp_trace_60fps_ocr_NOT_fct,361.84,0,0,1,0
8583,826.05,159,15423,16180,20005,4582,757,754.84,1,hp_trace_60fps_ocr_NOT_fct,754.84,1,0,1,0
8604,826.4,159,16125,16228,20005,3880,103,100.84,0,hp_trace_60fps_ocr_NOT_fct,100.84,0,0,1,1
8607,826.45,159,16231,16469,20005,3774,238,235.84,0,hp_trace_60fps_ocr_NOT_fct,235.84,0,0,1,0
8608,826.4667,159,16469,16536,20005,3536,67,64.84,0,hp_trace_60fps_ocr_NOT_fct,64.84,0,0,1,1
8612,826.5333,159,16517,17070,20005,3488,553,550.84,1,hp_trace_60fps_ocr_NOT_fct,550.84,0,0,1,0
8957,832.2833,159,15579,15636,20005,4426,57,54.84,0,hp_trace_60fps_ocr_NOT_fct,54.84,0,0,1,1
8969,832.4833,159,13336,13401,20005,6669,65,62.84,0,hp_trace_60fps_ocr_NOT_fct,62.84,0,0,1,1
8980,832.6667,159,11490,11622,20005,8515,132,129.84,1,hp_trace_60fps_ocr_NOT_fct,129.84,0,0,1,1
8986,832.7667,159,11195,11258,20005,8810,63,60.84,1,hp_trace_60fps_ocr_NOT_fct,60.84,0,0,1,1
8989,832.8167,159,11261,11478,20005,8744,217,214.84,0,hp_trace_60fps_ocr_NOT_fct,214.84,0,0,1,0
8993,832.8833,159,11442,11520,20005,8563,78,75.84,0,hp_trace_60fps_ocr_NOT_fct,75.84,0,0,1,1
8999,832.9833,159,11388,11502,20005,8617,114,111.84,0,hp_trace_60fps_ocr_NOT_fct,111.84,0,0,1,1
9006,833.1,159,7818,8007,20005,12187,189,186.84,0,hp_trace_60fps_ocr_NOT_fct,186.84,0,0,1,0
9011,833.1833,159,8014,8178,20005,11991,164,161.84,1,hp_trace_60fps_ocr_NOT_fct,161.84,0,0,1,0
9016,833.2667,159,8185,8335,20005,11820,150,147.84,1,hp_trace_60fps_ocr_NOT_fct,147.84,0,0,1,0
9021,833.35,159,8342,8497,20005,11663,155,152.84,1,hp_trace_60fps_ocr_NOT_fct,152.84,0,0,1,0
9027,833.45,159,8507,8882,20005,11498,375,372.84,1,hp_trace_60fps_ocr_NOT_fct,372.84,0,0,1,0
9033,833.55,159,8892,9723,20005,11113,831,828.84,1,hp_trace_60fps_ocr_NOT_fct,828.84,1,0,1,0
9040,833.6667,159,9734,9918,20005,10271,184,181.84,1,hp_trace_60fps_ocr_NOT_fct,181.84,0,0,1,0
9046,833.7667,159,9928,10150,20005,10077,222,219.84,1,hp_trace_60fps_ocr_NOT_fct,219.84,0,0,1,0
9052,833.8667,159,10161,10706,20005,9844,545,542.84,1,hp_trace_60fps_ocr_NOT_fct,542.84,0,0,1,0
9058,833.9667,159,10716,11951,20005,9289,1235,1232.84,1,hp_trace_60fps_ocr_NOT_fct,1232.84,1,0,1,0
9064,834.0667,159,11961,14223,20005,8044,2262,2259.84,1,hp_trace_60fps_ocr_NOT_fct,2259.84,0,1,0,0
9070,834.1667,159,14232,15552,20005,5773,1320,1317.84,1,hp_trace_60fps_ocr_NOT_fct,1317.84,1,0,1,0
9076,834.2667,159,15562,16744,20005,4443,1182,1179.84,1,hp_trace_60fps_ocr_NOT_fct,1179.84,1,0,1,0
9082,834.3667,159,16753,17874,20005,3252,1121,1118.84,1,hp_trace_60fps_ocr_NOT_fct,1118.84,1,0,1,0
9168,835.8,159,15314,17041,20005,4691,1727,1724.84,1,hp_trace_60fps_ocr_NOT_fct,1724.84,0,0,0,0
9229,836.8167,159,15696,17423,20005,4309,1727,1724.84,1,hp_trace_60fps_ocr_NOT_fct,1724.84,0,0,0,0
9507,841.45,160,14733,15246,20005,5272,513,510.84,0,hp_trace_60fps_ocr_NOT_fct,510.84,0,0,1,0
9513,841.55,160,13979,14422,20005,6026,443,440.84,1,hp_trace_60fps_ocr_NOT_fct,440.84,0,0,1,0
9519,841.65,160,14432,14864,20005,5573,432,429.84,1,hp_trace_60fps_ocr_NOT_fct,429.84,0,0,1,0
9525,841.75,160,14874,15294,20005,5131,420,417.84,1,hp_trace_60fps_ocr_NOT_fct,417.84,0,0,1,0
9531,841.85,160,15304,15677,20005,4701,373,370.84,1,hp_trace_60fps_ocr_NOT_fct,370.84,0,0,1,0
9537,841.95,160,15688,16511,20005,4317,823,820.84,1,hp_trace_60fps_ocr_NOT_fct,820.84,1,0,1,0
9543,842.05,160,16522,17325,20005,3483,803,800.84,1,hp_trace_60fps_ocr_NOT_fct,800.84,1,0,1,0
9627,843.45,160,7450,8062,20005,12555,612,609.84,1,hp_trace_60fps_ocr_NOT_fct,609.84,1,0,1,0
9632,843.5333,160,8071,8856,20005,11934,785,782.84,1,hp_trace_60fps_ocr_NOT_fct,782.84,1,0,1,0
9638,843.6333,160,8866,9615,20005,11139,749,746.84,1,hp_trace_60fps_ocr_NOT_fct,746.84,1,0,1,0
9644,843.7333,160,9624,10486,20005,10381,862,859.84,1,hp_trace_60fps_ocr_NOT_fct,859.84,1,0,1,0
9649,843.8167,160,10495,11389,20005,9510,894,891.84,1,hp_trace_60fps_ocr_NOT_fct,891.84,1,0,1,0
9654,843.9,160,11398,12582,20005,8607,1184,1181.84,0,hp_trace_60fps_ocr_NOT_fct,1181.84,1,0,1,0
9658,843.9667,160,11180,13564,20005,8825,2384,2381.84,0,hp_trace_60fps_ocr_NOT_fct,2381.84,0,1,0,0
9666,844.1,160,13269,15733,20005,6736,2464,2461.84,0,hp_trace_60fps_ocr_NOT_fct,2461.84,0,1,0,0
9675,844.25,160,12626,13428,20005,7379,802,799.84,0,hp_trace_60fps_ocr_NOT_fct,799.84,1,0,1,0
9754,845.5667,160,10721,12297,20005,9284,1576,1573.84,0,hp_trace_60fps_ocr_NOT_fct,1573.84,0,0,0,0
9767,845.7833,160,5360,13904,20005,14645,8544,8541.84,0,hp_trace_60fps_ocr_NOT_fct,8541.84,0,0,0,0
9790,846.1667,160,13186,14001,20005,6819,815,812.84,0,hp_trace_60fps_ocr_NOT_fct,812.84,1,0,1,0
9796,846.2667,160,13922,15323,20005,6083,1401,1398.84,0,hp_trace_60fps_ocr_NOT_fct,1398.84,1,0,1,0
9802,846.3667,160,13384,15498,20005,6621,2114,2111.84,0,hp_trace_60fps_ocr_NOT_fct,2111.84,0,0,0,0
9808,846.4667,160,15354,17355,20005,4651,2001,1998.84,0,hp_trace_60fps_ocr_NOT_fct,1998.84,0,0,0,0
9883,847.7167,160,6399,6907,20005,13606,508,505.84,0,hp_trace_60fps_ocr_NOT_fct,505.84,0,0,1,0
9888,847.8,160,6760,7370,20005,13245,610,607.84,0,hp_trace_60fps_ocr_NOT_fct,607.84,1,0,1,0
9892,847.8667,160,7223,7824,20005,12782,601,598.84,0,hp_trace_60fps_ocr_NOT_fct,598.84,1,0,1,0
9906,848.1,160,6954,8246,20005,13051,1292,1289.84,1,hp_trace_60fps_ocr_NOT_fct,1289.84,1,0,1,0
9907,848.1167,160,8246,12159,20005,11759,3913,3910.84,1,hp_trace_60fps_ocr_NOT_fct,3910.84,0,1,0,0
9934,848.5667,160,11742,12678,20005,8263,936,933.84,0,hp_trace_60fps_ocr_NOT_fct,933.84,1,0,1,0
9939,848.65,160,12630,13239,20005,7375,609,606.84,0,hp_trace_60fps_ocr_NOT_fct,606.84,1,0,1,0
9945,848.75,160,13197,13539,20005,6808,342,339.84,0,hp_trace_60fps_ocr_NOT_fct,339.84,0,0,1,0
9951,848.85,160,13502,14141,20005,6503,639,636.84,0,hp_trace_60fps_ocr_NOT_fct,636.84,1,0,1,0
9958,848.9667,160,14101,14500,20005,5904,399,396.84,0,hp_trace_60fps_ocr_NOT_fct,396.84,0,0,1,0
9966,849.1,160,14511,19982,20005,5494,5471,5468.84,1,hp_trace_60fps_ocr_NOT_fct,5468.84,0,0,0,0
10057,850.6167,160,11566,14962,20005,8439,3396,3393.84,0,hp_trace_60fps_ocr_NOT_fct,3393.84,0,1,0,0
10063,850.7167,160,14919,15802,20005,5086,883,880.84,0,hp_trace_60fps_ocr_NOT_fct,880.84,1,0,1,0
10076,850.9333,160,15670,16262,20005,4335,592,589.84,0,hp_trace_60fps_ocr_NOT_fct,589.84,1,0,1,0
10083,851.05,160,16187,16479,20005,3818,292,289.84,0,hp_trace_60fps_ocr_NOT_fct,289.84,0,0,1,0
10090,851.1667,160,16404,17645,20005,3601,1241,1238.84,0,hp_trace_60fps_ocr_NOT_fct,1238.84,1,0,1,0
10243,853.7167,160,15918,16252,20005,4087,334,331.84,1,hp_trace_60fps_ocr_NOT_fct,331.84,0,0,1,0
10250,853.8333,160,16278,18582,20005,3727,2304,2301.84,1,hp_trace_60fps_ocr_NOT_fct,2301.84,0,1,0,0
10373,855.8833,160,14141,16330,20005,5864,2189,2186.84,0,hp_trace_60fps_ocr_NOT_fct,2186.84,0,1,0,0
