frame,t_sec,wave,hp,health_max,deficit,delta_hp
0,683.0,151,20005,20005,0,
1,683.0167,151,20005,20005,0,0
2,683.0333,151,20005,20005,0,0
3,683.05,151,20005,20005,0,0
4,683.0667,151,20005,20005,0,0
5,683.0833,151,20005,20005,0,0
6,683.1,151,20005,20005,0,0
7,683.1167,151,20005,20005,0,0
8,683.1333,151,20005,20005,0,0
9,683.15,151,20005,20005,0,0
10,683.1667,151,20005,20005,0,0
11,683.1833,151,20005,20005,0,0
12,683.2,151,20005,20005,0,0
13,683.2167,151,20005,20005,0,0
14,683.2333,151,20005,20005,0,0
15,683.25,151,20005,20005,0,0
16,683.2667,151,20005,20005,0,0
17,683.2833,151,20005,20005,0,0
18,683.3,151,20005,20005,0,0
19,683.3167,151,20005,20005,0,0
20,683.3333,151,20005,20005,0,0
21,683.35,151,20005,20005,0,0
22,683.3667,151,20005,20005,0,0
23,683.3833,151,20005,20005,0,0
24,683.4,151,20005,20005,0,0
25,683.4167,151,20005,20005,0,0
26,683.4333,151,20005,20005,0,0
27,683.45,151,20005,20005,0,0
28,683.4667,151,20005,20005,0,0
29,683.4833,151,20005,20005,0,0
30,683.5,151,20005,20005,0,0
31,683.5167,151,20005,20005,0,0
32,683.5333,151,20005,20005,0,0
33,683.55,151,20005,20005,0,0
34,683.5667,151,20005,20005,0,0
35,683.5833,151,20005,20005,0,0
36,683.6,151,20005,20005,0,0
37,683.6167,151,20005,20005,0,0
38,683.6333,151,20005,20005,0,0
39,683.65,151,20005,20005,0,0
40,683.6667,151,20005,20005,0,0
41,683.6833,151,20005,20005,0,0
42,683.7,151,20005,20005,0,0
43,683.7167,151,20005,20005,0,0
44,683.7333,151,20005,20005,0,0
45,683.75,151,20005,20005,0,0
46,683.7667,151,20005,20005,0,0
47,683.7833,151,20005,20005,0,0
48,683.8,151,20005,20005,0,0
49,683.8167,151,20005,20005,0,0
50,683.8333,151,20005,20005,0,0
51,683.85,151,20005,20005,0,0
52,683.8667,151,20005,20005,0,0
53,683.8833,151,20005,20005,0,0
54,683.9,151,20005,20005,0,0
55,683.9167,151,20005,20005,0,0
56,683.9333,151,20005,20005,0,0
57,683.95,151,20005,20005,0,0
58,683.9667,151,20005,20005,0,0
59,683.9833,151,20005,20005,0,0
60,684.0,151,20005,20005,0,0
61,684.0167,151,20005,20005,0,0
62,684.0333,151,20005,20005,0,0
63,684.05,151,20005,20005,0,0
64,684.0667,151,20005,20005,0,0
65,684.0833,151,20005,20005,0,0
66,684.1,151,20005,20005,0,0
67,684.1167,151,20005,20005,0,0
68,684.1333,151,20005,20005,0,0
69,684.15,151,20005,20005,0,0
70,684.1667,151,20005,20005,0,0
71,684.1833,151,20005,20005,0,0
72,684.2,151,20005,20005,0,0
73,684.2167,151,20005,20005,0,0
74,684.2333,151,20005,20005,0,0
75,684.25,151,20005,20005,0,0
76,684.2667,151,20005,20005,0,0
77,684.2833,151,20005,20005,0,0
78,684.3,151,20005,20005,0,0
79,684.3167,151,20005,20005,0,0
80,684.3333,151,20005,20005,0,0
81,684.35,151,20005,20005,0,0
82,684.3667,151,20005,20005,0,0
83,684.3833,151,20005,20005,0,0
84,684.4,151,20005,20005,0,0
85,684.4167,151,20005,20005,0,0
86,684.4333,151,20005,20005,0,0
87,684.45,151,20005,20005,0,0
88,684.4667,151,20005,20005,0,0
89,684.4833,151,20005,20005,0,0
90,684.5,151,20005,20005,0,0
91,684.5167,151,20005,20005,0,0
92,684.5333,151,20005,20005,0,0
93,684.55,151,20005,20005,0,0
94,684.5667,151,20005,20005,0,0
95,684.5833,151,20005,20005,0,0
96,684.6,151,20005,20005,0,0
97,684.6167,151,20005,20005,0,0
98,684.6333,151,20005,20005,0,0
99,684.65,151,20005,20005,0,0
100,684.6667,151,20005,20005,0,0
101,684.6833,151,20005,20005,0,0
102,684.7,151,20005,20005,0,0
103,684.7167,151,20005,20005,0,0
104,684.7333,151,20005,20005,0,0
105,684.75,151,20005,20005,0,0
106,684.7667,151,20005,20005,0,0
107,684.7833,151,20005,20005,0,0
108,684.8,151,20005,20005,0,0
109,684.8167,151,20005,20005,0,0
110,684.8333,151,20005,20005,0,0
111,684.85,151,20005,20005,0,0
112,684.8667,151,20005,20005,0,0
113,684.8833,151,20005,20005,0,0
114,684.9,151,20005,20005,0,0
115,684.9167,151,20005,20005,0,0
116,684.9333,151,20005,20005,0,0
117,684.95,151,20005,20005,0,0
118,684.9667,151,20005,20005,0,0
119,684.9833,151,20005,20005,0,0
120,685.0,151,20005,20005,0,0
121,685.0167,151,20005,20005,0,0
122,685.0333,151,20005,20005,0,0
123,685.05,151,20005,20005,0,0
124,685.0667,151,20005,20005,0,0
125,685.0833,151,20005,20005,0,0
126,685.1,151,20005,20005,0,0
127,685.1167,151,20005,20005,0,0
128,685.1333,151,20005,20005,0,0
129,685.15,151,20005,20005,0,0
130,685.1667,151,20005,20005,0,0
131,685.1833,151,20005,20005,0,0
132,685.2,151,20005,20005,0,0
133,685.2167,151,20005,20005,0,0
134,685.2333,151,20005,20005,0,0
135,685.25,151,20005,20005,0,0
136,685.2667,151,20005,20005,0,0
137,685.2833,151,20005,20005,0,0
138,685.3,151,20005,20005,0,0
139,685.3167,151,20005,20005,0,0
140,685.3333,151,20005,20005,0,0
141,685.35,151,20005,20005,0,0
142,685.3667,151,20005,20005,0,0
143,685.3833,151,20005,20005,0,0
144,685.4,151,20005,20005,0,0
145,685.4167,151,20005,20005,0,0
146,685.4333,151,20005,20005,0,0
147,685.45,151,20005,20005,0,0
148,685.4667,151,20005,20005,0,0
149,685.4833,151,20005,20005,0,0
150,685.5,151,20005,20005,0,0
151,685.5167,151,20005,20005,0,0
152,685.5333,151,20005,20005,0,0
153,685.55,151,20005,20005,0,0
154,685.5667,151,20005,20005,0,0
155,685.5833,151,20005,20005,0,0
156,685.6,151,20005,20005,0,0
157,685.6167,151,20005,20005,0,0
158,685.6333,151,20005,20005,0,0
159,685.65,151,20005,20005,0,0
160,685.6667,151,20005,20005,0,0
161,685.6833,151,20005,20005,0,0
162,685.7,151,20005,20005,0,0
