scope,wave,R_gpx,dry_fraction,mean_occupancy,median_occupancy,n_dry_runs,longest_dry_run_s,basis
whole_fight_radius_curve,,60,0.752447,0.3388,0.0,778,4.4,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,80,0.670517,0.5128,0.0,800,3.6,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,100,0.581343,0.7201,0.0,781,3.5166,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,120,0.500098,0.9464,0.0,749,3.1,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,150,0.412099,1.2844,1.0,670,3.1,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,180,0.352584,1.6513,1.0,588,3.1,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,220,0.282987,2.1838,2.0,519,3.1,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,260,0.226116,2.8293,2.0,403,3.1,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,300,0.198904,3.4251,3.0,347,2.75,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,350,0.171789,3.9881,3.0,298,2.75,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,400,0.154464,4.4519,4.0,246,2.65,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,450,0.139683,4.9448,4.0,224,2.3,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,500,0.131167,5.358,4.0,210,2.3,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,600,0.108849,6.4344,6.0,178,2.3,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
whole_fight_radius_curve,,800,0.078798,7.4088,7.0,137,1.1833,"Lap H-2 nameplate census, 60 fps, 10216 instants with a detected player plate"
per_wave,151,150,0.535632,0.871,0.0,,2.9,"wave span 683.0-698.6 s (Lap H-2 OBS-H2-6, +-0.25 s), 870 instants"
per_wave,152,150,0.537173,0.77,0.0,,1.0167,"wave span 698.6-714.9 s (Lap H-2 OBS-H2-6, +-0.25 s), 955 instants"
per_wave,153,150,0.619617,0.605,0.0,,1.5333,"wave span 714.9-729.8 s (Lap H-2 OBS-H2-6, +-0.25 s), 836 instants"
per_wave,154,150,0.265409,2.036,2.0,,1.1833,"wave span 729.8-744.0 s (Lap H-2 OBS-H2-6, +-0.25 s), 795 instants"
per_wave,155,150,0.532189,1.014,0.0,,3.1,"wave span 744.0-760.2 s (Lap H-2 OBS-H2-6, +-0.25 s), 932 instants"
per_wave,156,150,0.382071,1.328,1.0,,0.8833,"wave span 760.2-780.4 s (Lap H-2 OBS-H2-6, +-0.25 s), 1149 instants"
per_wave,157,150,0.355805,1.422,1.0,,1.3833,"wave span 780.4-799.7 s (Lap H-2 OBS-H2-6, +-0.25 s), 1068 instants"
per_wave,158,150,0.508564,0.959,0.0,,1.2834,"wave span 799.7-812.7 s (Lap H-2 OBS-H2-6, +-0.25 s), 759 instants"
per_wave,159,150,0.280772,1.732,1.0,,0.7,"wave span 812.7-839.0 s (Lap H-2 OBS-H2-6, +-0.25 s), 1503 instants"
per_wave,160,150,0.280949,1.617,1.0,,0.8667,"wave span 839.0-864.0 s (Lap H-2 OBS-H2-6, +-0.25 s), 1349 instants"
at_sim_D_ENGAGE_M_2.400,,285.7,0.206343,3.2423,,368,2.75,"2.400 m converted at 119.05 ground px/m (anchor bracket, NOT ruled)"
at_sim_D_ENGAGE_M_2.400,,293.6,0.201938,3.3519,,352,2.75,"2.400 m converted at 122.32 ground px/m (anchor bracket, NOT ruled)"
at_sim_D_ENGAGE_M_2.400,,300.0,0.198904,3.4251,,347,2.75,"2.400 m converted at 125.0 ground px/m (anchor bracket, NOT ruled)"
