pass_tag,cadence_s,t_first_dry_sample,t_last_dry_sample,n_dry_samples,gap_raw_s,gap_lifetime_corrected_s,gap_corr_lo_s,gap_corr_hi_s,t_proven_start,t_proven_end,wave_at_start,wave_at_end,straddles_wave_boundary
P1_lapN_2.0s,2.0,684.0,684.0,1,2.0,1.35,1.2,1.5,682.65,684.0,151,151,0
P1_lapN_2.0s,2.0,702.0,702.0,1,2.0,1.35,1.2,1.5,700.65,702.0,152,152,0
P1_lapN_2.0s,2.0,716.0,716.0,1,2.0,1.35,1.2,1.5,714.65,716.0,153,153,0
P1_lapN_2.0s,2.0,726.0,726.0,1,2.0,1.35,1.2,1.5,724.65,726.0,153,153,0
P1_lapN_2.0s,2.0,730.0,732.0,2,4.0,3.35,3.2,3.5,728.65,732.0,154,154,0
P1_lapN_2.0s,2.0,744.0,746.0,2,4.0,3.35,3.2,3.5,742.65,746.0,155,155,0
P1_lapN_2.0s,2.0,750.0,750.0,1,2.0,1.35,1.2,1.5,748.65,750.0,155,155,0
P1_lapN_2.0s,2.0,780.0,780.0,1,2.0,1.35,1.2,1.5,778.65,780.0,156,156,0
P1_lapN_2.0s,2.0,784.0,784.0,1,2.0,1.35,1.2,1.5,782.65,784.0,157,157,0
P1_lapN_2.0s,2.0,800.0,802.0,2,4.0,3.35,3.2,3.5,798.65,802.0,158,158,0
P1_lapN_2.0s,2.0,812.0,814.0,2,4.0,3.35,3.2,3.5,810.65,814.0,158,159,1
P1_lapN_2.0s,2.0,838.0,840.0,2,4.0,3.35,3.2,3.5,836.65,840.0,159,160,1
P1_lapN_2.0s,2.0,848.0,848.0,1,2.0,1.35,1.2,1.5,846.65,848.0,160,160,0
P1_lapN_2.0s,2.0,860.0,860.0,1,2.0,1.35,1.2,1.5,858.65,860.0,160,160,0
P2_dense_0.5s,0.5,683.0,685.5,6,3.0,3.85,3.7,4.0,681.65,685.5,151,151,0
P2_dense_0.5s,0.5,690.5,690.5,1,0.5,1.35,1.2,1.5,689.15,690.5,151,151,0
P2_dense_0.5s,0.5,700.5,700.5,1,0.5,1.35,1.2,1.5,699.15,700.5,152,152,0
P2_dense_0.5s,0.5,701.5,701.5,1,0.5,1.35,1.2,1.5,700.15,701.5,152,152,0
P2_dense_0.5s,0.5,714.0,714.0,1,0.5,1.35,1.2,1.5,712.65,714.0,152,152,0
P2_dense_0.5s,0.5,715.0,716.0,3,1.5,2.35,2.2,2.5,713.65,716.0,153,153,0
P2_dense_0.5s,0.5,717.0,717.5,2,1.0,1.85,1.7,2.0,715.65,717.5,153,153,0
P2_dense_0.5s,0.5,718.5,718.5,1,0.5,1.35,1.2,1.5,717.15,718.5,153,153,0
P2_dense_0.5s,0.5,725.0,725.5,2,1.0,1.85,1.7,2.0,723.65,725.5,153,153,0
P2_dense_0.5s,0.5,727.5,728.5,3,1.5,2.35,2.2,2.5,726.15,728.5,153,153,0
P2_dense_0.5s,0.5,731.0,732.0,3,1.5,2.35,2.2,2.5,729.65,732.0,154,154,0
P2_dense_0.5s,0.5,744.5,745.5,3,1.5,2.35,2.2,2.5,743.15,745.5,155,155,0
P2_dense_0.5s,0.5,746.5,747.5,3,1.5,2.35,2.2,2.5,745.15,747.5,155,155,0
P2_dense_0.5s,0.5,753.0,753.0,1,0.5,1.35,1.2,1.5,751.65,753.0,155,155,0
P2_dense_0.5s,0.5,756.0,756.0,1,0.5,1.35,1.2,1.5,754.65,756.0,155,155,0
P2_dense_0.5s,0.5,757.0,757.5,2,1.0,1.85,1.7,2.0,755.65,757.5,155,155,0
P2_dense_0.5s,0.5,761.0,761.0,1,0.5,1.35,1.2,1.5,759.65,761.0,156,156,0
P2_dense_0.5s,0.5,769.5,769.5,1,0.5,1.35,1.2,1.5,768.15,769.5,156,156,0
P2_dense_0.5s,0.5,780.0,782.0,5,2.5,3.35,3.2,3.5,778.65,782.0,156,157,1
P2_dense_0.5s,0.5,797.0,797.0,1,0.5,1.35,1.2,1.5,795.65,797.0,157,157,0
P2_dense_0.5s,0.5,800.0,801.0,3,1.5,2.35,2.2,2.5,798.65,801.0,158,158,0
P2_dense_0.5s,0.5,814.0,815.0,3,1.5,2.35,2.2,2.5,812.65,815.0,159,159,0
P2_dense_0.5s,0.5,836.5,836.5,1,0.5,1.35,1.2,1.5,835.15,836.5,159,159,0
P2_dense_0.5s,0.5,838.5,838.5,1,0.5,1.35,1.2,1.5,837.15,838.5,159,159,0
P2_dense_0.5s,0.5,839.5,841.0,4,2.0,2.85,2.7,3.0,838.15,841.0,160,160,0
P2_dense_0.5s,0.5,842.0,842.0,1,0.5,1.35,1.2,1.5,840.65,842.0,160,160,0
P2_dense_0.5s,0.5,843.0,843.0,1,0.5,1.35,1.2,1.5,841.65,843.0,160,160,0
P2_dense_0.5s,0.5,853.5,853.5,1,0.5,1.35,1.2,1.5,852.15,853.5,160,160,0
P2_dense_0.5s,0.5,859.5,859.5,1,0.5,1.35,1.2,1.5,858.15,859.5,160,160,0
P2_dense_0.5s,0.5,861.0,861.5,2,1.0,1.85,1.7,2.0,859.65,861.5,160,160,0
