episode_id,v_on_gpx_s,t_start,t_end,duration_s,wave,wave_at_end,mean_speed_gpx_s,peak_speed_gpx_s,path_len_gpx,net_displacement_gpx,straightness,channel_probed,channel_frames_sampled,channel_frames_with_player_damage,channeling_visible
0,200.0,684.0167,689.5667,5.55,151,151,430.19,994.91,2449.3,497.0,0.2029,0,0,0,
1,200.0,689.8,692.6333,2.8333,151,151,498.42,1955.82,1468.5,838.6,0.5711,0,0,0,
2,200.0,692.8833,693.7667,0.8833,151,151,375.88,500.18,345.3,313.4,0.9076,0,0,0,
3,200.0,694.45,694.7167,0.2667,151,151,223.42,285.8,73.8,27.5,0.3724,0,0,0,
4,200.0,695.1,700.6,5.5,151,152,381.68,687.41,2292.8,149.3,0.0651,0,0,0,
5,200.0,701.3833,702.4333,1.05,152,152,908.14,2272.39,964.5,877.7,0.9099,1,10,5,1
6,200.0,702.5833,706.0333,3.45,152,152,409.07,549.92,1431.2,903.1,0.631,0,0,0,
7,200.0,706.2833,708.4333,2.15,152,152,464.46,916.42,1047.6,374.5,0.3574,0,0,0,
8,200.0,708.75,709.1167,0.3667,152,152,546.9,622.83,213.6,211.0,0.9878,0,0,0,
9,200.0,709.3333,712.6333,3.3,152,152,473.92,641.67,1456.6,17.4,0.012,0,0,0,
10,200.0,712.8167,713.2167,0.4,152,152,513.26,604.92,217.9,208.9,0.9589,0,0,0,
11,200.0,713.3833,714.3667,0.9833,152,152,455.32,642.7,477.2,415.2,0.8702,0,0,0,
12,200.0,714.6833,716.1,1.4167,152,153,456.26,629.42,571.3,556.9,0.9748,0,0,0,
13,200.0,716.35,717.8167,1.4667,153,153,650.53,1829.31,910.0,888.7,0.9766,1,14,0,0
14,200.0,718.1,719.4667,1.3667,153,153,410.19,687.44,680.7,409.0,0.6008,0,0,0,
15,200.0,719.6833,720.3333,0.65,153,153,227.73,533.07,202.6,140.0,0.691,0,0,0,
16,200.0,720.8667,721.35,0.4833,153,153,565.14,836.5,198.7,180.4,0.908,0,0,0,
17,200.0,721.55,724.1833,2.6333,153,153,460.32,1041.81,1214.9,1008.8,0.8303,0,0,0,
18,200.0,724.7333,726.05,1.3167,153,153,750.72,2374.82,866.1,703.9,0.8127,1,13,7,1
19,200.0,726.2,728.5,2.3,153,153,707.85,2240.52,1553.2,465.8,0.2999,1,23,10,1
20,200.0,729.65,732.7333,3.0833,153,154,568.97,1526.9,1716.9,173.7,0.1012,0,0,0,
21,200.0,733.05,733.6667,0.6167,154,154,253.43,674.22,210.6,130.9,0.6215,0,0,0,
22,200.0,734.05,735.8,1.75,154,154,415.3,722.64,669.8,403.6,0.6026,0,0,0,
23,200.0,736.3333,736.6667,0.3333,154,154,225.78,427.46,97.2,3.3,0.0342,0,0,0,
24,200.0,737.25,737.9667,0.7167,154,154,187.06,430.23,190.5,3.0,0.0157,0,0,0,
25,200.0,738.55,739.0167,0.4667,154,154,232.11,303.02,113.1,5.4,0.0475,0,0,0,
26,200.0,739.25,741.9667,2.7167,154,154,341.72,662.11,916.3,130.7,0.1427,0,0,0,
27,200.0,742.4,742.8333,0.4333,154,154,222.45,243.27,110.7,15.5,0.1401,0,0,0,
28,200.0,743.3167,750.55,7.2333,154,155,596.36,3148.65,4208.2,76.7,0.0182,0,0,0,
29,200.0,750.75,751.9333,1.1833,155,155,457.09,829.51,456.9,259.5,0.5681,0,0,0,
30,200.0,752.1333,755.9,3.7667,155,155,608.12,1629.43,1945.2,338.1,0.1738,1,37,33,1
31,200.0,756.1667,757.3,1.1333,155,155,449.4,722.05,470.0,138.8,0.2953,0,0,0,
32,200.0,757.4667,758.0167,0.55,155,155,185.74,266.17,113.6,19.1,0.1677,0,0,0,
33,200.0,759.25,759.8333,0.5833,155,155,509.79,641.02,263.6,217.0,0.8231,0,0,0,
