side,subject,record,archive,field,value,wave,level,active_status,basis
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,characterAttackSpeed,1.25,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,characterAttackSpeedModifier,0.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,characterRunSpeed,0.9300000071525574,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,characterRunSpeedJitter,0.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,characterRunSpeedModifier,0.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,maxRotationSpeed,40.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,minRotationSpeed,10.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/malepc01.dbr,gdx3,walkSpeed,1.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,characterAttackSpeed,1.25,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,characterAttackSpeedModifier,0.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,characterRunSpeed,0.9300000071525574,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,characterRunSpeedJitter,0.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,characterRunSpeedModifier,0.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,maxRotationSpeed,40.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,minRotationSpeed,10.0,,,,"creature record, direct read"
player,player_base_record,records/creatures/pc/femalepc01.dbr,gdx3,walkSpeed,1.0,,,,"creature record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,absoluteRunSpeedCapMax,350.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,absoluteRunSpeedCapMin,"[40.0, 30.0, 20.0]",,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,attackSpeedDamageFxPak,records/fx/damagedefault/dmgdur_physicaldmgreduction_chfxpak01.dbr,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,bossAttackSpeedCapMax,500.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,bossAttackSpeedCapMin,50.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,bossRunSpeedCapMax,500.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,bossRunSpeedCapMin,40.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,bossSpellCastSpeedCapMax,500.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,bossSpellCastSpeedCapMin,50.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,dwWeaponSpeedFactor,0.5,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,maxPlayerRotationSpeed,30.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,maxRotationSpeed,16.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,minPlayerRotationSpeed,19.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,minRotationSpeed,8.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,monsterAttackSpeedCapMax,500.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,monsterAttackSpeedCapMin,"[20.0, 30.0, 40.0]",,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,monsterRunSpeedCapMax,500.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,monsterRunSpeedCapMin,"[20.0, 25.0, 30.0]",,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,monsterSpellCastSpeedCapMax,500.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,monsterSpellCastSpeedCapMin,"[20.0, 30.0, 40.0]",,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,playerAttackSpeedCapMax,200.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,playerAttackSpeedCapMin,20.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,playerRunSpeedCapMax,135.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,playerRunSpeedCapMin,20.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,playerSpellCastSpeedCapMax,200.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,playerSpellCastSpeedCapMin,20.0,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,runSpeedDamageFxPak,records/fx/damagedefault/dmgdur_slowspeed_chfxpak01.dbr,,,,"global engine record, direct read"
player,game_engine_globals,records/game/gameengine.dbr,base,spellCastSpeedDamageFxPak,records/fx/damagedefault/dmgdur_elementaldmgreduction_chfxpak01.dbr,,,,"global engine record, direct read"
player,gear:component,records/items/materia/compb_chainsofoleron.dbr,base,characterRunSpeedModifier,6.0,,,ACTIVE — permanent (equipped / allocated passive),own-record walk of the played character slot chest
player,gear:base,records/items/upgraded/gearfeet/d007_feet.dbr,gdx3,characterRunSpeedModifier,10.0,,,ACTIVE — permanent (equipped / allocated passive),own-record walk of the played character slot feet
player,allocated_skill,records/skills/default/defaultevade.dbr,base,characterRunSpeedModifier,250.0,,,MEASURED-INACTIVE — default Evade / dodge-roll; active only for the roll,own-record walk of the played character rank 1
player,allocated_skill,records/skills/playerclass01/blitz1.dbr,base,characterRunSpeedModifier,300.0,,,"MEASURED-INACTIVE — Blitz, a charge attack; active only for the charge",own-record walk of the played character rank 1
player,allocated_skill,records/skills/playerclass09/viremight1.dbr,gdx2,characterRunSpeedModifier,250.0,,,"MEASURED-INACTIVE — Vire's Might, a charge; active only for the charge",own-record walk of the played character rank 1
player,allocated_skill,records/skills/devotion/tier2_02b.dbr,base,characterRunSpeedModifier,6.0,,,ACTIVE — permanent (equipped / allocated passive),own-record walk of the played character rank 1
player,allocated_skill,records/skills/devotion/tier2_21d.dbr,base,characterRunSpeedModifier,5.0,,,ACTIVE — permanent (equipped / allocated passive),own-record walk of the played character rank 1
