archive,map,dbr,x,y,z
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_01.dbr,57.5804,8.141,56.2964
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,62.8223,7.4798,60.2164
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_02.dbr,72.6106,8.2661,43.898
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_08.dbr,92.4624,7.9205,39.4998
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnbeacon_02.dbr,85.2985,8.8155,51.0303
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint02.dbr,90.6027,7.6825,32.8984
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,95.9063,6.5824,36.8713
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,97.1716,7.35,43.5711
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint05.dbr,74.4387,7.5362,66.5362
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/player/spawnplayer.dbr,73.0151,7.5889,58.5364
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,69.2878,7.8341,55.3363
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/defensepoint_01.dbr,71.7932,7.7446,57.6527
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/defensepoint_npc_01.dbr,71.7932,7.7446,57.6527
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,79.2799,8.1909,57.2983
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,73.8587,7.4666,59.2739
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_06.dbr,75.3501,7.9336,64.8969
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/defensepoint_03.dbr,90.8237,10.0813,57.0452
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/defensepoint_npc_03.dbr,94.0132,9.9435,52.9243
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_04.dbr,111.791,7.3794,59.5825
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,103.9244,7.4736,59.5369
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier15spawnpoint01.dbr,41.8817,3.3783,90.3657
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier09spawnpoint01.dbr,46.7082,5.6225,74.1466
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier03spawnpoint01.dbr,46.6606,5.6289,73.4848
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier02spawnpoint01.dbr,46.6085,5.6097,74.1219
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier01spawnpoint01.dbr,46.6261,5.6147,74.0333
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier04spawnpoint01.dbr,46.6737,5.6191,74.1035
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier13spawnpoint01.dbr,46.7683,5.6382,73.8711
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnbeacon_01.dbr,46.8163,5.6323,74.3136
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier12spawnpoint01.dbr,46.4629,5.5991,73.833
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier08spawnpoint01.dbr,41.6393,3.9632,83.7035
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier14spawnpoint01.dbr,46.4252,5.5935,73.7448
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier06spawnpoint01.dbr,46.2859,5.5582,74.6277
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier11spawnpoint01.dbr,53.125,6.0255,83.8527
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier07spawnpoint01.dbr,47.1835,5.7049,73.4642
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier10spawnpoint01.dbr,47.1936,5.6985,73.9759
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier05spawnpoint01.dbr,46.8753,5.6247,74.9203
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier17spawnpoint01.dbr,46.8815,5.6308,74.6691
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier16spawnpoint01.dbr,46.8133,5.6449,73.9551
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_07.dbr,83.2545,9.4587,75.3332
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,72.7546,7.8005,80.6571
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/defensepoint_02.dbr,79.0959,9.5166,81.6922
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_03.dbr,83.3786,10.5458,75.9365
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,91.4804,7.4936,73.0544
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,96.139,7.8027,81.239
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/trappoint_05.dbr,70.7614,9.0698,94.0747
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/controllers/controlobjects/patrolpoint_01.dbr,76.7736,7.4981,86.775
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnbeacon_05.dbr,84.8589,7.7387,99.2954
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint03.dbr,89.3845,7.472,96.7289
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnbeacon_03.dbr,100.6751,7.3675,74.4746
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint04.dbr,112.1647,7.3807,71.5078
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint06.dbr,112.4749,7.3854,71.1656
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint06_fx.dbr,102.0706,7.37,82.3275
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnbeacon_04.dbr,102.1889,7.37,82.5804
survivalmode1/resources/Maps.arc,survivalworld_b.map,records/scriptentities/tier06spawnpoint01.dbr,47.1022,4.3981,49.7421
