track_id,wave,t_birth_s,t_last_s,n_frames,r_birth_gpx,r_birth_m_lo119,r_birth_m_hi125,r_min_gpx,r_min_m_lo119,r_min_m_hi125,at_frustum_boundary,G_MAX,N_MIN,H_GAP,basis
T00001,151,683.0,683.2,13,964.0,8.1009,7.712,964.0,8.1009,7.712,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00002,151,683.0,683.3667,23,913.62,7.6775,7.3089,850.14,7.144,6.8011,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00003,151,683.0,683.7167,44,886.24,7.4474,7.0899,808.02,6.7901,6.4642,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00004,151,683.0,684.15,70,1057.95,8.8904,8.4636,1055.63,8.8708,8.445,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00005,151,683.0,684.2,70,966.32,8.1204,7.7306,813.17,6.8334,6.5054,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00006,151,683.0,684.2,73,903.62,7.5934,7.2289,709.02,5.9582,5.6722,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00007,151,683.3,686.9667,220,958.57,8.0552,7.6686,296.76,2.4938,2.3741,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00008,151,683.5333,683.65,8,837.74,7.0399,6.7019,822.32,6.9102,6.5786,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00009,151,683.6333,684.1333,25,931.54,7.828,7.4523,898.21,7.548,7.1857,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00010,151,683.7167,684.4833,47,991.71,8.3337,7.9337,798.98,6.7141,6.3919,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00011,151,683.8333,684.0,11,811.56,6.8198,6.4925,784.8,6.5949,6.2784,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00012,151,683.8833,684.4667,36,929.26,7.8089,7.434,811.05,6.8156,6.4884,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00013,151,684.05,685.2167,71,778.52,6.5422,6.2282,573.46,4.819,4.5877,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00014,151,684.2167,686.8833,161,730.91,6.1421,5.8473,150.59,1.2654,1.2047,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00015,151,684.2667,685.75,90,846.51,7.1136,6.7721,564.83,4.7465,4.5187,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00016,151,684.6167,684.7833,10,795.6,6.6857,6.3648,790.52,6.643,6.3242,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00017,151,684.95,688.1667,185,1055.28,8.8679,8.4422,1044.58,8.778,8.3566,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00018,151,685.7667,686.1,21,575.25,4.8341,4.602,574.87,4.8308,4.5989,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00019,151,685.7667,687.0667,73,563.53,4.7356,4.5083,548.8,4.6118,4.3904,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00020,151,685.7667,688.2667,132,203.43,1.7095,1.6274,87.18,0.7326,0.6974,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00021,151,685.8,686.2,22,571.46,4.8022,4.5717,563.53,4.7356,4.5083,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00022,151,685.9667,686.2167,7,300.07,2.5216,2.4006,270.53,2.2734,2.1643,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00023,151,686.0167,686.1833,7,172.11,1.4463,1.3769,172.11,1.4463,1.3769,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00024,151,686.0167,686.5167,25,197.92,1.6632,1.5834,156.84,1.318,1.2547,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00025,151,686.0167,687.2667,76,1124.38,9.4486,8.9951,1112.93,9.3524,8.9035,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00026,151,686.0167,687.55,87,675.02,5.6725,5.4002,591.35,4.9694,4.7308,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00027,151,686.05,687.0667,29,245.05,2.0592,1.9604,245.05,2.0592,1.9604,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00028,151,686.1667,686.75,12,152.93,1.2851,1.2234,152.93,1.2851,1.2234,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00029,151,686.2833,686.8667,26,240.71,2.0228,1.9257,190.77,1.6031,1.5262,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00030,151,686.3833,686.55,7,121.84,1.0238,0.9747,91.96,0.7728,0.7357,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00031,151,686.3833,686.5833,8,150.05,1.2609,1.2004,118.33,0.9943,0.9466,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00032,151,686.4,686.7333,9,67.1,0.5639,0.5368,66.32,0.5573,0.5306,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00033,151,686.4667,686.6833,8,97.84,0.8222,0.7828,72.05,0.6055,0.5764,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00034,151,686.4667,686.95,9,252.63,2.123,2.0211,252.63,2.123,2.0211,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00035,151,686.5,686.7667,9,390.9,3.2848,3.1272,390.9,3.2848,3.1272,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00036,151,686.5333,686.8167,9,403.14,3.3877,3.2251,340.66,2.8627,2.7253,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00037,151,686.55,686.6833,8,73.27,0.6158,0.5862,73.22,0.6153,0.5858,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00038,151,686.5833,686.8,14,152.59,1.2823,1.2208,151.34,1.2718,1.2107,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
