record,archive,characterRunSpeedJitter,jitter_grade,characterRunSpeed,consumed_by_shipped_binary,basis
records/creatures/enemies/aetherialbloater_b01.dbr,sm1,25.0,MEASURED,0.8999999761581421,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/aetherialbloater_c01.dbr,sm1,25.0,MEASURED,0.8999999761581421,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/aetherialcolossus_a01.dbr,sm1,10.0,MEASURED,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/aetherialcolossus_c02.dbr,sm1,25.0,MEASURED,0.8999999761581421,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/aetherialcorruption_a01.dbr,sm1,15.0,MEASURED,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/aetherialcorruption_b01.dbr,sm1,15.0,MEASURED,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/aetherialcorruption_b02.dbr,sm1,15.0,MEASURED,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/aetherialcorruption_c01.dbr,sm1,15.0,MEASURED,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/avian_a01.dbr,sm3,10.0,MEASURED,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/avian_b01.dbr,sm3,10.0,MEASURED,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/avian_c01.dbr,sm3,10.0,MEASURED,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/basilisk_a01.dbr,sm1,15.0,MEASURED,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/basilisk_b01.dbr,sm1,15.0,MEASURED,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/basilisk_c01.dbr,sm1,15.0,MEASURED,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,sm1,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,sm1,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,sm1,0.0,MEASURED,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,sm2,0.0,MEASURED,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,sm_mod,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,sm1,,ABSENT-FROM-RECORD,1.25,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,sm1,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,sm_mod,,ABSENT-FROM-RECORD,1.2000000476837158,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,sm1,0.0,MEASURED,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,sm1,0.0,MEASURED,1.2000000476837158,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,sm_mod,0.0,MEASURED,0.699999988079071,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,sm_mod,0.0,MEASURED,0.699999988079071,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/dermapteran_madqueen.dbr,sm_mod,,ABSENT-FROM-RECORD,1.399999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/dravis.dbr,sm2,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/eldritcharmor_dreegmindreaper_01.dbr,sm2,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/ghost_stepsoftorment_01.dbr,sm_mod,,ABSENT-FROM-RECORD,0.800000011920929,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/giant_tempesttotem_02.dbr,sm3,15.0,MEASURED,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/giant_tempesttotem_06.dbr,sm3,15.0,MEASURED,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/human_chthonickurn_shaman_01.dbr,sm3,15.0,MEASURED,0.800000011920929,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/humanascendant_terrnox.dbr,sm1,15.0,MEASURED,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,sm1,15.0,MEASURED,0.6600000262260437,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/korvaak_lieutenant_03.dbr,sm2,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/korvaakfinal_02.dbr,sm2,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/korvaakmessenger_02b.dbr,sm2,,ABSENT-FROM-RECORD,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/skeletalgolem_stepsoftorment_01.dbr,sm_mod,,ABSENT-FROM-RECORD,1.4500000476837158,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,sm2,,ABSENT-FROM-RECORD,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/swampcrab_ugdenbog_01.dbr,sm1,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/swampgolem_bargoll.dbr,sm1,,ABSENT-FROM-RECORD,1.399999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/theoutcast_03.dbr,sm_mod,0.0,MEASURED,0.800000011920929,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/wendigo_ancient_namadea.dbr,sm1,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/wendigo_turned_yuvoll.dbr,sm1,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/witch_janaxia.dbr,sm1,15.0,MEASURED,0.800000011920929,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,sm_mod,,ABSENT-FROM-RECORD,1.0499999523162842,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/cu_bounty04.dbr,sm1,,ABSENT-FROM-RECORD,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/cu_bounty07.dbr,sm1,,ABSENT-FROM-RECORD,0.699999988079071,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/cu_bounty08.dbr,sm1,,ABSENT-FROM-RECORD,1.0,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/cw_bounty04.dbr,sm1,,ABSENT-FROM-RECORD,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/cw_bounty09.dbr,sm1,,ABSENT-FROM-RECORD,1.149999976158142,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/odv_bounty07.dbr,sm_mod,15.0,MEASURED,0.6600000262260437,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/pm_bounty06.dbr,sm1,,ABSENT-FROM-RECORD,1.100000023841858,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
records/creatures/enemies/bounties/ro_bounty11.dbr,sm_mod,15.0,MEASURED,0.8999999761581421,NO — no module contains the literal,Lap D frozen baton (P-ROLLED); E3.winner whole-record replacement
