record,archive,override_layers,class,depth,reached_via,field,value
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,AllyAttackedAnger,6.0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,AngerTolerance,0.0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,AttackedAnger,0.0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,BuffAllyBehavior,WhenEnemyIsSeen
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,BuffAllyTargeting,BuffClosest
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,BuffSelfBehavior,WhenEnemyIsSeen
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,ChanceToIdleOnPatrol,0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,ChanceToRespondToDistressCall,0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,Class,ControllerStationaryMonster
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,ClearAngerWhenFleeing,False
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,DebuffEnemyBehavior,WhenEnemyIsSeen
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,DodgeChance,0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,DodgeDelay,0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,DodgeDistance,0.0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,EmoteBeforePursuingChance,0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,FleeBehavior,NeverFlee
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,FleeChance,0
records/controllers/pets/controller_trapmortar.dbr,database.arz,database.arz,ControllerStationaryMonster,1,records/creatures/traps/spawnbeacon.dbr::controller,FleeDelay,0
