archive,map,spawn_point,nearest_beacon_m,inside_aura,aura_exit_along_march_m,march_to_patrol_centroid_m,aura_fraction_of_march
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint02.dbr,18.8918,False,0.0,30.983,0.0
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint05.dbr,18.9306,False,0.0,9.7761,0.0
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier16spawnpoint01.dbr,0.3585,True,7.6415,38.3443,0.199286
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint03.dbr,5.2027,True,2.7973,34.1501,0.081912
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint04.dbr,11.8665,False,0.0,29.8009,0.0
survivalmode1/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint06.dbr,12.255,False,0.0,30.0045,0.0
survivalmode1/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint02.dbr,7.6506,True,0.3494,39.0253,0.008953
survivalmode1/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint04.dbr,9.6938,False,0.0,29.1303,0.0
survivalmode1/resources/Maps.arc,survivalworld_b.map,records/scriptentities/tier16spawnpoint01.dbr,0.6243,True,7.3757,33.9391,0.217323
survivalmode1/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint05.dbr,30.0086,False,0.0,12.4307,0.0
survivalmode1/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint06.dbr,10.9542,False,0.0,42.1439,0.0
survivalmode1/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint03.dbr,7.7114,True,0.2886,38.2511,0.007544
survivalmode1/resources/Maps.arc,survivalworld_c.map,records/scriptentities/tier16spawnpoint01.dbr,0.9476,True,7.0524,29.583,0.238394
survivalmode1/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint04.dbr,28.0911,False,0.0,39.6384,0.0
survivalmode1/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint06.dbr,30.2089,False,0.0,36.4969,0.0
