entry_id,wave,t_abs_s,t_since_wave_s,r_gpx,r_m_lo119,r_m_hi125,bearing_deg,n_frames,lifetime_s,r_min_gpx,basis
E00001,151,683.0,0.0,964.002,8.1009,7.712,359.889,13,0.2,964.002,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00002,151,683.0,0.0,913.618,7.6775,7.3089,188.321,23,0.3667,850.14,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00003,151,683.0,0.0,886.236,7.4474,7.0899,195.978,44,0.7167,808.025,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00004,151,683.0,0.0,1057.954,8.8904,8.4636,106.756,70,1.15,1055.63,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00005,151,683.0,0.0,966.323,8.1204,7.7306,201.835,70,1.2,813.174,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00006,151,683.0,0.0,903.615,7.5934,7.2289,183.426,73,1.2,709.022,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00007,151,683.3,0.3,958.573,8.0552,7.6686,195.435,220,3.6667,296.76,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00008,151,683.5333,0.5333,837.742,7.0399,6.7019,183.696,8,0.1167,822.319,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00009,151,683.6333,0.6333,931.536,7.828,7.4523,172.707,25,0.5,898.213,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00010,151,683.7167,0.7167,991.714,8.3337,7.9337,9.184,47,0.7666,798.983,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00011,151,683.8333,0.8333,811.559,6.8198,6.4925,183.552,11,0.1667,784.798,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00012,151,683.8833,0.8833,929.256,7.8089,7.434,173.903,36,0.5834,811.053,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00013,151,684.05,1.05,778.522,6.5422,6.2282,187.421,71,1.1667,573.464,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00014,151,684.2167,1.2167,730.912,6.1421,5.8473,185.116,161,2.6666,150.587,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
E00015,151,684.2667,1.2667,846.513,7.1136,6.7721,184.416,90,1.4833,564.835,"entry into the OBSERVED ~11.6 m frustum window; LOWER bound (B-1/B-2); Lap H-2 nameplate census, Lap S PRIMARY tracker cell G_MAX=60 N_MIN=6 H_GAP=6"
