global_wave,tier,tier_wave,spawn_point,proxy_record,pool_record,pool_weight,ignore_game_balance,raw_spawn_min,raw_spawn_max,raw_champion_min,raw_champion_max,champion_chance,decoded_n_min,decoded_n_max,decoded_clamp_lo,decoded_c_min,decoded_c_max,regular_roster_n,champion_roster_n,regular_capacity,champion_capacity,proxy_pool_equation,e_bodies,bodies_lo,bodies_hi
151,16,1,1,records/proxies/tier16waves/proxy_w01_p01a.dbr,records/proxies/poolsbasicgdx1/wraith_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
151,16,1,1,records/proxies/tier16waves/proxy_w01_p01a.dbr,records/proxies/poolsbasic/ghost_t3.dbr,100.0,False,7,8,0,0,0.0,9,9,9,2,2,6,0,inf,0,records/proxies/proxypoolequation_01.dbr,9.0,9,9
151,16,1,2,records/proxies/tier16waves/proxy_w01_p02a.dbr,records/proxies/poolsherogdx1/wraith_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
151,16,1,2,records/proxies/tier16waves/proxy_w01_p02a.dbr,records/proxies/poolsherogdx1/wendigo_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
151,16,1,3,records/proxies/tier16waves/proxy_w01_p03a.dbr,records/proxies/poolsherogdx1/swampgolem_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
151,16,1,4,records/proxies/tier16waves/proxy_w01_p04a.dbr,records/proxies/poolsbasicgdx1/wraith_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
151,16,1,4,records/proxies/tier16waves/proxy_w01_p04a.dbr,records/proxies/poolsbasic/ghost_t3.dbr,100.0,False,7,8,0,0,0.0,9,9,9,2,2,6,0,inf,0,records/proxies/proxypoolequation_01.dbr,9.0,9,9
151,16,1,5,records/proxies/tier16waves/proxy_w01_p05a.dbr,records/proxies/poolsbasicgdx1/livingplant_t3.dbr,100.0,False,3,4,0,0,0.0,4,5,4,2,2,2,0,inf,0,records/proxies/proxypoolequation_01.dbr,4.5,4,5
152,16,2,1,records/proxies/tier16waves/proxy_w02_p01a.dbr,records/proxies/poolsherogdx1/swampcrab_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,1,records/proxies/tier16waves/proxy_w02_p01a.dbr,records/proxies/poolsherogdx1/ghostcrab_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,1,records/proxies/tier16waves/proxy_w02_p01a.dbr,records/proxies/poolsherogdx3/springscrab_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,4,0,4,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,2,records/proxies/tier16waves/proxy_w02_p02a.dbr,records/proxies/poolsherogdx1/basilisk_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,2,records/proxies/tier16waves/proxy_w02_p02a.dbr,records/proxies/poolsherogdx3/thornedhorrorfrost_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,4,0,4,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,3,records/proxies/tier16waves/proxy_w02_p03a.dbr,records/proxies/poolsbasicgdx1/basilisk_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
