map,n_unique_static_rifts,sp01_tier16_x,sp01_tier16_z,sp01_tier16_nearest_static_rift_m,sp02_x,sp02_z,sp02_nearest_static_rift_m,sp03_x,sp03_z,sp03_nearest_static_rift_m,sp04_x,sp04_z,sp04_nearest_static_rift_m,sp05_x,sp05_z,sp05_nearest_static_rift_m,sp06_x,sp06_z,sp06_nearest_static_rift_m,sp06_fx_x,sp06_fx_z,sp06_fx_nearest_static_rift_m,lokarr_x,lokarr_z,lokarr_nearest_static_rift_m,playerspawn_x,playerspawn_z,playerspawn_nearest_static_rift_m,lokarr_to_sp06_m,playerspawn_to_sp06_m
survivalworld_a.map,4,46.851,73.936,0.1068,90.779,32.654,0.1538,89.488,96.423,0.2207,112.475,71.166,0.0874,73.015,58.536,30.4577,102.071,82.327,15.172,102.189,82.58,15.2786,64.241,50.547,29.2192,73.859,59.274,30.8306,49.407,36.433
survivalworld_b.map,4,36.625,64.727,0.2859,70.006,29.216,0.1832,70.909,98.916,0.0439,105.036,63.373,0.1122,69.041,66.061,32.6986,94.641,88.875,25.7879,94.752,89.105,25.8021,52.925,47.121,24.2571,60.594,54.587,26.3114,59.022,48.32
survivalworld_c.map,4,36.17,65.174,0.1276,53.85,95.494,0.2222,91.603,84.615,0.1341,86.761,25.667,0.1229,59.561,54.711,25.6428,97.131,40.778,18.3169,97.121,40.8,18.3292,43.314,38.693,27.3413,51.912,46.688,24.2427,53.857,45.604
survivalworld_d.map,4,36.699,44.273,0.104,11.303,110.514,0.0885,64.913,65.522,0.5695,47.045,112.76,1.2993,31.54,77.632,33.7089,64.562,89.639,24.6702,64.695,89.792,24.8208,1.747,72.72,38.9532,10.593,77.541,32.9699,65.054,55.308
survivalworld_e.map,4,34.547,77.469,0.0151,82.576,28.702,0.4459,71.472,99.885,0.2212,107.19,64.107,0.2261,70.574,62.846,35.9154,91.76,85.246,25.166,91.878,85.499,25.1133,52.679,46.717,34.4688,60.001,53.88,33.4268,54.88,44.637
survivalworld_f.map,4,19.511,69.834,1.7126,74.472,21.309,2.2936,47.169,99.866,1.8014,102.978,50.922,1.9523,56.989,55.163,40.279,88.192,90.494,43.3439,90.87,93.325,45.351,35.309,31.402,42.4565,45.526,42.454,38.121,79.3,64.251
survivalworld_g.map,4,40.428,95.766,0.1276,91.931,88.594,0.173,103.203,64.796,0.1634,67.271,31.814,0.0798,64.612,66.971,35.0023,61.804,103.341,22.7788,61.6,103.504,22.6428,42.807,53.25,32.5013,51.405,61.244,33.4369,53.572,43.362
survivalworld_h.map,4,71.588,91.356,0.4215,107.99,81.718,0.6521,107.781,41.757,0.3563,72.308,30.875,0.2906,71.718,61.128,30.2245,101.733,60.852,19.8738,101.723,60.875,19.8987,35.798,61.646,46.2437,49.807,61.221,37.0012,65.94,51.927
survivalworld_i.map,4,30.871,74.178,0.1605,68.092,76.233,0.191,89.174,38.494,0.0776,62.354,4.662,0.4629,53.671,46.204,33.2894,82.829,58.383,20.9493,82.819,58.406,20.9742,42.227,22.761,27.1966,48.363,34.754,33.4773,54.013,41.788
survivalworld_j.map,4,43.339,103.816,0.6691,68.734,107.188,0.096,111.253,56.418,0.227,91.479,33.088,0.1591,68.635,68.354,38.752,106.157,88.3,32.3736,106.147,88.322,32.397,49.399,38.198,42.335,56.554,46.86,37.4522,75.708,64.635
