skill_record,display_name,engine_class,kind,rank,rank_basis,trigger,trigger_param,trigger_chance_pct,grade,uptime,damageAbsorption,damageAbsorption__index_state,skillActiveDuration,skillActiveDuration__index_state,skillCooldownTime,skillCooldownTime__index_state,offensiveTotalDamageReductionPercentMin,offensiveTotalDamageReductionPercentMin__index_state,characterLifeRegen,characterLifeRegen__index_state,skillLifePercent,skillLifePercent__index_state,defensiveProtectionModifier,defensiveProtectionModifier__index_state,characterDefensiveAbility,characterDefensiveAbility__index_state,defensiveTotalSpeedResistance,defensiveTotalSpeedResistance__index_state,defensivePhysical,defensivePhysical__index_state
records/skills/playerclass09/ascension1.dbr,Ascension,Skill_BuffSelfDuration,active-buff,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",30.0,exact,10.0,scalar,24.0,scalar,,,,,,,,,,,,,,
records/skills/playerclass09/ascension2.dbr,Clarity of Purpose,Skill_Modifier,active-buff-modifier,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,,,,,,,,
records/skills/playerclass01/warcry1.dbr,War Cry,Skill_AttackRadius,active-debuff,16,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,7.5,scalar,29.0,exact,,,,,,,,,,,,
records/skills/playerclass01/warcry2.dbr,Break Morale,Skill_Modifier,active-debuff-modifier,16,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,,,,,,,,
records/skills/playerclass01/willtolive1.dbr,Menhir's Will,Skill_PassiveOnLifeBuffSelf,auto-circuit-breaker,5,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",LowHealth,33.0,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,10.0,scalar,21.0,exact,,,120.0,exact,35.0,exact,,,,,,,,
records/skills/playerclass01/fightingspirit1.dbr,Fighting Spirit,Skill_PassiveOnHitBuffSelf,auto-on-hit-buff,5,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",OnHit,,30.0,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,6.199999809265137,exact,5.0,scalar,,,,,,,,,,,,,,
records/skills/playerclass01/fieldcommand1buff.dbr,Field Command,SkillBuff_Passive,passive-aura,14,"DERIVED: allocated+4 (+all 1, +Soldier 3; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,22.0,exact,100.0,exact,,,,
records/skills/playerclass09/presenceofvirtue1_buff.dbr,Presence of Virtue,SkillBuff_Passive,passive-aura,13,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,,,,,,,,
records/skills/playerclass09/divinemandate1.dbr,Divine Mandate,Skill_BuffSelfToggled,toggled-buff,13,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,,,,,26.0,exact,,
records/skills/itemskillsgdx1/componentskills/compa_presenceofmight_01.dbr,Presence of Might,Skill_BuffSelfToggled,toggled-buff,1,"MEASURED: item-granted, rank 1",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,8.0,scalar,,,,,,
records/skills/playerclass09/summon_celestialguardian1.dbr,Summon Guardian of Empyrion,Skill_TargetedSpawnPet,summon,2,"DERIVED: allocated+1 (+all 1, +Oathkeeper 0; sheet frame 512)",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,20.0,scalar,,,,,,,,,,,,,,
records/skills/itemskillsgdx1/relics/summondeathstalker.dbr,Summon Deathstalker,Skill_SpawnPet,summon,1,"MEASURED: item-granted, rank 1",manual,,,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,15.0,scalar,,,,,,,,,,,,,,
records/skills/devotion/tier1_29e_skill.dbr,Turtle Shell,Skill_BuffSelfShield,bound-devotion-proc,25,MEASURED: devotion_level 25 from player.gdc block 8,LowHealth,50.0,100,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",6100.0,exact,,,8.0,exact,,,,,,,,,,,,,,
records/skills/devotion/tier2_37d_skill.dbr,Ulzaad's Decree,Skill_BuffSelfDuration,bound-devotion-proc,20,MEASURED: devotion_level 20 from player.gdc block 8,AttackEnemy,,20,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,10.0,exact,22.0,scalar,,,,,,,,,,,,,,
records/skills/devotion/tier2_17c_skill.dbr,Arcane Barrier,Skill_BuffSelfShield,bound-devotion-proc,20,MEASURED: devotion_level 20 from player.gdc block 8,HitByEnemy,,30,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",2900.0,exact,,,3.0,scalar,,,,,,,,,,,,,,
records/skills/devotion/tier2_02f_skill.dbr,Tip the Scales,Skill_AttackSpell,bound-devotion-proc,20,MEASURED: devotion_level 20 from player.gdc block 8,HitByEnemy,,33,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,1.0,scalar,,,,,,,,,,,,,,
records/skills/devotion/tier3_20e_skill.dbr,Shifting Sands,Skill_AttackProjectile,bound-devotion-proc,15,MEASURED: devotion_level 15 from player.gdc block 8,AttackEnemy,,20,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,1.0,scalar,0.5,scalar,,,,,,,,,,,,,,
records/skills/devotion/tier2_05f_skill.dbr,,Skill_AttackBuffRadius,bound-devotion-proc,20,MEASURED: devotion_level 20 from player.gdc block 8,AttackEnemy,,20,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,,,,,,,,
records/skills/devotion/tier2_05f_skill_buff.dbr,Maul,SkillBuff_Debuf,bound-devotion-proc-payload,20,MEASURED: devotion_level 20 (payload of tier2_05f_skill.dbr),AttackEnemy,,20,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,5.0,scalar,,,,,,,,,-35.0,exact,,,,,,
records/skills/devotion/tier1_08e_skill.dbr,Assassin Blade - Assassin's Mark,Skill_AttackBuff,bound-devotion-proc,25,MEASURED: devotion_level 25 from player.gdc block 8,AttackEnemyCrit,,100,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,,,,,,,,,,,,,,,,,,
records/skills/devotion/tier1_08e_skill_buff.dbr,Assassin's Mark,SkillBuff_Debuf,bound-devotion-proc-payload,25,MEASURED: devotion_level 25 (payload of tier1_08e_skill.dbr),AttackEnemyCrit,,100,MEASURED,"NOT-MODELLED — I-23's, per R-PM4-61 part 5",,,18.0,exact,,,,,,,,,,,,,,,-32.0,exact
