source,slot,kind,field,value,rank,index_state,grade
gear:head:base,head,item,characterDefensiveAbility,40.0,1,scalar,MEASURED
gear:head:base,head,item,defensiveLife,22.0,1,scalar,MEASURED
gear:head:base,head,item,defensivePierce,26.0,1,scalar,MEASURED
gear:head:base,head,item,defensiveProtection,1666.0,1,scalar,MEASURED
gear:head:affix,head,affix,defensiveTotalSpeedResistance,8.0,1,scalar,MEASURED
gear:head:component,head,component,characterEnergyAbsorptionPercent,20.0,1,scalar,MEASURED
gear:head:component,head,component,characterLifeModifier,4.0,1,scalar,MEASURED
gear:head:component,head,component,defensiveLife,15.0,1,scalar,MEASURED
gear:head:augment,head,augment,defensiveAether,10.0,1,scalar,MEASURED
gear:head:augment,head,augment,defensivePoison,12.0,1,scalar,MEASURED
gear:neck:base,neck,item,characterLife,342.0,1,scalar,MEASURED
gear:neck:affix,neck,affix,characterLife,330.0,1,scalar,MEASURED
gear:neck:affix,neck,affix,defensiveLife,20.0,1,scalar,MEASURED
gear:neck:affix,neck,affix,defensivePoison,28.0,1,scalar,MEASURED
gear:neck:augment,neck,augment,characterDefensiveAbility,70.0,1,scalar,MEASURED
gear:neck:augment,neck,augment,defensiveElementalResistance,10.0,1,scalar,MEASURED
gear:chest:base,chest,item,characterLife,720.0,1,scalar,MEASURED
gear:chest:base,chest,item,conversionPercentage,30.0,1,scalar,MEASURED
gear:chest:base,chest,item,defensiveElementalResistance,26.0,1,scalar,MEASURED
gear:chest:base,chest,item,defensiveProtection,1908.0,1,scalar,MEASURED
gear:chest:component,chest,component,defensiveTrap,24.0,1,scalar,MEASURED
gear:chest:augment,chest,augment,defensiveAether,10.0,1,scalar,MEASURED
gear:chest:augment,chest,augment,defensivePierce,10.0,1,scalar,MEASURED
gear:legs:base,legs,item,defensiveAether,30.0,1,scalar,MEASURED
gear:legs:base,legs,item,defensiveBleeding,36.0,1,scalar,MEASURED
gear:legs:base,legs,item,defensiveFreeze,40.0,1,scalar,MEASURED
gear:legs:base,legs,item,defensiveProtection,1501.0,1,scalar,MEASURED
gear:legs:affix,legs,affix,defensiveChaos,20.0,1,scalar,MEASURED
gear:legs:affix,legs,affix,defensiveElementalResistance,18.0,1,scalar,MEASURED
gear:legs:component,legs,component,defensiveAbsorptionModifier,8.0,1,scalar,MEASURED
gear:legs:component,legs,component,defensiveBonusProtection,35.0,1,scalar,MEASURED
gear:legs:component,legs,component,defensiveProtectionModifier,8.0,1,scalar,MEASURED
gear:legs:augment,legs,augment,defensiveLife,9.0,1,scalar,MEASURED
gear:legs:augment,legs,augment,defensivePoison,12.0,1,scalar,MEASURED
gear:feet:base,feet,item,characterDefensiveAbility,85.0,1,scalar,MEASURED
gear:feet:base,feet,item,defensiveLife,18.0,1,scalar,MEASURED
gear:feet:base,feet,item,defensivePhysical,4.0,1,scalar,MEASURED
gear:feet:base,feet,item,defensivePoison,33.0,1,scalar,MEASURED
gear:feet:base,feet,item,defensiveProtection,1105.0,1,scalar,MEASURED
gear:feet:base,feet,item,defensiveTrap,50.0,1,scalar,MEASURED
gear:feet:affix,feet,affix,defensiveTotalSpeedResistance,8.0,1,scalar,MEASURED
gear:feet:component,feet,component,characterLife,100.0,1,scalar,MEASURED
gear:feet:component,feet,component,defensiveElementalResistance,15.0,1,scalar,MEASURED
gear:feet:component,feet,component,defensivePierce,20.0,1,scalar,MEASURED
gear:feet:augment,feet,augment,defensiveAether,9.0,1,scalar,MEASURED
gear:feet:augment,feet,augment,defensiveLife,9.0,1,scalar,MEASURED
gear:hands:base,hands,item,conversionPercentage,25.0,1,scalar,MEASURED
gear:hands:base,hands,item,defensiveChaos,18.0,1,scalar,MEASURED
gear:hands:base,hands,item,defensiveLife,28.0,1,scalar,MEASURED
gear:hands:base,hands,item,defensiveProtection,1104.0,1,scalar,MEASURED
gear:hands:augment,hands,augment,defensiveAether,9.0,1,scalar,MEASURED
gear:hands:augment,hands,augment,defensiveLife,9.0,1,scalar,MEASURED
gear:ring1:base,ring1,item,characterDefensiveAbility,18.0,1,scalar,MEASURED
gear:ring1:base,ring1,item,characterLife,255.0,1,scalar,MEASURED
