ambush_fields,chanceToRun,cls,delayedRun,n_fields,placementExtents,pools,record,source_archive
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w01_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,25,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w01_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w01_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w01_p04a.dbr,SurvivalMode3
alertArea;maxDelayTime;maxGroupSize;maxSpawnTime;minDelayTime;minGroupSize;minSpawnTime;spawnThreshold,100.0,ProxyAmbush,True,30,8.0,pool1,records/proxies/tier16waves/proxy_w01_p05a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w02_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,25,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w02_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w02_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,28,8.0,pool1;pool2;pool3;pool4,records/proxies/tier16waves/proxy_w02_p04a.dbr,SurvivalMode3
alertArea;maxDelayTime;maxGroupSize;maxSpawnTime;minDelayTime;minGroupSize;minSpawnTime;spawnThreshold,100.0,ProxyAmbush,True,30,8.0,pool1,records/proxies/tier16waves/proxy_w02_p05a.dbr,SurvivalMode3
,100.0,Proxy,True,32,8.0,pool1;pool2;pool3;pool4;pool5;pool6,records/proxies/tier16waves/proxy_w02_p06a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w03_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,31,8.0,pool1;pool2;pool3;pool4;pool5,records/proxies/tier16waves/proxy_w03_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w03_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,32,8.0,pool1;pool2;pool3;pool4;pool5;pool6,records/proxies/tier16waves/proxy_w03_p04a.dbr,SurvivalMode3
alertArea;maxDelayTime;maxGroupSize;maxSpawnTime;minDelayTime;minGroupSize;minSpawnTime;spawnThreshold,100.0,ProxyAmbush,True,30,8.0,pool1,records/proxies/tier16waves/proxy_w03_p05a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w03_p06a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w04_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,25,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w04_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w04_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w04_p04a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w05_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,25,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w05_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w05_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w05_p04a.dbr,SurvivalMode3
,100.0,Proxy,True,30,8.0,pool1;pool2;pool3;pool4;pool5,records/proxies/tier16waves/proxy_w05_p06a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w06_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,25,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w06_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w06_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,28,8.0,pool1;pool2;pool3;pool4,records/proxies/tier16waves/proxy_w06_p04a.dbr,SurvivalMode3
alertArea;maxDelayTime;maxGroupSize;maxSpawnTime;minDelayTime;minGroupSize;minSpawnTime;spawnThreshold,100.0,ProxyAmbush,True,34,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w06_p05a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w06_p06a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w07_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,33,8.0,pool1;pool2;pool3;pool4;pool5;pool6,records/proxies/tier16waves/proxy_w07_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,28,8.0,pool1;pool2;pool3;pool4,records/proxies/tier16waves/proxy_w07_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,28,8.0,pool1;pool2;pool3;pool4,records/proxies/tier16waves/proxy_w07_p04a.dbr,SurvivalMode3
alertArea;maxDelayTime;maxGroupSize;maxSpawnTime;minDelayTime;minGroupSize;minSpawnTime;spawnThreshold,100.0,ProxyAmbush,True,34,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w07_p05a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w07_p06a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w08_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,33,8.0,pool1;pool2;pool3;pool4;pool5;pool6,records/proxies/tier16waves/proxy_w08_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w08_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,26,8.0,pool1;pool2;pool3,records/proxies/tier16waves/proxy_w08_p04a.dbr,SurvivalMode3
alertArea;maxDelayTime;maxGroupSize;maxSpawnTime;minDelayTime;minGroupSize;minSpawnTime;spawnThreshold,100.0,ProxyAmbush,True,32,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w08_p05a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w08_p06a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w09_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,29,8.0,pool1;pool2;pool3;pool4,records/proxies/tier16waves/proxy_w09_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w09_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,28,8.0,pool1;pool2;pool3;pool4,records/proxies/tier16waves/proxy_w09_p04a.dbr,SurvivalMode3
alertArea;maxDelayTime;maxGroupSize;maxSpawnTime;minDelayTime;minGroupSize;minSpawnTime;spawnThreshold,100.0,ProxyAmbush,True,32,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w09_p05a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w10_p01a.dbr,SurvivalMode3
,100.0,Proxy,True,23,8.0,pool1,records/proxies/tier16waves/proxy_w10_p02a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w10_p03a.dbr,SurvivalMode3
,100.0,Proxy,True,24,8.0,pool1;pool2,records/proxies/tier16waves/proxy_w10_p04a.dbr,SurvivalMode3
,100.0,Proxy,True,22,8.0,pool1,records/proxies/tier16waves/proxy_w10_p06a.dbr,SurvivalMode3
