record,n_rostered_actors,anim_table,alert_anim_chance,status,weaponset,variant,anm_path,archive,bones,frames,anim_speed,anim_weight,seconds_at_30fps_DERIVED,basis
records/creatures/enemies/aetherialcorruption_b01.dbr,7,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,dHanded,1,creatures/enemies/zombie/anm/zombie01_unarmed_alert_a01.anm,resources/Creatures.arc,28,71,1.0,100.0,2.36667,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/aetherialcorruption_b01.dbr,7,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,sHanded,1,creatures/enemies/zombie/anm/zombie01_unarmed_alert_a01.anm,resources/Creatures.arc,28,71,1.0,100.0,2.36667,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/aetherialcorruption_b01.dbr,7,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,unarmed,1,creatures/enemies/aetherialcorruption/animations/aetherialcorruption_attack_d01.anm,gdx1/resources/Creatures.arc,25,49,1.0,100.0,1.63333,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/aetherialcorruption_c01.dbr,14,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,dHanded,1,creatures/enemies/zombie/anm/zombie01_unarmed_alert_a01.anm,resources/Creatures.arc,28,71,1.0,100.0,2.36667,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/aetherialcorruption_c01.dbr,14,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,sHanded,1,creatures/enemies/zombie/anm/zombie01_unarmed_alert_a01.anm,resources/Creatures.arc,28,71,1.0,100.0,2.36667,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/aetherialcorruption_c01.dbr,14,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,unarmed,1,creatures/enemies/aetherialcorruption/animations/aetherialcorruption_attack_d01.anm,gdx1/resources/Creatures.arc,25,49,1.0,100.0,1.63333,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,2,records/creatures/enemies/anm/anm_aetherialbloater.dbr,100,HAS-ALERT,unarmed,1,creatures/enemies/aetherialbloater/animations/aetherialbloater_alert_a01.anm,gdx1/resources/Creatures.arc,69,43,1.0,100.0,1.43333,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,2,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,dHanded,1,creatures/enemies/zombie/anm/zombie01_unarmed_alert_a01.anm,resources/Creatures.arc,28,71,1.0,100.0,2.36667,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,2,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,sHanded,1,creatures/enemies/zombie/anm/zombie01_unarmed_alert_a01.anm,resources/Creatures.arc,28,71,1.0,100.0,2.36667,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,2,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,0,HAS-ALERT,unarmed,1,creatures/enemies/aetherialcorruption/animations/aetherialcorruption_attack_d01.anm,gdx1/resources/Creatures.arc,25,49,1.0,100.0,1.63333,frames DECODED from the .anm header (field1); seconds DERIVED at the universally-constant rate field 30 and NOT decoded as fps (UNREACHED-AB-1); state-duration == animation-length is NOT claimed (UNREACHED-AB-2)
