field,family,type,cls,description,n_templates,example_template
absoluteRunSpeedCapMax,ENGINE-CAP,real,array,Index by difficulty 0 to 2,1,gameengine.tpl
absoluteRunSpeedCapMin,ENGINE-CAP,real,array,Index by difficulty 0 to 2,1,gameengine.tpl
bossRunSpeedCapMax,ENGINE-CAP,real,array,,1,gameengine.tpl
bossRunSpeedCapMin,ENGINE-CAP,real,array,,1,gameengine.tpl
characterRunSpeed,SELF-LOCOMOTION,real,array,,4,backup/parameters_character.tpl
characterRunSpeedJitter,SELF-LOCOMOTION,real,variable,,4,backup/parameters_character.tpl
characterRunSpeedMaxModifier,SELF-LOCOMOTION,real,array,,1,templatebase/parameters_character.tpl
characterRunSpeedModifier,SELF-LOCOMOTION,real,array,,4,backup/parameters_character.tpl
characterTotalSpeedModifier,SELF-LOCOMOTION,real,array,,4,backup/parameters_character.tpl
defensiveTotalSpeedChance,SLOW-RESISTANCE,real,array,,2,backup/parameters_defensive.tpl
defensiveTotalSpeedMaxResist,SLOW-RESISTANCE,real,array,,1,templatebase/parameters_defensive.tpl
defensiveTotalSpeedResistance,SLOW-RESISTANCE,real,array,,2,backup/parameters_defensive.tpl
monsterRunSpeedCapMax,ENGINE-CAP,real,array,Index by difficulty 0 to 2,1,gameengine.tpl
monsterRunSpeedCapMin,ENGINE-CAP,real,array,Index by difficulty 0 to 2,1,gameengine.tpl
offensiveSlowRunSpeedChance,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedDurationMax,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,Seconds,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedDurationMin,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,Seconds,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedDurationModifier,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedGlobal,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",bool,variable,,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedMax,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedMin,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedModifier,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedModifierChance,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowRunSpeedXOR,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",bool,variable,,2,backup/parameters_offensive.tpl
offensiveSlowTotalSpeedChance,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowTotalSpeedDurationMax,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowTotalSpeedDurationMin,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowTotalSpeedGlobal,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",bool,variable,,2,backup/parameters_offensive.tpl
offensiveSlowTotalSpeedMax,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowTotalSpeedMin,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_offensive.tpl
offensiveSlowTotalSpeedXOR,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",bool,variable,,2,backup/parameters_offensive.tpl
playerRunSpeedCapMax,ENGINE-CAP,real,array,Index by difficulty 0 to 2,1,gameengine.tpl
playerRunSpeedCapMin,ENGINE-CAP,real,array,Index by difficulty 0 to 2,1,gameengine.tpl
retaliationSlowRunSpeedChance,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedDurationMax,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,Seconds,2,backup/parameters_retaliation.tpl
