mask,t_sec,wave,n_green_total,n_green_player_gated,n_green_offcentre
green_mask2,683.0,151,1,1,0
green_mask2,683.5,151,2,1,1
green_mask2,684.0,151,5,1,4
green_mask2,684.5,151,3,1,2
green_mask2,685.0,151,2,1,1
green_mask2,685.5,151,1,1,0
green_mask2,686.0,151,1,1,0
green_mask2,686.5,151,3,1,2
green_mask2,687.0,151,5,2,3
green_mask2,687.5,151,1,1,0
green_mask2,688.0,151,1,0,1
green_mask2,688.5,151,1,1,0
green_mask2,689.0,151,1,1,0
green_mask2,689.5,151,1,1,0
green_mask2,690.0,151,1,1,0
green_mask2,690.5,151,1,1,0
green_mask2,691.0,151,5,1,4
green_mask2,691.5,151,2,1,1
green_mask2,692.0,151,1,1,0
green_mask2,692.5,151,0,0,0
green_mask2,693.0,151,1,1,0
green_mask2,693.5,151,1,1,0
green_mask2,694.0,151,1,1,0
green_mask2,694.5,151,1,1,0
green_mask2,695.0,151,1,0,1
green_mask2,695.5,151,1,1,0
green_mask2,696.0,151,1,1,0
green_mask2,696.5,151,0,0,0
green_mask2,697.0,151,0,0,0
green_mask2,697.5,151,1,1,0
green_mask2,698.0,151,1,1,0
green_mask2,698.5,151,1,1,0
green_mask2,699.0,152,2,1,1
green_mask2,699.5,152,2,1,1
green_mask2,700.0,152,7,1,6
green_mask2,700.5,152,1,1,0
green_mask2,701.0,152,3,1,2
green_mask2,701.5,152,6,1,5
green_mask2,702.0,152,9,1,8
green_mask2,702.5,152,5,1,4
green_mask2,703.0,152,3,1,2
green_mask2,703.5,152,2,1,1
green_mask2,704.0,152,2,1,1
green_mask2,704.5,152,5,1,4
green_mask2,705.0,152,3,1,2
green_mask2,705.5,152,1,1,0
green_mask2,706.0,152,3,1,2
green_mask2,706.5,152,2,1,1
green_mask2,707.0,152,1,1,0
green_mask2,707.5,152,1,1,0
green_mask2,708.0,152,1,1,0
green_mask2,708.5,152,1,1,0
green_mask2,709.0,152,0,0,0
green_mask2,709.5,152,2,1,1
green_mask2,710.0,152,3,2,1
green_mask2,710.5,152,1,1,0
green_mask2,711.0,152,2,1,1
green_mask2,711.5,152,1,1,0
green_mask2,712.0,152,1,1,0
green_mask2,712.5,152,0,0,0
green_mask2,713.0,152,2,1,1
green_mask2,713.5,152,1,1,0
green_mask2,714.0,152,1,1,0
green_mask2,714.5,152,1,1,0
green_mask2,715.0,153,1,1,0
green_mask2,715.5,153,2,1,1
green_mask2,716.0,153,1,1,0
green_mask2,716.5,153,4,1,3
green_mask2,717.0,153,1,1,0
green_mask2,717.5,153,1,1,0
green_mask2,718.0,153,1,1,0
