mask,t_sec,wave,x_left,x_right,x_c,y,w,rows,txt
green_mask2,683.5,151,86,100,93.0,486.5,15,3,314
green_mask2,684.0,151,56,92,74.0,319.0,37,6,374
green_mask2,684.0,151,150,167,158.5,325.0,18,4,380
green_mask2,684.0,151,29,47,38.0,428.5,19,3,148
green_mask2,684.0,151,1860,1887,1873.5,450.0,28,6,225
green_mask2,684.5,151,256,271,263.5,195.0,16,6,110
green_mask2,684.5,151,305,335,320.0,330.0,31,6,236
green_mask2,685.0,151,419,433,426.0,233.5,15,3,89
green_mask2,686.5,151,735,756,745.5,275.0,22,6,106
green_mask2,686.5,151,710,793,751.5,309.0,84,6,101
green_mask2,687.0,151,757,843,800.0,425.5,87,5,209
green_mask2,687.0,151,736,816,776.0,456.0,81,4,158
green_mask2,687.0,151,726,813,769.5,475.5,88,3,190
green_mask2,688.0,151,593,646,619.5,460.0,54,4,122
green_mask2,691.0,151,1711,1789,1750.0,319.5,79,5,271
green_mask2,691.0,151,1822,1847,1834.5,319.5,26,3,257
green_mask2,691.0,151,1714,1740,1727.0,328.0,27,4,141
green_mask2,691.0,151,1845,1858,1851.5,376.0,14,4,127
green_mask2,691.5,151,1716,1795,1755.5,310.5,80,5,219
green_mask2,695.0,151,1889,1911,1900.0,263.5,23,3,116
green_mask2,699.0,152,477,511,494.0,73.0,35,6,272
green_mask2,699.5,152,461,522,491.5,155.5,62,3,162
green_mask2,700.0,152,415,437,426.0,85.0,23,4,151
green_mask2,700.0,152,448,481,464.5,103.0,34,6,270
green_mask2,700.0,152,248,287,267.5,152.5,40,5,125
green_mask2,700.0,152,258,298,278.0,159.0,41,6,224
green_mask2,700.0,152,388,460,424.0,159.0,73,6,227
green_mask2,700.0,152,472,489,480.5,163.0,18,6,110
green_mask2,701.0,152,343,387,365.0,64.0,45,4,325
green_mask2,701.0,152,318,402,360.0,106.5,85,3,145
green_mask2,701.5,152,580,599,589.5,140.5,20,3,100
green_mask2,701.5,152,510,527,518.5,209.5,18,3,444
green_mask2,701.5,152,448,467,457.5,245.0,20,6,304
green_mask2,701.5,152,494,523,508.5,245.0,30,6,390
green_mask2,701.5,152,646,682,664.0,253.5,37,5,414
green_mask2,702.0,152,816,834,825.0,231.0,19,6,128
green_mask2,702.0,152,783,803,793.0,250.5,21,3,152
green_mask2,702.0,152,820,833,826.5,276.5,14,3,227
