burst,t_start,wave,n_frames,red_tested,red_persist,green_player_tested,green_player_persist,green_off_tested,green_off_persist
0,683.0,151,15,83,82,14,14,5,2
1,692.0,151,15,145,134,12,11,0,0
2,701.0,152,15,104,99,14,14,20,17
3,710.0,152,15,132,96,17,16,5,3
4,719.0,153,15,195,171,14,14,4,3
5,728.0,153,15,13,6,14,14,0,0
6,737.0,154,15,235,167,14,14,0,0
7,746.0,155,15,15,14,14,14,6,1
8,755.0,155,15,36,33,14,14,0,0
9,764.0,156,15,185,170,12,11,1,0
10,773.0,156,15,90,61,14,14,0,0
11,782.0,157,15,76,72,14,14,0,0
12,791.0,157,15,214,171,14,12,0,0
13,800.0,158,15,38,31,14,14,1,0
14,809.0,158,15,68,61,14,14,1,0
15,818.0,159,15,92,81,14,14,0,0
16,827.0,159,15,172,135,14,14,1,0
17,836.0,159,15,106,55,15,14,8,3
18,845.0,160,15,140,119,14,14,14,3
19,854.0,160,15,180,125,12,11,3,1
