track_id,wave,R_gpx,join_rule,t_entry,t_exit_last_in,t_first_out,residence_s,r_actual,r_player_frozen,r_monster_frozen,bucket,life_at_exit,track_continues_after_exit,track_end_within_1s_of_exit,t_track_end,near_screen_edge_at_exit,censor_left,track_duration_s
W151-T001,151,293.6,A_prereg_0.05s,692.9333,693.2,693.2167,0.2667,293.88,288.98,292.84,NEITHER_SUFFICIENT,EXIT_ALIVE,1,0,697.7333,0,1,6.9333
W151-T002,151,293.6,A_prereg_0.05s,693.05,693.8833,693.9,0.8333,301.38,290.19,298.72,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,698.0167,0,0,7.2667
W151-T002,151,293.6,A_prereg_0.05s,694.3333,694.3333,694.35,0.0,313.97,315.23,287.34,MONSTER_SUFFICIENT,EXIT_ALIVE,1,0,698.0167,0,0,7.2667
W151-T002,151,293.6,A_prereg_0.05s,695.3167,695.55,695.5667,0.2333,296.91,286.62,296.14,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,698.0167,0,0,7.2667
W151-T003,151,293.6,A_prereg_0.05s,697.2667,697.3,697.3167,0.0333,302.08,288.24,302.01,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,697.35,0,1,6.5
W151-T004,151,293.6,A_prereg_0.05s,695.3,696.1167,696.1333,0.8167,294.01,287.74,295.11,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,696.3833,0,1,5.0833
W151-T015,151,293.6,A_prereg_0.05s,693.2833,693.2833,693.3333,0.0,327.42,309.08,274.84,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,693.3667,0,1,2.55
W151-T028,151,293.6,A_prereg_0.05s,688.1667,688.2333,688.2667,0.0666,302.12,292.12,301.31,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,688.3,0,1,2.3833
W151-T046,151,293.6,A_prereg_0.05s,691.4333,691.4333,691.4833,0.0,306.17,326.06,248.65,MONSTER_SUFFICIENT,EXIT_ALIVE,0,1,691.4833,0,1,0.8333
W151-T050,151,293.6,A_prereg_0.05s,686.7833,686.7833,686.8333,0.0,302.8,300.39,270.64,MONSTER_SUFFICIENT,EXIT_ALIVE,1,0,688.2167,0,1,2.2834
W151-T050,151,293.6,A_prereg_0.05s,687.9833,687.9833,688.0,0.0,293.61,298.6,269.84,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,688.2167,0,1,2.2834
W151-T051,151,293.6,A_prereg_0.05s,688.8167,688.8167,688.85,0.0,302.81,307.07,288.4,MONSTER_SUFFICIENT,EXIT_ALIVE,1,0,689.9833,0,1,1.75
W151-T051,151,293.6,A_prereg_0.05s,689.7667,689.8167,689.8333,0.05,299.7,296.15,288.04,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,689.9833,0,1,1.75
W151-T124,151,293.6,A_prereg_0.05s,693.2167,693.2167,693.25,0.0,311.63,298.01,306.5,EITHER_SUFFICIENT,EXIT_ALIVE,1,1,693.3167,0,1,0.2
W151-T132,151,293.6,A_prereg_0.05s,689.3333,689.4167,689.4667,0.0834,299.53,310.61,243.98,MONSTER_SUFFICIENT,EXIT_ALIVE,0,1,689.4667,0,1,0.4834
W151-T137,151,293.6,A_prereg_0.05s,698.4667,698.4667,698.5,0.0,306.67,292.82,299.35,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,698.5667,0,1,0.6167
W151-T138,151,293.6,A_prereg_0.05s,690.3333,690.3333,690.35,0.0,296.39,294.85,274.11,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,690.6167,0,1,0.2834
W152-T001,152,293.6,A_prereg_0.05s,706.95,707.2333,707.25,0.2833,318.98,295.81,314.21,EITHER_SUFFICIENT,EXIT_ALIVE,1,0,714.7333,0,0,9.1166
W152-T001,152,293.6,A_prereg_0.05s,708.4,710.1333,710.15,1.7333,295.69,287.85,295.67,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,714.7333,0,0,9.1166
W152-T001,152,293.6,A_prereg_0.05s,713.1833,713.1833,713.2167,0.0,294.12,277.17,297.19,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,714.7333,0,1,9.1166
W152-T002,152,293.6,A_prereg_0.05s,706.55,707.05,707.0667,0.5,293.75,286.16,294.47,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,711.25,0,0,7.0
W152-T002,152,293.6,A_prereg_0.05s,708.1667,709.0,709.0167,0.8333,296.64,292.63,297.57,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,711.25,0,1,7.0
W152-T002,152,293.6,A_prereg_0.05s,709.6333,709.6333,709.65,0.0,293.76,296.68,289.23,MONSTER_SUFFICIENT,EXIT_ALIVE,1,0,711.25,0,0,7.0
W152-T006,152,293.6,A_prereg_0.05s,702.7333,703.2333,703.25,0.5,312.8,291.53,314.64,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,706.5333,0,1,4.9833
W152-T009,152,293.6,A_prereg_0.05s,712.2667,713.0167,713.0333,0.75,294.38,288.84,292.86,NEITHER_SUFFICIENT,EXIT_ALIVE,1,0,714.1,0,0,4.85
W152-T014,152,293.6,A_prereg_0.05s,704.6333,704.6667,704.7,0.0334,296.44,286.63,296.29,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,705.0333,0,1,2.5666
W152-T017,152,293.6,A_prereg_0.05s,702.8333,703.1833,703.2,0.35,295.62,288.58,298.4,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,704.3333,0,1,2.6333
W152-T021,152,293.6,A_prereg_0.05s,702.45,702.7,702.7167,0.25,295.02,290.38,293.79,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,703.6667,0,1,2.1334
W152-T025,152,293.6,A_prereg_0.05s,702.7333,703.3833,703.4167,0.65,297.83,288.13,298.05,PLAYER_SUFFICIENT,EXIT_ALIVE,0,1,703.4167,0,1,2.0834
W152-T026,152,293.6,A_prereg_0.05s,701.8,702.3,702.3167,0.5,296.58,295.85,288.32,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,703.0833,0,0,1.55
W152-T045,152,293.6,A_prereg_0.05s,709.15,709.1833,709.2,0.0333,299.89,299.92,284.42,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,709.7833,0,1,1.0333
W152-T045,152,293.6,A_prereg_0.05s,709.3833,709.3833,709.4,0.0,295.4,295.17,290.36,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,709.7833,0,0,1.0333
W152-T049,152,293.6,A_prereg_0.05s,709.7,709.7333,709.75,0.0333,316.33,310.06,294.78,EITHER_SUFFICIENT,EXIT_ALIVE,1,1,710.5833,0,1,1.4333
W152-T052,152,293.6,A_prereg_0.05s,712.95,713.1167,713.1333,0.1667,295.02,286.97,297.67,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,713.3167,0,1,1.0167
W152-T103,152,293.6,A_prereg_0.05s,711.2,711.2,711.25,0.0,304.49,292.05,300.88,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,711.55,0,1,1.0333
W152-T103,152,293.6,A_prereg_0.05s,711.2833,711.3,711.3167,0.0167,300.35,292.95,292.24,NEITHER_SUFFICIENT,EXIT_ALIVE,1,1,711.55,0,0,1.0333
W152-T128,152,293.6,A_prereg_0.05s,709.9667,709.9667,709.9833,0.0,307.44,307.14,288.88,MONSTER_SUFFICIENT,EXIT_ALIVE,1,1,710.25,0,1,0.7
W152-T203,152,293.6,A_prereg_0.05s,713.0,713.0333,713.05,0.0333,298.66,291.32,299.56,PLAYER_SUFFICIENT,EXIT_ALIVE,1,1,713.15,0,1,0.3333
W152-T232,152,293.6,A_prereg_0.05s,714.6,714.6333,714.6667,0.0333,302.8,301.31,288.69,MONSTER_SUFFICIENT,EXIT_ALIVE,0,1,714.6667,0,1,0.0667
W152-T284,152,293.6,A_prereg_0.05s,704.8667,704.8667,704.8833,0.0,297.14,299.28,289.95,MONSTER_SUFFICIENT,EXIT_ALIVE,0,1,704.8833,0,1,0.0166
W153-T012,153,293.6,A_prereg_0.05s,716.5667,717.0,717.0167,0.4333,300.07,291.82,296.21,PLAYER_SUFFICIENT,EXIT_ALIVE,1,0,719.2333,0,0,2.8666
W153-T037,153,293.6,A_prereg_0.05s,721.5667,721.5833,721.6333,0.0166,319.93,295.44,311.42,EITHER_SUFFICIENT,EXIT_ALIVE,1,1,721.6833,0,1,1.0666
