track_id,wave,R_gpx,join_rule,t_entry,t_exit,residence_s,body_time_s,n_frames,n_internal_gaps,censor_left,censor_right,censor_reason,r_at_entry,r_at_exit,r_min,track_t_start,track_t_end,track_duration_s,n_obs_track
W151-T001,151,285.7,A_prereg_0.05s,692.5333,692.5333,0.0,0.0167,1,0,0,0,,285.12,285.12,285.12,690.8,697.7333,6.9333,337
W151-T001,151,285.7,A_prereg_0.05s,692.9333,693.1833,0.25,0.2667,16,0,1,0,unobserved_gap_before,235.56,282.2,233.78,690.8,697.7333,6.9333,337
W151-T001,151,285.7,A_prereg_0.05s,697.2833,697.7333,0.45,0.3667,22,5,0,1,track_end,279.43,65.23,56.02,690.8,697.7333,6.9333,337
W151-T002,151,285.7,A_prereg_0.05s,693.0667,693.55,0.4833,0.5,30,0,0,0,,284.01,285.16,239.4,690.75,698.0167,7.2667,327
W151-T002,151,285.7,A_prereg_0.05s,693.5833,693.5833,0.0,0.0167,1,0,0,0,,283.51,283.51,283.51,690.75,698.0167,7.2667,327
W151-T002,151,285.7,A_prereg_0.05s,693.6333,693.7333,0.1,0.1167,7,0,0,0,,279.3,283.87,273.8,690.75,698.0167,7.2667,327
W151-T002,151,285.7,A_prereg_0.05s,694.4833,694.5667,0.0834,0.1,6,0,0,0,,284.5,282.56,282.56,690.75,698.0167,7.2667,327
W151-T002,151,285.7,A_prereg_0.05s,694.6,694.6,0.0,0.0167,1,0,0,0,,285.35,285.35,285.35,690.75,698.0167,7.2667,327
W151-T002,151,285.7,A_prereg_0.05s,695.3667,695.5333,0.1666,0.1833,11,0,0,0,,281.69,282.9,257.78,690.75,698.0167,7.2667,327
W151-T002,151,285.7,A_prereg_0.05s,695.8833,696.2833,0.4,0.3833,23,2,0,1,unobserved_gap_after,278.7,267.77,247.3,690.75,698.0167,7.2667,327
W151-T002,151,285.7,A_prereg_0.05s,696.3667,696.3833,0.0166,0.0333,2,0,1,1,unobserved_gap_before|unobserved_gap_after,219.35,220.87,219.35,690.75,698.0167,7.2667,327
