track_id,wave,t_start,t_end,duration_s,n_frames,net_world_disp_gpx,path_world_gpx,max_radius_about_mean_gpx,stationary_candidate
W151-T001,151,690.8,697.7333,6.9333,400,287.8,1331.0,210.17,0
W151-T002,151,690.75,698.0167,7.2667,377,278.26,1791.5,305.24,0
W151-T003,151,690.85,697.35,6.5,359,1018.89,1893.7,693.12,0
W151-T004,151,691.3,696.3833,5.0833,298,961.95,1192.9,674.35,0
W151-T005,151,683.0,686.9667,3.9667,234,464.43,906.2,287.08,0
W151-T006,151,683.0,686.8833,3.8833,229,406.69,816.3,292.65,0
W151-T007,151,690.5833,694.3,3.7167,206,637.67,1137.2,492.25,0
W151-T008,151,692.8833,696.4833,3.6,199,169.68,991.7,282.91,0
W151-T009,151,684.95,688.1667,3.2167,185,389.06,1328.1,394.25,0
W151-T010,151,685.7667,690.1,4.3333,176,253.97,1759.2,274.62,0
W151-T011,151,686.5833,689.6833,3.1,160,493.33,927.9,356.38,0
W151-T012,151,683.0,685.75,2.75,152,270.57,933.7,222.22,0
W151-T013,151,689.5667,692.1167,2.55,143,442.23,986.0,320.3,0
W151-T014,151,694.7833,697.0833,2.3,139,620.71,702.6,348.37,0
W151-T015,151,690.8167,693.3667,2.55,126,281.71,936.6,216.71,0
W151-T016,151,690.4833,692.25,1.7667,107,624.4,686.9,405.99,0
W151-T017,151,689.5667,691.4667,1.9,102,554.8,771.3,294.85,0
W151-T018,151,691.25,692.8333,1.5833,92,527.41,680.4,314.48,0
W151-T019,151,686.0167,687.55,1.5333,88,69.38,383.6,77.06,0
W151-T020,151,683.8833,685.3167,1.4334,83,181.87,371.0,137.81,0
W151-T021,151,686.0167,687.2667,1.25,76,103.65,360.3,88.81,0
W151-T022,151,685.7667,687.0667,1.3,75,282.97,568.9,213.55,0
W151-T023,151,683.0,684.15,1.15,70,43.97,55.8,41.2,0
W151-T024,151,690.7,691.85,1.15,70,561.17,584.3,361.49,0
W151-T025,151,692.8,695.2833,2.4833,65,400.32,1338.5,247.69,0
W151-T026,151,691.25,692.8333,1.5833,63,537.16,641.7,365.36,0
W151-T027,151,691.25,692.6333,1.3833,63,139.88,285.6,122.06,0
W151-T028,151,685.9167,688.3167,2.4,60,115.35,1366.6,180.53,0
W151-T029,151,690.6167,692.0333,1.4166,60,399.51,958.7,254.74,0
W151-T030,151,690.8167,691.95,1.1333,60,424.9,543.3,216.92,0
W151-T031,151,683.7167,684.7833,1.0666,57,415.98,443.6,239.48,0
W151-T032,151,683.3,684.2333,0.9333,56,149.1,190.8,82.72,0
W151-T033,151,687.7167,690.0667,2.35,56,191.02,1470.6,192.85,0
W151-T034,151,695.5833,697.8167,2.2334,53,338.36,1101.4,260.3,0
W151-T035,151,694.7167,696.45,1.7333,47,124.25,890.8,112.44,0
W151-T036,151,689.3833,690.15,0.7667,46,49.1,174.0,48.26,0
