slot,carrier,record,template,field,value,template_is_region_covering,source,kind,bucket
head,base,records/items/upgraded/gearhead/d028_head.dbr,armor_head.tpl,defensiveProtection,1666.0,True,,,
chest,base,records/items/upgraded/geartorso/d026_torso.dbr,armor_chest.tpl,defensiveProtection,1908.0,True,,,
legs,base,records/items/gearlegs/b002e_legs.dbr,armor_legs.tpl,defensiveProtection,1501.0,True,,,
legs,component,records/items/materia/compb_ancientarmorplate.dbr,itemrelic.tpl,defensiveBonusProtection,35.0,False,,,
legs,component,records/items/materia/compb_ancientarmorplate.dbr,itemrelic.tpl,defensiveProtectionModifier,8.0,False,,,
feet,base,records/items/upgraded/gearfeet/d007_feet.dbr,armor_feet.tpl,defensiveProtection,1105.0,True,,,
hands,base,records/items/gearhands/d206_hands.dbr,armor_hands.tpl,defensiveProtection,1104.0,True,,,
ring2,component,records/items/materia/compa_bloodiedcrystal.dbr,itemrelic.tpl,defensiveProtection,75.0,False,,,
waist,base,records/items/gearaccessories/waist/d108_waist.dbr,armor_waist.tpl,defensiveProtection,96.0,False,,,
shoulders,base,records/items/upgraded/gearshoulders/d026_shoulder.dbr,armor_shoulders.tpl,defensiveProtection,1666.0,True,,,
head,,,,defensiveProtection,1666.0,,gear:head:base,item,region_covering_piece_armour
chest,,,,defensiveProtection,1908.0,,gear:chest:base,item,region_covering_piece_armour
legs,,,,defensiveProtection,1501.0,,gear:legs:base,item,region_covering_piece_armour
legs,,,,defensiveBonusProtection,35.0,,gear:legs:component,component,non_armour_pieces
feet,,,,defensiveProtection,1105.0,,gear:feet:base,item,region_covering_piece_armour
hands,,,,defensiveProtection,1104.0,,gear:hands:base,item,region_covering_piece_armour
ring2,,,,defensiveProtection,75.0,,gear:ring2:component,component,non_armour_pieces
waist,,,,defensiveProtection,96.0,,gear:waist:base,item,non_armour_pieces
shoulders,,,,defensiveProtection,1666.0,,gear:shoulders:base,item,region_covering_piece_armour
GLOBAL,,,,defensiveBonusProtection,120.0,,set:warborn@3pc,set,skills_and_sets
GLOBAL,,,,defensiveProtection,20.0,,devotion:tier1_29a.dbr,devotion,skills_and_sets
GLOBAL,,,,defensiveProtection,20.0,,devotion:tier1_29b.dbr,devotion,skills_and_sets
GLOBAL,,,,defensiveProtection,40.0,,devotion:tier1_29c.dbr,devotion,skills_and_sets
GLOBAL,,,,defensiveProtection,60.0,,devotion:tier2_05c.dbr,devotion,skills_and_sets
GLOBAL,,,,defensiveProtection,80.0,,devotion:tier2_05e.dbr,devotion,skills_and_sets
GLOBAL,,,,defensiveProtection,90.0,,devotion:tier3_20b.dbr,devotion,skills_and_sets
