rollover_field,record,textTag,shipped_text,wired_into_rollover
absorptionTitle,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_absorptiontitle.dbr,tagCharStatsAbsorption,Armor Absorption,
chestAbsorptionNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,
chestHitNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_chesthitnumber.dbr,,,
chestNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_chestnumber.dbr,,,
chestText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_chesttext.dbr,tagCharStatsArmorChest,Chest:,
feetAbsorptionNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,
feetHitNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_feethitnumber.dbr,,,
feetNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_feetnumber.dbr,,,
feetText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_feettext.dbr,tagCharStatsArmorFeet,Feet:,
handsAbsorptionNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,
handsHitNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_armshitnumber.dbr,,,
handsNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_armsnumber.dbr,,,
handsText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_armstext.dbr,tagCharStatsArmorArms,Arms:,
headAbsorptionNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,
headHitNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headhitnumber.dbr,,,
headNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,
headText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headtext.dbr,tagCharStatsArmorHead,Head:,
hitTitleText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_hittitletext.dbr,tagCharStatsHitArmor,Chance to Hit Area,
