layer,key,count_or_value,basis
templates.arc type= string,***UNKNOWN***,1,819 shipped .tpl files
templates.arc type= string,bool,931,819 shipped .tpl files
templates.arc type= string,eqnVariable,229,819 shipped .tpl files
templates.arc type= string,equation,944,819 shipped .tpl files
templates.arc type= string,file_anm,2588,819 shipped .tpl files
templates.arc type= string,file_cnv,2,819 shipped .tpl files
templates.arc type= string,file_dbr,5928,819 shipped .tpl files
templates.arc type= string,file_fnt,5,819 shipped .tpl files
templates.arc type= string,file_lua,1,819 shipped .tpl files
templates.arc type= string,file_msh,58,819 shipped .tpl files
templates.arc type= string,file_pfx,1,819 shipped .tpl files
templates.arc type= string,file_qst,12,819 shipped .tpl files
templates.arc type= string,file_snd,232,819 shipped .tpl files
templates.arc type= string,file_ssh,19,819 shipped .tpl files
templates.arc type= string,file_tex,511,819 shipped .tpl files
templates.arc type= string,file_txt,1,819 shipped .tpl files
templates.arc type= string,"file_wav,mp3",1,819 shipped .tpl files
templates.arc type= string,"file_wav,ogg",1,819 shipped .tpl files
templates.arc type= string,include,995,819 shipped .tpl files
templates.arc type= string,int,3775,819 shipped .tpl files
templates.arc type= string,list,2265,819 shipped .tpl files
templates.arc type= string,real,7804,819 shipped .tpl files
templates.arc type= string,string,5281,819 shipped .tpl files
templates.arc type= string,system,833,819 shipped .tpl files
arz type-tag census,database.arz,"{""0"": 377711, ""1"": 7395744, ""2"": 428220, ""3"": 1427002}",records=34171 entries=9628677 residue_records=0
arz type-tag census,GDX1.arz,"{""0"": 356588, ""1"": 5438406, ""2"": 338389, ""3"": 963978}",records=18453 entries=7097361 residue_records=0
arz type-tag census,GDX2.arz,"{""0"": 293089, ""1"": 4092466, ""2"": 344498, ""3"": 597304}",records=16454 entries=5327357 residue_records=0
arz type-tag census,GDX3.arz,"{""0"": 561858, ""1"": 5766265, ""2"": 540448, ""3"": 902231}",records=24307 entries=7770802 residue_records=0
arz type-tag census,SurvivalMode.arz,"{""0"": 108315, ""1"": 917387, ""2"": 89363, ""3"": 34008}",records=3147 entries=1149073 residue_records=0
arz type-tag census,SurvivalMode1.arz,"{""0"": 34546, ""1"": 286399, ""2"": 30927, ""3"": 10570}",records=1005 entries=362442 residue_records=0
arz type-tag census,SurvivalMode2.arz,"{""0"": 32474, ""1"": 281834, ""2"": 30106, ""3"": 8546}",records=811 entries=352960 residue_records=0
arz type-tag census,SurvivalMode3.arz,"{""0"": 53968, ""1"": 455535, ""2"": 47924, ""3"": 18593}",records=1433 entries=576020 residue_records=0
arz type-tag census,GRAND,"[0, 1, 2, 3]",records=99781 entries=32264692 residue_records=0
