wave,T_ref_s,T_direct_s,T_dev_s,n_observed_instants,observed_fraction,observed_time_s,B_A_total_body_time_s,L_recon_bodies,rung,bound_direction,uncertainty_s
151,15.599785,15.600000,+0.000215,870,0.9295,14.500000,40.207,2.577407,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
152,16.299710,16.300000,+0.000290,955,0.9765,15.916667,44.307,2.718269,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
153,14.900367,14.900000,-0.000367,836,0.9351,13.933333,25.385,1.703649,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
154,14.199979,14.200000,+0.000021,795,0.9331,13.250000,58.294,4.105217,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
155,16.200807,16.200000,-0.000807,932,0.9588,15.533333,36.954,2.280998,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
156,20.200422,20.200000,-0.000422,1149,0.9480,19.150000,57.393,2.841178,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
157,19.299577,19.300000,+0.000423,1068,0.9223,17.800000,81.024,4.198227,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
158,12.999692,13.000000,+0.000308,759,0.9731,12.650000,33.638,2.587600,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
159,26.299213,26.300000,+0.000787,1503,0.9525,25.050000,113.646,4.321270,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
160,25.000927,25.000000,-0.000927,1349,0.8993,22.483333,79.955,3.198081,A@293.6gpx,B_A is rung-A: a LOWER bound on body-time (AC DO-NOT 3); L_recon inherits that direction,"+-0.25 per cut (OBS-H2-6); T_ref is the segmentation, not a finer clock"
