chain_id,tick_idx,t_s,frame,gap_frames,magnitude_hp,implied_rate_hp_per_s
0,0,823.2167,49393,,699,6990.0
0,1,823.3333,49400,7,20,200.0
0,2,823.4333,49406,6,19,190.0
0,3,823.5333,49412,6,22,220.0
0,4,823.6333,49418,6,20,200.0
0,5,823.7500,49425,7,20,200.0
0,6,823.8500,49431,6,20,200.0
0,7,823.9500,49437,6,22,220.0
0,8,824.0500,49443,6,19,190.0
0,9,824.1667,49450,7,20,200.0
0,10,824.2667,49456,6,20,200.0
0,11,824.3667,49462,6,20,200.0
0,12,824.4667,49468,6,20,200.0
1,0,824.5000,49470,,19741,197410.0
1,1,824.5833,49475,5,19,190.0
1,2,824.6833,49481,6,20,200.0
1,3,824.7833,49487,6,20,200.0
1,4,824.8833,49493,6,20,200.0
1,5,825.0000,49500,7,20,200.0
1,6,825.1000,49506,6,19,190.0
1,7,825.2000,49512,6,20,200.0
1,8,825.3000,49518,6,20,200.0
2,0,826.1667,49570,,21,210.0
2,1,826.2667,49576,6,19,190.0
2,2,826.3667,49582,6,19,190.0
2,3,826.4833,49589,7,19,190.0
2,4,826.5833,49595,6,19,190.0
2,5,826.6833,49601,6,19762,197620.0
2,6,826.7833,49607,6,19,190.0
2,7,826.9000,49614,7,19,190.0
2,8,827.0000,49620,6,19,190.0
2,9,827.1000,49626,6,19,190.0
2,10,827.2000,49632,6,21,210.0
2,11,827.3167,49639,7,19,190.0
2,12,827.4167,49645,6,19,190.0
2,13,827.5167,49651,6,19,190.0
2,14,827.6167,49657,6,19,190.0
3,0,871.8833,52313,,93,930.0
3,1,871.9833,52319,6,5,50.0
3,2,872.0833,52325,6,5,50.0
3,3,872.2000,52332,7,93,930.0
3,4,872.3000,52338,6,93,930.0
3,5,872.4000,52344,6,93,930.0
3,6,872.5000,52350,6,93,930.0
3,7,872.6167,52357,7,93,930.0
3,8,872.7167,52363,6,93,930.0
3,9,872.8167,52369,6,93,930.0
4,0,877.7167,52663,,51,510.0
4,1,877.8167,52669,6,51,510.0
4,2,877.9167,52675,6,51,510.0
4,3,878.0333,52682,7,49,490.0
4,4,878.1333,52688,6,49,490.0
4,5,878.2333,52694,6,19692,196920.0
4,6,878.3333,52700,6,48,480.0
4,7,878.4500,52707,7,49,490.0
4,8,878.5500,52713,6,51,510.0
4,9,878.6500,52719,6,51,510.0
4,10,878.7500,52725,6,49,490.0
4,11,878.8667,52732,7,49,490.0
4,12,878.9667,52738,6,19692,196920.0
4,13,879.0667,52744,6,48,480.0
4,14,879.1667,52750,6,49,490.0
4,15,879.2833,52757,7,49,490.0
4,16,879.3833,52763,6,49,490.0
4,17,879.4833,52769,6,48,480.0
4,18,879.5833,52775,6,48,480.0
4,19,879.7000,52782,7,48,480.0
5,0,886.3667,53182,,762,7620.0
5,1,886.4500,53187,5,21,210.0
5,2,886.5500,53193,6,19048,190480.0
5,3,886.6667,53200,7,22,220.0
5,4,886.7667,53206,6,22,220.0
5,5,886.8667,53212,6,22,220.0
5,6,886.9833,53219,7,22,220.0
5,7,887.0833,53225,6,22,220.0
5,8,887.1833,53231,6,21,210.0
5,9,887.2833,53237,6,21,210.0
5,10,887.4000,53244,7,21,210.0
6,0,908.3333,54500,,41,410.0
6,1,908.4500,54507,7,64,640.0
6,2,908.5500,54513,6,64,640.0
6,3,908.6500,54519,6,64,640.0
6,4,908.7500,54525,6,64,640.0
6,5,908.8667,54532,7,64,640.0
7,0,910.5000,54630,,328,3280.0
7,1,910.6000,54636,6,328,3280.0
7,2,910.7167,54643,7,328,3280.0
7,3,910.8167,54649,6,328,3280.0
7,4,910.9167,54655,6,328,3280.0
7,5,911.0167,54661,6,328,3280.0
7,6,911.1333,54668,7,328,3280.0
7,7,911.2333,54674,6,328,3280.0
7,8,911.3333,54680,6,327,3270.0
7,9,911.4333,54686,6,328,3280.0
7,10,911.5500,54693,7,327,3270.0
7,11,911.6500,54699,6,328,3280.0
7,12,911.7500,54705,6,327,3270.0
7,13,911.8500,54711,6,328,3280.0
8,0,942.7833,56567,,217,2170.0
8,1,942.8833,56573,6,14,140.0
8,2,943.0000,56580,7,14,140.0
8,3,943.1000,56586,6,11,110.0
8,4,943.2000,56592,6,11,110.0
8,5,943.3000,56598,6,12,120.0
8,6,943.4167,56605,7,12,120.0
8,7,943.5167,56611,6,11,110.0
8,8,943.6167,56617,6,11,110.0
8,9,943.7167,56623,6,11,110.0
8,10,943.8333,56630,7,14,140.0
8,11,943.9333,56636,6,12,120.0
9,0,944.2667,56656,,1104,11040.0
9,1,944.3500,56661,5,12,120.0
9,2,944.4500,56667,6,14,140.0
9,3,944.5500,56673,6,12,120.0
9,4,944.6667,56680,7,12,120.0
9,5,944.7667,56686,6,11,110.0
9,6,944.8500,56691,5,884,8840.0
10,0,944.8667,56692,,12,120.0
10,1,944.9667,56698,6,11,110.0
10,2,945.0833,56705,7,11,110.0
10,3,945.1833,56711,6,11,110.0
10,4,945.2833,56717,6,12,120.0
10,5,945.3833,56723,6,12,120.0
10,6,945.5000,56730,7,14,140.0
10,7,945.6000,56736,6,12,120.0
10,8,945.7000,56742,6,12,120.0
10,9,945.8000,56748,6,11,110.0
10,10,945.9167,56755,7,11,110.0
10,11,946.0167,56761,6,11,110.0
10,12,946.1167,56767,6,12,120.0
10,13,946.2167,56773,6,12,120.0
10,14,946.3333,56780,7,12,120.0
10,15,946.4333,56786,6,11,110.0
10,16,946.5333,56792,6,11,110.0
10,17,946.6333,56798,6,11,110.0
10,18,946.7500,56805,7,12,120.0
10,19,946.8500,56811,6,12,120.0
11,0,950.4167,57025,,62,620.0
11,1,950.5167,57031,6,64,640.0
11,2,950.6333,57038,7,62,620.0
11,3,950.7333,57044,6,62,620.0
11,4,950.8333,57050,6,62,620.0
11,5,950.9333,57056,6,62,620.0
12,0,1034.1500,62049,,637,6370.0
12,1,1034.2667,62056,7,24,240.0
12,2,1034.3667,62062,6,25,250.0
12,3,1034.4667,62068,6,26,260.0
12,4,1034.5833,62075,7,24,240.0
12,5,1034.6833,62081,6,25,250.0
12,6,1034.7833,62087,6,24,240.0
12,7,1034.8833,62093,6,26,260.0
12,8,1035.0000,62100,7,26,260.0
12,9,1035.1000,62106,6,26,260.0
12,10,1035.2000,62112,6,26,260.0
12,11,1035.3000,62118,6,26,260.0
13,0,1035.4167,62125,,341,3410.0
13,1,1035.5167,62131,6,55,550.0
13,2,1035.6167,62137,6,55,550.0
13,3,1035.7167,62143,6,53,530.0
13,4,1035.8167,62149,6,52,520.0
13,5,1035.9333,62156,7,23,230.0
13,6,1036.0333,62162,6,23,230.0
14,0,1036.3500,62181,,23,230.0
14,1,1036.4500,62187,6,23,230.0
14,2,1036.5500,62193,6,23,230.0
14,3,1036.6500,62199,6,23,230.0
14,4,1036.7667,62206,7,23,230.0
14,5,1036.8667,62212,6,25,250.0
14,6,1036.9667,62218,6,22,220.0
14,7,1037.0667,62224,6,25,250.0
14,8,1037.1833,62231,7,25,250.0
14,9,1037.2833,62237,6,25,250.0
15,0,1041.5167,62491,,1015,10150.0
15,1,1041.6167,62497,6,1,10.0
15,2,1041.7167,62503,6,1,10.0
15,3,1041.8167,62509,6,1,10.0
15,4,1041.9333,62516,7,1,10.0
15,5,1042.0167,62521,5,848,8480.0
15,6,1042.1333,62528,7,1,10.0
15,7,1042.2333,62534,6,1,10.0
15,8,1042.3500,62541,7,1,10.0
16,0,1042.8833,62573,,1127,11270.0
16,1,1042.9667,62578,5,1,10.0
16,2,1043.0667,62584,6,1,10.0
16,3,1043.1833,62591,7,1,10.0
16,4,1043.2833,62597,6,1,10.0
16,5,1043.3667,62602,5,1570,15700.0
17,0,1043.6000,62616,,1,10.0
17,1,1043.7000,62622,6,1,10.0
17,2,1043.8000,62628,6,1,10.0
17,3,1043.9000,62634,6,1,10.0
17,4,1044.0167,62641,7,1,10.0
17,5,1044.1167,62647,6,1,10.0
17,6,1044.2167,62653,6,1,10.0
17,7,1044.3167,62659,6,1,10.0
17,8,1044.4333,62666,7,1,10.0
17,9,1044.5333,62672,6,1,10.0
17,10,1044.6333,62678,6,1,10.0
17,11,1044.7333,62684,6,1,10.0
17,12,1044.8500,62691,7,1,10.0
17,13,1044.9500,62697,6,1,10.0
17,14,1045.0500,62703,6,1,10.0
17,15,1045.1500,62709,6,1,10.0
17,16,1045.2667,62716,7,1,10.0
17,17,1045.3667,62722,6,1,10.0
17,18,1045.4667,62728,6,1,10.0
17,19,1045.5667,62734,6,1,10.0
17,20,1045.6833,62741,7,1,10.0
17,21,1045.7833,62747,6,1,10.0
17,22,1045.8833,62753,6,1,10.0
17,23,1045.9833,62759,6,1,10.0
17,24,1046.1000,62766,7,1,10.0
17,25,1046.2000,62772,6,1,10.0
18,0,1046.9000,62814,,7,70.0
18,1,1047.0167,62821,7,75,750.0
18,2,1047.1167,62827,6,73,730.0
18,3,1047.2167,62833,6,75,750.0
18,4,1047.3167,62839,6,75,750.0
18,5,1047.4333,62846,7,75,750.0
18,6,1047.5333,62852,6,75,750.0
18,7,1047.6333,62858,6,75,750.0
18,8,1047.7333,62864,6,75,750.0
18,9,1047.8500,62871,7,75,750.0
18,10,1047.9500,62877,6,10,100.0
18,11,1048.0500,62883,6,10,100.0
18,12,1048.1500,62889,6,10,100.0
18,13,1048.2667,62896,7,75,750.0
18,14,1048.3667,62902,6,75,750.0
18,15,1048.4667,62908,6,75,750.0
19,0,1048.5833,62915,,19345,193450.0
19,1,1048.6833,62921,6,75,750.0
19,2,1048.7833,62927,6,73,730.0
19,3,1048.8833,62933,6,73,730.0
19,4,1048.9833,62939,6,73,730.0
19,5,1049.1000,62946,7,73,730.0
19,6,1049.2000,62952,6,73,730.0
20,0,1117.4167,67045,,60,600.0
20,1,1117.5167,67051,6,60,600.0
20,2,1117.6167,67057,6,60,600.0
20,3,1117.7167,67063,6,10,100.0
20,4,1117.8333,67070,7,60,600.0
20,5,1117.9333,67076,6,60,600.0
20,6,1118.0333,67082,6,60,600.0
20,7,1118.1333,67088,6,60,600.0
21,0,1120.7667,67246,,11,110.0
21,1,1120.8667,67252,6,11,110.0
21,2,1120.9833,67259,7,149,1490.0
21,3,1121.0833,67265,6,149,1490.0
21,4,1121.1833,67271,6,147,1470.0
21,5,1121.2833,67277,6,149,1490.0
21,6,1121.4000,67284,7,149,1490.0
21,7,1121.5000,67290,6,149,1490.0
21,8,1121.6000,67296,6,149,1490.0
21,9,1121.7000,67302,6,149,1490.0
21,10,1121.8167,67309,7,149,1490.0
21,11,1121.9167,67315,6,149,1490.0
21,12,1122.0167,67321,6,149,1490.0
21,13,1122.1167,67327,6,149,1490.0
21,14,1122.2333,67334,7,149,1490.0
21,15,1122.3333,67340,6,149,1490.0
21,16,1122.4333,67346,6,149,1490.0
21,17,1122.5333,67352,6,147,1470.0
21,18,1122.6500,67359,7,149,1490.0
21,19,1122.7500,67365,6,149,1490.0
21,20,1122.8500,67371,6,149,1490.0
21,21,1122.9500,67377,6,149,1490.0
21,22,1123.0500,67383,6,147,1470.0
22,0,1123.5833,67415,,147,1470.0
22,1,1123.6833,67421,6,146,1460.0
22,2,1123.7833,67427,6,147,1470.0
22,3,1123.8833,67433,6,149,1490.0
22,4,1124.0000,67440,7,147,1470.0
22,5,1124.1000,67446,6,146,1460.0
22,6,1124.1833,67451,5,689,6890.0
23,0,1124.6167,67477,,76,760.0
23,1,1124.7167,67483,6,76,760.0
23,2,1124.8333,67490,7,74,740.0
23,3,1124.9333,67496,6,75,750.0
23,4,1125.0333,67502,6,74,740.0
23,5,1125.1333,67508,6,76,760.0
23,6,1125.2500,67515,7,74,740.0
23,7,1125.3500,67521,6,76,760.0
23,8,1125.4500,67527,6,74,740.0
23,9,1125.5500,67533,6,74,740.0
23,10,1125.6667,67540,7,74,740.0
24,0,1145.1167,68707,,29,290.0
24,1,1145.2167,68713,6,31,310.0
24,2,1145.3167,68719,6,31,310.0
24,3,1145.4167,68725,6,31,310.0
24,4,1145.5333,68732,7,29,290.0
24,5,1145.6333,68738,6,29,290.0
25,0,1145.8333,68750,,29,290.0
25,1,1145.9500,68757,7,30,300.0
25,2,1146.0500,68763,6,30,300.0
25,3,1146.1500,68769,6,29,290.0
25,4,1146.2500,68775,6,29,290.0
25,5,1146.3667,68782,7,29,290.0
25,6,1146.4667,68788,6,19806,198060.0
25,7,1146.5667,68794,6,29,290.0
26,0,1149.1833,68951,,266,2660.0
26,1,1149.2667,68956,5,31,310.0
26,2,1149.3833,68963,7,30,300.0
26,3,1149.4833,68969,6,31,310.0
26,4,1149.5833,68975,6,30,300.0
26,5,1149.6833,68981,6,31,310.0
27,0,1176.4333,70586,,38,380.0
27,1,1176.5500,70593,7,38,380.0
27,2,1176.6500,70599,6,38,380.0
27,3,1176.7500,70605,6,40,400.0
27,4,1176.8500,70611,6,40,400.0
27,5,1176.9667,70618,7,12,120.0
27,6,1177.0667,70624,6,40,400.0
27,7,1177.1667,70630,6,40,400.0
27,8,1177.2667,70636,6,40,400.0
27,9,1177.3833,70643,7,51,510.0
27,10,1177.4833,70649,6,49,490.0
27,11,1177.5833,70655,6,49,490.0
27,12,1177.6833,70661,6,48,480.0
27,13,1177.8000,70668,7,48,480.0
27,14,1177.9000,70674,6,48,480.0
27,15,1178.0000,70680,6,49,490.0
27,16,1178.1000,70686,6,49,490.0
27,17,1178.2000,70692,6,8,80.0
27,18,1178.3167,70699,7,8,80.0
27,19,1178.4167,70705,6,9,90.0
27,20,1178.5167,70711,6,9,90.0
27,21,1178.6167,70717,6,9,90.0
27,22,1178.7333,70724,7,9,90.0
27,23,1178.8333,70730,6,9,90.0
27,24,1178.9333,70736,6,9,90.0
27,25,1179.0333,70742,6,8,80.0
28,0,1179.2500,70755,,11,110.0
28,1,1179.3500,70761,6,9,90.0
28,2,1179.4500,70767,6,8,80.0
28,3,1179.5667,70774,7,9,90.0
28,4,1179.6667,70780,6,11,110.0
28,5,1179.7667,70786,6,9,90.0
28,6,1179.8667,70792,6,8,80.0
