chain_id,tick_idx,t_s,frame,gap_frames,magnitude_hp,implied_rate_hp_per_s,basis
0,0,689.7500,41385,,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,1,689.8500,41391,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,2,689.9667,41398,7,339,3390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,3,690.0667,41404,6,13,130.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,4,690.1667,41410,6,13,130.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,5,690.2667,41416,6,13,130.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,6,690.3833,41423,7,13,130.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,7,690.4833,41429,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,8,690.5833,41435,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,9,690.6833,41441,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,10,690.8000,41448,7,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,11,690.9000,41454,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
0,12,690.9833,41459,5,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
1,0,712.3333,42740,,122,1220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
1,1,712.4333,42746,6,124,1240.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
1,2,712.5333,42752,6,124,1240.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
1,3,712.6333,42758,6,124,1240.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
2,0,724.7167,43483,,41,410.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
2,1,724.8167,43489,6,41,410.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
2,2,724.9000,43494,5,41,410.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
2,3,725.0000,43500,6,41,410.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
2,4,725.1000,43506,6,28,280.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
3,0,725.2167,43513,,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
3,1,725.3000,43518,5,28,280.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
3,2,725.4000,43524,6,29,290.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
3,3,725.5000,43530,6,28,280.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
3,4,725.5833,43535,5,28,280.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
3,5,725.7000,43542,7,28,280.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
4,0,733.7833,44027,,3184,31840.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
4,1,733.8833,44033,6,50,500.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
4,2,734.0000,44040,7,50,500.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
4,3,734.1000,44046,6,50,500.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
4,4,734.1833,44051,5,49,490.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
5,0,735.3167,44119,,74,740.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
5,1,735.4167,44125,6,74,740.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
5,2,735.5333,44132,7,74,740.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
