=== archive gdx1: /Users/admin/Games/vendor/grim-dawn/gdx1/database/GDX1.arz
    sha256 e28ab2515477ac80bdc3f955b6aa804eee791d4c51fda64c9ea01306522a4539
    records 18447  strings 57204

--- records/skills/nonplayerskillsgdx1/bossskills/nemesis/chthonian02_nullification_buff.dbr
    rtype=SkillBuff_DispelMagic
    Axe                                          False
    Axe2h                                        False
    Class                                        SkillBuff_DispelMagic
    Mace                                         False
    Mace2h                                       False
    Magical                                      False
    Offhand                                      False
    Ranged1h                                     False
    Ranged2h                                     False
    Shield                                       False
    Spear                                        False
    Staff                                        False
    Sword                                        False
    Sword2h                                      False
    aetherDamageQualifier                        False
    bleedingDamageQualifier                      False
    cameraShakeAmplitude                         0.11999999731779099
    chaosDamageQualifier                         False
    charFxPakOtherNames                          records/fx/damagedefault/nullificationdebuff_chfxpak01.dbr
    characterAttackSpeed                         0.0
    characterAttackSpeedModifier                 0.0
    characterBaseAttackSpeedTag                  CharacterAttackSpeedAverage
    characterConstitution                        0.0
    characterConstitutionModifier                0.0
    characterDefensiveAbility                    0.0
    characterDefensiveAbilityModifier            0.0
    characterDexterity                           0.0
    characterDexterityModifier                   0.0
    characterHealIncreasePercent                 0.0
    characterIntelligence                        0.0
    characterIntelligenceModifier                0.0
    characterLife                                0.0
    characterLifeModifier                        0.0
    characterLifeRegen                           0.0
    characterLifeRegenModifier                   0.0
    characterLightRadius                         0.0
    characterMana                                0.0
    characterManaLimitReserve                    0.0
    characterManaLimitReserveModifier            0.0
    characterManaLimitReserveReduction           0.0
    characterManaLimitReserveReductionModifier   0.0
    characterManaModifier                        0.0
    characterManaRegen                           0.0
    characterManaRegenModifier                   0.0
    characterOffensiveAbility                    0.0
    characterOffensiveAbilityModifier            0.0
    characterRunSpeed                            0.0
    characterRunSpeedJitter                      0.0
    characterRunSpeedModifier                    0.0
    characterSpellCastSpeed                      0.0
    characterSpellCastSpeedModifier              0.0
    characterStrength                            0.0
    characterStrengthModifier                    0.0
    coldDamageQualifier                          False
    defensiveAbsorption                          0.0
    defensiveAbsorptionChance                    0.0
    defensiveAbsorptionModifier                  0.0
    defensiveAbsorptionModifierChance            0.0
    defensiveAether                              0.0
    defensiveAetherChance                        0.0
    defensiveAetherDuration                      0.0
    defensiveAetherDurationChance                0.0
    defensiveAetherDurationModifier              0.0
    defensiveAetherDurationModifierChance        0.0
    defensiveAetherMaxResist                     0.0
    defensiveAetherModifier                      0.0
    defensiveAetherModifierChance                0.0
    defensiveAllMaxResist                        0.0
    defensiveBonusProtection                     0.0
    defensiveChaos                               0.0
    defensiveChaosChance                         0.0
    defensiveChaosDuration                       0.0
    defensiveChaosDurationChance                 0.0
    defensiveChaosDurationModifier               0.0
    defensiveChaosDurationModifierChance         0.0
    defensiveChaosMaxResist                      0.0
    defensiveChaosModifier                       0.0
    defensiveChaosModifierChance                 0.0
    defensiveCold                                0.0
    defensiveColdChance                          0.0
    defensiveColdDuration                        0.0
    defensiveColdDurationChance                  0.0
    defensiveColdDurationModifier                0.0
    defensiveColdDurationModifierChance          0.0
    defensiveColdMaxResist                       0.0
    defensiveColdModifier                        0.0
    defensiveColdModifierChance                  0.0
    defensiveElementalModifier                   0.0
    defensiveElementalResistance                 0.0
    defensiveElementalResistanceChance           0.0
    defensiveFire                                0.0
    defensiveFireChance                          0.0
    defensiveFireDuration                        0.0
