controller,n_monsters,group,field,crucible_value,base_game_value,owner_archive,slot
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,FleeBehavior,NeverFlee,NeverFlee,SurvivalMode1.arz,0x304
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,FleeTime,0,0,SurvivalMode1.arz,0x310
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,FleeTarget,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x308
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,maxFleeCount,0,0,SurvivalMode1.arz,0x30c
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,FleeDelay,0,0,SurvivalMode1.arz,0x314
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,FleeChance,0,0,SurvivalMode1.arz,0x2d8
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,fleeDistance,0.0,0.0,SurvivalMode1.arz,0x318
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,ClearAngerWhenFleeing,False,False,SurvivalMode1.arz,0x31c
records/controllers/enemy/controller_aetherialbloater.dbr,5,Fleeing,ResetOriginAfterFleeing,False,False,SurvivalMode1.arz,0x3a4
records/controllers/enemy/controller_aetherialbloater.dbr,5,SkillUsage,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x324
records/controllers/enemy/controller_aetherialbloater.dbr,5,SkillUsage,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x328
records/controllers/enemy/controller_aetherialbloater.dbr,5,SkillUsage,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x330
records/controllers/enemy/controller_aetherialbloater.dbr,5,SkillUsage,healLeaderHealthPercentage,70,70,SurvivalMode1.arz,0x358
records/controllers/enemy/controller_aetherialbloater.dbr,5,SkillUsage,healAllyHealthPercentage,70,70,SurvivalMode1.arz,0x35c
records/controllers/enemy/controller_aetherialbloater.dbr,5,SkillUsage,BuffAllyTargeting,BuffWeakest,BuffWeakest,SurvivalMode1.arz,0x32c
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,RoamBehavior,Roam,Roam,SurvivalMode1.arz,0x320
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,MinRoamDistance,2.0,2.0,SurvivalMode1.arz,0x39c
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,RoamDistance,2.0,5.0,SurvivalMode1.arz,0x374
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,MinTimeBeforeRoam,2000,6000,SurvivalMode1.arz,0x394
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,MaxTimeBeforeRoam,2000,16000,SurvivalMode1.arz,0x398
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,MinWanderDistance,2.0,2.0,SurvivalMode1.arz,0x3a0
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,WanderDistance,0.0,5.0,SurvivalMode1.arz,0x370
records/controllers/enemy/controller_aetherialbloater.dbr,5,Roaming,TeleportToLeaderDistance,40.0,40.0,SurvivalMode1.arz,0x378
records/controllers/enemy/controller_aetherialbloater.dbr,5,Patrolling,ChanceToIdleOnPatrol,0,0,SurvivalMode1.arz,0x37c
records/controllers/enemy/controller_aetherialbloater.dbr,5,Patrolling,MinPatrolIdleTime,1000,0,SurvivalMode1.arz,0x380
records/controllers/enemy/controller_aetherialbloater.dbr,5,Patrolling,MaxPatrolIdleTime,5000,0,SurvivalMode1.arz,0x384
records/controllers/enemy/controller_aetherialbloater.dbr,5,RandomAnger,RandomAngerChance,0,0,SurvivalMode1.arz,0x390
