anchor,sim_x,sim_y,status
emitter:spawnpoint02,9.343,-31.462,"DISCONNECTED (component 199, 4 m2)"
emitter:spawnpoint05,-6.821,2.176,INSIDE-BLOCKING-GEOMETRY
player_spawn,-8.245,-5.824,reachable
emitter:tier16spawnpoint01,-34.447,9.594,INSIDE-BLOCKING-GEOMETRY
emitter:spawnpoint03,8.124,32.368,reachable
emitter:spawnpoint04,30.905,7.147,reachable
emitter:spawnpoint06,31.215,6.805,reachable
patrolpoint_attack_00,-21.82,3.146,reachable
patrolpoint_attack_01,1.683,-19.827,reachable
patrolpoint_attack_02,13.471,-19.482,reachable
patrolpoint_attack_03,-14.858,-11.364,INSIDE-BLOCKING-GEOMETRY
patrolpoint_attack_04,-6.795,-4.656,reachable
patrolpoint_attack_05,-5.153,-3.001,reachable
patrolpoint_attack_06,23.894,-5.513,reachable
patrolpoint_attack_07,-15.13,19.673,reachable
patrolpoint_attack_08,10.593,8.445,reachable
patrolpoint_attack_09,13.053,10.649,reachable
patrolpoint_attack_10,1.062,21.929,reachable
