rule,band_lo,band_hi,geo_blocked_fraction,reach_area_m2,reaches_region_edge,anchors_reachable,anchors_total,sim_x,sim_y
triangles,0.0,1.0,0.1971,2063.1,True,14,18,"[-30.39, 42.61]","[-40.49, 55.51]"
triangles,0.0,2.0,0.2892,1743.4,True,14,18,"[-30.39, 42.61]","[-40.49, 35.26]"
triangles,0.0,3.0,0.3712,39.3,False,0,18,"[-4.39, 4.36]","[-9.49, 0.26]"
triangles,0.5,1.0,0.1558,7086.4,True,14,18,"[-85.14, 42.61]","[-40.99, 63.51]"
triangles,0.5,2.0,0.2606,5687.9,True,14,18,"[-85.14, 42.61]","[-40.99, 63.51]"
triangles,0.5,3.0,0.3478,40.1,False,0,18,"[-4.39, 4.36]","[-9.49, 0.26]"
triangles,1.0,2.0,0.2248,6485.3,True,14,18,"[-85.14, 42.61]","[-41.49, 63.51]"
triangles,1.0,3.0,0.3208,41.2,False,0,18,"[-4.39, 4.36]","[-9.49, 0.26]"
hitboxOBB,0.0,1.0,0.4269,0.0,True,0,18,,
hitboxOBB,0.0,2.0,0.465,0.0,True,0,18,,
hitboxOBB,0.0,3.0,0.4885,0.0,True,0,18,,
hitboxOBB,0.5,1.0,0.4249,0.0,True,0,18,,
hitboxOBB,0.5,2.0,0.4631,0.0,True,0,18,,
hitboxOBB,0.5,3.0,0.4866,0.0,True,0,18,,
hitboxOBB,1.0,2.0,0.4585,0.0,True,0,18,,
hitboxOBB,1.0,3.0,0.4821,0.0,True,0,18,,
renderAABB,0.0,1.0,0.5561,0.0,True,0,18,,
renderAABB,0.0,2.0,0.5993,0.0,True,0,18,,
renderAABB,0.0,3.0,0.645,0.0,True,0,18,,
renderAABB,0.5,1.0,0.5542,0.0,True,0,18,,
renderAABB,0.5,2.0,0.5975,0.0,True,0,18,,
renderAABB,0.5,3.0,0.6434,0.0,True,0,18,,
renderAABB,1.0,2.0,0.5955,0.0,True,0,18,,
renderAABB,1.0,3.0,0.6414,0.0,True,0,18,,
