mesh,chain_closes,n_vert,n_tri,n_hitbox,aabb,aabb_equals_vertex_extremes,index_max_is_nvert_minus_1,chunk_ids
creatures/defenses/defense_floorgrate01a.msh,True,551,254,0,"[-1.1413, -0.4028, -1.1413, 1.1392, 0.1883, 1.1389]",True,True,"[0, 3, 4, 5, 6, 7, 8, 10, 13]"
level art/doors/epicruindungeon_doorframe01a.msh,True,1338,668,2,"[-5.3457, -1.4654, -1.0917, 5.335, 8.1477, 1.094]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/terrain/cliffs/cliff03.msh,True,695,362,0,"[-20.8436, 1.1207, -13.0005, 23.7852, 11.8685, 9.5122]",True,True,"[2, 4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmite_large01.msh,True,1532,1168,1,"[-2.2172, -4.1462, -1.6015, 2.1383, 5.396, 2.7817]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmite_large02.msh,True,3307,2267,1,"[-3.2821, -4.1249, -3.5201, 3.9647, 6.8479, 2.8975]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmite_large03.msh,True,3376,2455,2,"[-2.6518, -4.9225, -4.4407, 2.3644, 6.3237, 4.4266]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmite_large04.msh,True,1324,982,1,"[-1.4616, -5.3385, -2.2393, 1.4553, 5.9372, 3.2622]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmite_large05.msh,True,3112,2455,2,"[-0.8754, -4.9164, -4.3927, 3.2199, 6.5153, 4.928]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmite_single01.msh,True,669,491,1,"[-1.6515, -4.0834, -2.1535, 1.6515, 6.8479, 2.1535]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmite_single02.msh,True,699,491,1,"[-1.4862, -4.7941, -1.1643, 1.4883, 4.427, 1.0769]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_curved01.msh,True,10713,4960,2,"[-7.5669, -1.4515, -3.5308, 7.4545, 7.1221, 3.6941]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_curved02.msh,True,6708,3210,2,"[-7.4545, -1.4515, -3.6941, 7.5669, 7.1221, 3.5308]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_large01.msh,True,10441,4806,1,"[-6.3232, -1.5729, -4.1084, 6.4602, 7.0, 4.4955]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_long01.msh,True,9985,4668,3,"[-7.1631, -1.4434, -4.3485, 7.2912, 7.1221, 4.2463]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_long02.msh,True,10475,5058,2,"[-7.317, -1.4434, -4.0742, 7.4391, 6.8632, 4.5207]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_long03.msh,True,6646,3170,3,"[-7.2912, -1.4434, -4.2463, 7.1631, 7.1221, 4.3485]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_medium01.msh,True,6333,2987,1,"[-4.6687, -1.4434, -4.1437, 4.8899, 6.9785, 3.666]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_pillar01_base.msh,True,2797,1284,1,"[-3.7537, -1.4699, -4.8894, 3.603, 4.587, 4.4888]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_pillar01_top.msh,True,1978,1126,1,"[-2.2018, -1.03, -3.0588, 1.7391, 9.4813, 2.417]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_short01.msh,True,8575,4108,2,"[-5.112, -1.4876, -3.7751, 5.193, 5.7962, 3.1423]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_short03.msh,True,4266,2065,1,"[-4.8778, -1.4876, -3.5063, 5.3715, 5.7962, 3.2318]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitecluster_sloped01.msh,True,11493,5297,2,"[-7.8509, -1.4515, -3.7218, 8.3718, 7.1221, 3.582]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitetop_large01.msh,True,1236,633,1,"[-1.9722, -1.7978, -1.9253, 1.8907, 1.6695, 2.2543]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitetop_large02.msh,True,1431,771,1,"[-2.2246, -3.0079, -2.533, 2.0704, 2.4906, 2.9925]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitetop_large03.msh,True,1596,839,1,"[-2.5331, -3.0765, -3.3496, 2.7138, 2.6616, 3.5385]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitetop_large04.msh,True,2261,1213,1,"[-4.6184, -2.8703, -4.1312, 4.6885, 2.7559, 4.5461]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
level art/undergrounds/natural/stalagmitetop_large05.msh,True,2743,1493,1,"[-7.264, -3.403, -4.3607, 7.2839, 3.0185, 5.1996]",True,True,"[4, 5, 6, 7, 8, 10, 13]"
