id,kind,key,value,rva,fn,note
D7-E-01,enum,CombatAttributeType.Stun,42 (0x2a),0x0014c3e0,GetType@DefenseAttributeAbs_Stun,shared by Damage/Defense/Retaliation _Stun
D7-E-02,enum,CombatAttributeType.Sleep,43 (0x2b),0x0014c370,GetType@DamageAttributeReflex_Sleep,
D7-E-03,enum,CombatAttributeType.Trap,44 (0x2c),0x0014c5b0,GetType@DamageAttributeReflex_Trap,
D7-E-04,enum,CombatAttributeType.Freeze,45 (0x2d),0x0014c4c0,GetType@DamageAttributeReflex_Freeze,
D7-E-05,enum,CombatAttributeType.Petrify,46 (0x2e),0x0014c540,GetType@DamageAttributeReflex_Petrify,
D7-E-06,enum,CombatAttributeType.Immobilize,47 (0x2f),0x0005ad85,StartInvoluntaryEffect switch arm,NO DefenseAttribute class exists for 47 -> no per-type resistance stat
D7-E-07,enum,CombatAttributeType.Knockdown,48 (0x30),0x0014c450,GetType@DamageAttributeReflex_Knockdown,
D7-E-08,enum,CombatAttributeType.TakeHit,49 (0x31),0x0005accc,StartInvoluntaryEffect switch arm,NO DefenseAttribute class exists for 49
D7-E-09,enum,CombatAttributeType.Taunt,50 (0x32),0x0014c620,GetType@DamageAttributeAbs_Taunt,"influence family, not involuntary"
D7-E-10,enum,CombatAttributeType.Convert,51 (0x33),0x0014cb50,GetType@DamageAttributeAbs_Convert,"influence family, not involuntary"
D7-E-11,enum,CombatAttributeType.Fear,52 (0x34),0x0014cd50,GetType@DamageAttributeAbs_Fear,influence family
D7-E-12,enum,CombatAttributeType.Confusion,53 (0x35),0x0014cf40,GetType@DamageAttributeAbs_Confusion,influence family
D7-E-13,enum,CombatAttributeType.CrowdControl,54 (0x36),0x001acc60,GetType@DefenseAttributeAbs_CrowdControl,defence-only aggregate
D7-E-14,enum,CombatAttributeType.Disruption,13 (0x0d),,GetType@DamageAttributeAbs_Disruption,NOT an involuntary state; no controller path
D7-E-15,enum,CombatAttributeType.CrowdControlCap,65 (0x41),0x001af020,GetType@DefenseAttributeDefenseCap_CrowdControl,
D7-1-01,rule,control_resistance_semantics,DURATION SCALAR,0x000d7620,ReduceDamage@CombatAttributeAbsDamage,"if attr.type==r.type: attr.value *= (1 - r/100); then attr.value = max(attr.value, 0). NOT a chance gate, NOT a threshold."
D7-1-02,rule,control_attribute_value_is_duration,TRUE; magnitude is hardcoded 1.0f,0x000d8b80,Execute@CombatAttributeReflexDamage,"calls target(+0x3e4)->AddFixedDamage(type=attr[+4], magnitude=1.0f, duration=attr[+0x1c], src, 0) and ONLY if attr[+0x1c] > 0."
D7-1-03,rule,resistance_composition,ADDITIVE SUM over accumulator entries of the same type,0x000de500,GetTotalDefenseType@CombatAttributeAccumulator,the count-divide branch is gated on type==0x27 (Absorption) only; for control types the divisor stays 0 and the sum is returned unaveraged.
D7-1-04,rule,defensiveCrowdControl_expansion,"Stun(42), Freeze(45), Petrify(46), Trap(44) — EXACTLY these four",0x001acc70,AddToAccumulator@DefenseAttributeAbs_CrowdControl,"emits four separate CombatAttribute defence entries carrying the SAME value; NOT Sleep, NOT Knockdown, NOT Confusion/Fear/Convert/Disruption."
D7-1-05,rule,defensiveCrowdControlMaxResist_expansion,"Stun(42), Freeze(45), Petrify(46), Trap(44) — EXACTLY these four",0x001af030,AddToAccumulator@DefenseAttributeDefenseCap_CrowdControl,
D7-1-06,rule,EoR_confound_resolution,"ADDITIVE, same pool",0x001acc70 + 0x000de500,(expansion) + (sum),stun_resist_effective = defensiveStun + defensiveCrowdControl. The channel bonus is not a separate multiplier and not a max().
D7-1-07,rule,resistance_cap_applied,"YES — min(cap, value) per accumulated entry",0x000d8ff0,Process@CombatAttributeAbsDefenseRestricted,"cap = Character::GetDefenseAttributeCap() + attr[+0x28]; applied only when cap > 0. Runs inside ProcessDefense, BEFORE GetTotalDefenseType sums."
D7-1-08,rule,player_defense_cap_source,Player field +0x3690,0x0032b720,GetDefenseAttributeCap@Player,`fld dword ptr [ecx+0x3690]; ret` — the gameengine.dbr playerDefenseCap seat.
D7-1-09,rule,cap_bonus_composition,ADDITIVE into attr[+0x28] when types match,0x000d7600,ModifyDefenseCap@CombatAttributeAbsDefense,attr[+0x28] += value.
D7-1-10,rule,duration_quantisation,buckets = (int)(duration_seconds * 10.0f); remaining_ms = buckets * 100,0x0020e08d / 0x0020dc30,fixed-entry insert / fixed-entry GetDuration,mulss 10.0f then cvttss2si (TRUNCATION). A 1.25 s stun becomes 12 buckets = 1.200 s.
