family,combat_attribute_type,character_entry_fn,character_entry_rva,controller_vtable_off,controller_slot_symbol,player_state_class,player_state_vftable_rva,vtable_slot,vtable_offset,request,verdict,occupant_rva,occupant_symbol,idle_occupant_rva,provenance,lap
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,54,0xd8,SelectPrimaryAction,PERMITTED,0x11c930,?SelectPrimaryAction@ControllerPlayerState@GAME@@UAE_N_N_N1ABVWorldVec3@2@AAI1@Z,0x11c930,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,55,0xdc,SelectSecondaryAction,PERMITTED,0x11cd70,?SelectSecondaryAction@ControllerPlayerState@GAME@@UAE_N_N0ABVWorldVec3@2@AAI0@Z,0x11cd70,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,56,0xe0,SelectJoystickAction,PERMITTED,0x11cee0,?SelectJoystickAction@ControllerPlayerState@GAME@@UAE_NABVWorldVec3@2@_N@Z,0x11cee0,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,57,0xe4,ActivateSuperSkill,PERMITTED,0x11cf10,?ActivateSuperSkill@ControllerPlayerState@GAME@@UAE_N_N0ABVWorldVec3@2@AAI@Z,0x11cf10,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,58,0xe8,RequestUseItem,PERMITTED,0x11ff50,?RequestUseItem@ControllerPlayerStateIdle@GAME@@MAE_NIW4ItemSource@2@_N@Z,0x11ff50,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,59,0xec,RequestReleasePet,PERMITTED,0x11ff60,?RequestReleasePet@ControllerPlayerStateIdle@GAME@@MAE_NI_N@Z,0x11ff60,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,60,0xf0,RequestUseItemOn,PERMITTED,0x11ff70,?RequestUseItemOn@ControllerPlayerStateIdle@GAME@@MAE_NIIW4ItemSource@2@I_N@Z,0x11ff70,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,61,0xf4,RequestItemAction,STUB-ret,0x3e4b0,?JoinMe@Character@GAME@@UAEXIH_N0@Z,0x11fef0,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,62,0xf8,RequestInteractableAction,STUB-ret,0x3e4b0,?JoinMe@Character@GAME@@UAEXIH_N0@Z,0x11ff00,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,63,0xfc,RequestNpcAction,STUB-ret,0x3e4b0,?JoinMe@Character@GAME@@UAEXIH_N0@Z,0x11fee0,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,64,0x100,RequestCompleteRelics,PERMITTED,0x11ff80,?RequestCompleteRelics@ControllerPlayerStateIdle@GAME@@MAE_NABV?$vector@I@mem@@@Z,0x11ff80,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,76,0x130,RequestSkillAction,STUB-false,0x5e070,?GetValidTarget@Skill_Move@GAME@@UBE?B_NABVCharacter@2@AAIABVWorldVec3@2@_NM@Z,0x11ff30,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,77,0x134,RequestInstantSkillAction,PERMITTED,0x11ff40,?RequestInstantSkillAction@ControllerPlayerStateIdle@GAME@@MAE_NIABVWorldVec3@2@AAI@Z,0x11ff40,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,78,0x138,RequestEvadeAction,STUB-false,0x2ffe0,?IncrementStack@ItemArtifact@GAME@@UAE_NIAAI@Z,0x11ff20,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,80,0x140,RequestMoveAction,STUB-ret,0x3e4c0,?GetTotalDamage@CombatAttribute@GAME@@UAEXPAVCharacter@2@AAM1@Z,0x11ff10,decoded,ref
Stun,0x2a,Character::BeginStun,0x5acc0,0x90,BeginStun@ControllerPlayer,ControllerPlayerStateStunned,0x5c06d0,81,0x144,RequestRotateAction,STUB-ret,0x84d0,?AddTimeToLive@Skill@GAME@@UAEXH@Z,0x60d80,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,54,0xd8,SelectPrimaryAction,PERMITTED,0x11c930,?SelectPrimaryAction@ControllerPlayerState@GAME@@UAE_N_N_N1ABVWorldVec3@2@AAI1@Z,0x11c930,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,55,0xdc,SelectSecondaryAction,PERMITTED,0x11cd70,?SelectSecondaryAction@ControllerPlayerState@GAME@@UAE_N_N0ABVWorldVec3@2@AAI0@Z,0x11cd70,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,56,0xe0,SelectJoystickAction,PERMITTED,0x11cee0,?SelectJoystickAction@ControllerPlayerState@GAME@@UAE_NABVWorldVec3@2@_N@Z,0x11cee0,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,57,0xe4,ActivateSuperSkill,PERMITTED,0x11cf10,?ActivateSuperSkill@ControllerPlayerState@GAME@@UAE_N_N0ABVWorldVec3@2@AAI@Z,0x11cf10,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,58,0xe8,RequestUseItem,PERMITTED,0x11ff50,?RequestUseItem@ControllerPlayerStateIdle@GAME@@MAE_NIW4ItemSource@2@_N@Z,0x11ff50,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,59,0xec,RequestReleasePet,PERMITTED,0x11ff60,?RequestReleasePet@ControllerPlayerStateIdle@GAME@@MAE_NI_N@Z,0x11ff60,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,60,0xf0,RequestUseItemOn,PERMITTED,0x11ff70,?RequestUseItemOn@ControllerPlayerStateIdle@GAME@@MAE_NIIW4ItemSource@2@I_N@Z,0x11ff70,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,61,0xf4,RequestItemAction,STUB-ret,0x3e4b0,?JoinMe@Character@GAME@@UAEXIH_N0@Z,0x11fef0,decoded,ref
Sleep,0x2b,Character::BeginSleep,0x5acc0,0xa8,BeginSleep@ControllerPlayer,ControllerPlayerStateSleep,0x5c0438,62,0xf8,RequestInteractableAction,STUB-ret,0x3e4b0,?JoinMe@Character@GAME@@UAEXIH_N0@Z,0x11ff00,decoded,ref
