vtable_slot,vtable_offset,request,idle_occupant_rva,Stunned,KnockedDown,Sleep,Trapped,Immobilized,UseSkill,ChargeToUseSkill,MoveAndUseSkill,MoveToUseSkill,JumpToUseSkill,UseSkillWhileTrapped,Evade,MoveTo
54,0xd8,SelectPrimaryAction,0x11c930,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
55,0xdc,SelectSecondaryAction,0x11cd70,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
56,0xe0,SelectJoystickAction,0x11cee0,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
57,0xe4,ActivateSuperSkill,0x11cf10,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
58,0xe8,RequestUseItem,0x11ff50,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
59,0xec,RequestReleasePet,0x11ff60,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
60,0xf0,RequestUseItemOn,0x11ff70,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
61,0xf4,RequestItemAction,0x11fef0,STUB-ret,STUB-ret,STUB-ret,STUB-ret,STUB-ret,IMPL,IMPL,IMPL,IMPL,IMPL,STUB-ret,IMPL,PERMITTED
62,0xf8,RequestInteractableAction,0x11ff00,STUB-ret,STUB-ret,STUB-ret,STUB-ret,STUB-ret,IMPL,IMPL,IMPL,IMPL,IMPL,STUB-ret,IMPL,PERMITTED
63,0xfc,RequestNpcAction,0x11fee0,STUB-ret,STUB-ret,STUB-ret,STUB-ret,STUB-ret,IMPL,IMPL,IMPL,IMPL,IMPL,STUB-ret,IMPL,PERMITTED
64,0x100,RequestCompleteRelics,0x11ff80,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED
76,0x130,RequestSkillAction,0x11ff30,STUB-false,STUB-false,STUB-false,IMPL,STUB-false,IMPL,IMPL,IMPL,IMPL,IMPL,IMPL,IMPL,PERMITTED
77,0x134,RequestInstantSkillAction,0x11ff40,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,PERMITTED,IMPL,PERMITTED,IMPL,PERMITTED,PERMITTED,PERMITTED,PERMITTED
78,0x138,RequestEvadeAction,0x11ff20,STUB-false,STUB-false,STUB-false,STUB-false,STUB-false,PERMITTED,IMPL,PERMITTED,IMPL,IMPL,STUB-false,IMPL,PERMITTED
80,0x140,RequestMoveAction,0x11ff10,STUB-ret,STUB-ret,STUB-ret,STUB-ret,STUB-ret,IMPL,IMPL,IMPL,IMPL,IMPL,STUB-ret,IMPL,IMPL
81,0x144,RequestRotateAction,0x60d80,STUB-ret,STUB-ret,STUB-ret,PERMITTED,STUB-ret,IMPL,STUB-ret,STUB-ret,STUB-ret,STUB-ret,STUB-ret,STUB-ret,STUB-ret
