layer,family,subject,occupant,rva,verdict,grade,method
record,controller_class,Deathstalker (normal),ControllerMonster,records/controllers/pets/controller_hellhound_normal.dbr,the pet's controller record declares Class = ControllerMonster,MEASURED,field read
record,controller_param,Deathstalker (normal),NeverFlee,records/controllers/pets/controller_hellhound_normal.dbr,FleeBehavior,MEASURED,field read
record,controller_param,Deathstalker (normal),14.0,records/controllers/pets/controller_hellhound_normal.dbr,ViewDistance,MEASURED,field read
record,controller_param,Deathstalker (normal),18.0,records/controllers/pets/controller_hellhound_normal.dbr,MaxPursuitDistance,MEASURED,field read
record,controller_param,Deathstalker (normal),23.0,records/controllers/pets/controller_hellhound_normal.dbr,TeleportToLeaderDistance,MEASURED,field read
record,controller_param,Deathstalker (normal),0,records/controllers/pets/controller_hellhound_normal.dbr,DodgeChance,MEASURED,field read
record,controller_param,Deathstalker (normal),0.0,records/controllers/pets/controller_hellhound_normal.dbr,minSwingPause,MEASURED,field read
record,controller_param,Deathstalker (normal),0.0,records/controllers/pets/controller_hellhound_normal.dbr,maxSwingPause,MEASURED,field read
record,controller_param,Deathstalker (normal),30,records/controllers/pets/controller_hellhound_normal.dbr,ignorePetsChance,MEASURED,field read
record,controller_param,Deathstalker (normal),30,records/controllers/pets/controller_hellhound_normal.dbr,petAngerTransference,MEASURED,field read
record,controller_class,Deathstalker (aggressive),ControllerMonster,records/controllers/pets/controller_hellhound_aggressive.dbr,the pet's controller record declares Class = ControllerMonster,MEASURED,field read
record,controller_param,Deathstalker (aggressive),NeverFlee,records/controllers/pets/controller_hellhound_aggressive.dbr,FleeBehavior,MEASURED,field read
record,controller_param,Deathstalker (aggressive),18.0,records/controllers/pets/controller_hellhound_aggressive.dbr,ViewDistance,MEASURED,field read
record,controller_param,Deathstalker (aggressive),20.0,records/controllers/pets/controller_hellhound_aggressive.dbr,MaxPursuitDistance,MEASURED,field read
record,controller_param,Deathstalker (aggressive),23.0,records/controllers/pets/controller_hellhound_aggressive.dbr,TeleportToLeaderDistance,MEASURED,field read
record,controller_param,Deathstalker (aggressive),0,records/controllers/pets/controller_hellhound_aggressive.dbr,DodgeChance,MEASURED,field read
record,controller_param,Deathstalker (aggressive),0.0,records/controllers/pets/controller_hellhound_aggressive.dbr,minSwingPause,MEASURED,field read
record,controller_param,Deathstalker (aggressive),0.0,records/controllers/pets/controller_hellhound_aggressive.dbr,maxSwingPause,MEASURED,field read
record,controller_param,Deathstalker (aggressive),30,records/controllers/pets/controller_hellhound_aggressive.dbr,ignorePetsChance,MEASURED,field read
record,controller_param,Deathstalker (aggressive),30,records/controllers/pets/controller_hellhound_aggressive.dbr,petAngerTransference,MEASURED,field read
record,controller_class,Deathstalker (defensive),ControllerMonster,records/controllers/pets/controller_hellhound_defensive.dbr,the pet's controller record declares Class = ControllerMonster,MEASURED,field read
record,controller_param,Deathstalker (defensive),NeverFlee,records/controllers/pets/controller_hellhound_defensive.dbr,FleeBehavior,MEASURED,field read
record,controller_param,Deathstalker (defensive),8.0,records/controllers/pets/controller_hellhound_defensive.dbr,ViewDistance,MEASURED,field read
record,controller_param,Deathstalker (defensive),16.0,records/controllers/pets/controller_hellhound_defensive.dbr,MaxPursuitDistance,MEASURED,field read
record,controller_param,Deathstalker (defensive),18.0,records/controllers/pets/controller_hellhound_defensive.dbr,TeleportToLeaderDistance,MEASURED,field read
record,controller_param,Deathstalker (defensive),0,records/controllers/pets/controller_hellhound_defensive.dbr,DodgeChance,MEASURED,field read
record,controller_param,Deathstalker (defensive),0.0,records/controllers/pets/controller_hellhound_defensive.dbr,minSwingPause,MEASURED,field read
record,controller_param,Deathstalker (defensive),0.0,records/controllers/pets/controller_hellhound_defensive.dbr,maxSwingPause,MEASURED,field read
record,controller_param,Deathstalker (defensive),30,records/controllers/pets/controller_hellhound_defensive.dbr,ignorePetsChance,MEASURED,field read
record,controller_param,Deathstalker (defensive),30,records/controllers/pets/controller_hellhound_defensive.dbr,petAngerTransference,MEASURED,field read
record,controller_class,Guardian of Empyrion,ControllerMonster,records/controllers/pets/controller_celestialguardian_aggressive.dbr,the pet's controller record declares Class = ControllerMonster,MEASURED,field read
record,controller_param,Guardian of Empyrion,NeverFlee,records/controllers/pets/controller_celestialguardian_aggressive.dbr,FleeBehavior,MEASURED,field read
record,controller_param,Guardian of Empyrion,18.0,records/controllers/pets/controller_celestialguardian_aggressive.dbr,ViewDistance,MEASURED,field read
record,controller_param,Guardian of Empyrion,15.0,records/controllers/pets/controller_celestialguardian_aggressive.dbr,MaxPursuitDistance,MEASURED,field read
record,controller_param,Guardian of Empyrion,15.0,records/controllers/pets/controller_celestialguardian_aggressive.dbr,TeleportToLeaderDistance,MEASURED,field read
record,controller_param,Guardian of Empyrion,0,records/controllers/pets/controller_celestialguardian_aggressive.dbr,DodgeChance,MEASURED,field read
record,controller_param,Guardian of Empyrion,0.0,records/controllers/pets/controller_celestialguardian_aggressive.dbr,minSwingPause,MEASURED,field read
record,controller_param,Guardian of Empyrion,0.0,records/controllers/pets/controller_celestialguardian_aggressive.dbr,maxSwingPause,MEASURED,field read
