summon,group,field,value,grade,source_record_or_rva,extraction_method
Guardian of Empyrion,chain,spawn_skill_record,records/skills/playerclass09/summon_celestialguardian1.dbr,MEASURED,records/skills/playerclass09/summon_celestialguardian1.dbr,"E3.merged, archives=gdx2"
Guardian of Empyrion,chain,spawn_skill_class,Skill_TargetedSpawnPet,MEASURED,records/skills/playerclass09/summon_celestialguardian1.dbr,field read
Guardian of Empyrion,chain,spawnObjects_len,26,MEASURED,records/skills/playerclass09/summon_celestialguardian1.dbr,field read
Guardian of Empyrion,chain,rank_eff_used,2,MEASURED,pm4g_defensive_actives.csv (B-3 § 0.1),inherited registered value
Guardian of Empyrion,chain,body_record,records/skills/playerclass09/pets/celestialguardian_02.dbr,DECODED,records/skills/playerclass09/summon_celestialguardian1.dbr,spawnObjects indexed by GetCurrentLevel@Skill via GetSpawnObject@Skill (SpawnPet@Skill_SpawnPet 0x0041c884/0x0041c8ae); spawnObjects[rank_eff-1]
Guardian of Empyrion,chain,body_archives,gdx2|gdx3,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,arz index
Guardian of Empyrion,body,Class,PetPlayerScaling,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,templateName,database/templates/petplayerscaling.tpl,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,monsterClassification,Champion,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,invincible,True,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,invincible_SEMANTICS,"Load@Character (0x00043d0a/0x00043d17) writes this field to BOTH Character+0x1845 and +0x1844. IsInvincible@Character (0x00059c80) = read of +0x1844, Character vtable slot 262 (+0x418), inherited unchanged by Monster/Pet/PetPlayerScaling. FIVE gates early-return on it: SubtractLife@Character 0x000542b4, SubtractLife@SkillManager 0x004405f1, AddDamage@DurationDamageManager 0x00208a53, AddFixedDamage@DurationDamageManager 0x00208d46, DebufTarget@Character 0x0005302f. IsTargetable@Monster (0x002dc783) deliberately BYPASSES the runtime test for an invincible-in-DBR body, so it stays targetable.",DECODED,Game.dll 0x00043d0a / 0x00059c80 / 0x00043d17 / 0x002dc783,"byte-exact disp32 scans for 0x1844, 0x1845 and 0x418 over .text; every hit decoded"
Guardian of Empyrion,body,factions,records/controllers/factions/faction_player.dbr,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,charLevel_equation,charLevel*1,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,controller,records/controllers/pets/controller_celestialguardian_aggressive.dbr,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,controllerAggressive,,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,controllerDefensive,,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
Guardian of Empyrion,body,causesAnger,False,MEASURED,records/skills/playerclass09/pets/celestialguardian_02.dbr,field read
