====================================================================================================
records/skills/itemskillsgdx1/pets/itempet_deathstalker_a01.dbr   owners= ['gdx1']   found= True
   Class                                        'PetPlayerScaling'
   LowerHealthDisplayPercentage                 0.0
   MonsterMusicRadius                           0.0
   StatusIcon                                   'ui/skills/icons/itemskills/skillicon_manticoresummonpurple1up.tex'
   StatusIconRed                                'ui/skills/icons/class06/skillicon_manticoresummon1up_red.tex'
   UpperHealthDisplayPercentage                 100.0
   actorHeight                                  2.0
   actorRadius                                  0.0
   alertAnimChance                              0
   alertSound                                   'records/sounds/enemies/vocalizations/spak_manticorealert.dbr'
   alertSoundChance                             50.0
   allowTransparency                            False
   ambientPeriodMax                             0.0
   ambientPeriodMin                             0.0
   ambushDissolveTexture                        'system/textures/cloud.tex'
   ambushDissolveTime                           0
   angerMultiplier                              0.0
   attackSkillName                              'records/skills/itemskillsgdx1/pets/petskill_deathstalker_basicattack.dbr'
   attackSound                                  'records/sounds/enemies/combatbasic/spak_bite_organic.dbr'
   avoidForce                                   0.5
   baseTexture                                  'creatures/enemies/manticore/manticorel01_dif.tex'
   bodyFallSoundChance                          100.0
   buffSelfSkillName                            'records/skills/itemskillsgdx1/pets/petskill_deathstalker_auraofdarkness.dbr'
   castsShadows                                 True
   causesAnger                                  False
   chanceToEquipFinger1                         0.0
   chanceToEquipFinger1Item1                    0
   chanceToEquipFinger1Item2                    0
   chanceToEquipFinger1Item3                    0
   chanceToEquipFinger1Item4                    0
   chanceToEquipFinger1Item5                    0
   chanceToEquipFinger1Item6                    0
   chanceToEquipFinger2                         0.0
   chanceToEquipFinger2Item1                    0
   chanceToEquipFinger2Item2                    0
   chanceToEquipFinger2Item3                    0
   chanceToEquipFinger2Item4                    0
   chanceToEquipFinger2Item5                    0
   chanceToEquipFinger2Item6                    0
   chanceToEquipHead                            0.0
   chanceToEquipHeadItem1                       0
   chanceToEquipHeadItem2                       0
   chanceToEquipHeadItem3                       0
   chanceToEquipHeadItem4                       0
   chanceToEquipHeadItem5                       0
   chanceToEquipHeadItem6                       0
