### EDITION III
  archive base  /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/database/database.arz
          sha256 2ad6d379285cfb745462316949e8d59e9450cb58a13f9ffa2fdeb70193183bfd   records=34171
  archive gdx1  /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/gdx1/database/GDX1.arz
          sha256 431e64e1d372e4ebee5d1048d3aca458923e1df8c97844274636f5373a01e292   records=18453
  archive gdx2  /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/gdx2/database/GDX2.arz
          sha256 13fa0b93be15835958968ad672b9efa5159d7221a279aca791590390dd81a072   records=16454
  archive gdx3  /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/gdx3/database/GDX3.arz
          sha256 e990e1265f14ff2ee241658433d4d666d399a5b0be27543ae9481fc97d6a2ae4   records=24307
  archive sm1   /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/survivalmode1/database/SurvivalMode1.arz
          sha256 6ac10d6180bfa8491edfc89946d1cfbf166c5ca6442c5862ecf6947290021252   records=1005
  archive sm2   /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/survivalmode2/database/SurvivalMode2.arz
          sha256 940e40344e9dde53bfac8ff6576940d52ebfece600adeabe3774f9f0c3071e95   records=811
  archive sm3   /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/survivalmode3/database/SurvivalMode3.arz
          sha256 e848791e4b15496670e4c78832075d9868e7b502e6eed93715c24e894902e12a   records=1433

--- records/skills/playerclass01/blitz1.dbr
  [base] rtype=Skill_AttackWeaponCharge  fields=670
    Axe                                            True
    Axe2h                                          True
    Class                                          Skill_AttackWeaponCharge
    Dagger                                         True
    Mace                                           True
    Mace2h                                         True
    Magical                                        False
    Ranged1h                                       False
    Ranged2h                                       False
    Scepter                                        True
    Shield                                         False
    Spear                                          False
    Spear2h                                        True
    Staff                                          False
    Sword                                          True
    Sword2h                                        True
    cameraShakeAmplitude                           0.5
    cameraShakeDurationSecs                        0.25
    characterAttackSpeed                           0
    characterAttackSpeedModifier                   0
    characterBaseAttackSpeedTag                    CharacterAttackSpeedAverage
    characterDefensiveAbility                      0
    characterDefensiveAbilityModifier              0
    characterDexterity                             0
    characterDexterityModifier                     0
    characterIntelligence                          0
    characterIntelligenceModifier                  0
    characterLife                                  0
    characterLifeModifier                          0
    characterLifeRegen                             0
    characterLifeRegenModifier                     0
    characterLightRadius                           0
    characterMana                                  0
    characterManaLimitReserve                      0
    characterManaLimitReserveModifier              0
    characterManaLimitReserveReduction             0
    characterManaLimitReserveReductionModifier     0
    characterManaModifier                          0
    characterManaRegen                             0
    characterManaRegenModifier                     0
    characterOffensiveAbility                      0
    characterOffensiveAbilityModifier              0
    characterRunSpeed                              0
    characterRunSpeedJitter                        0
    characterRunSpeedModifier                      300
    characterSpellCastSpeed                        0
    characterSpellCastSpeedModifier                0
    characterStrength                              0
    characterStrengthModifier                      0
    defensiveAbsorption                            0
    defensiveAbsorptionChance                      0
    defensiveAbsorptionModifier                    0
    defensiveAbsorptionModifierChance              0
    defensiveAether                                0
    defensiveAetherChance                          0
    defensiveAetherDuration                        0
    defensiveAetherDurationChance                  0
    defensiveAetherDurationModifier                0
    defensiveAetherDurationModifierChance          0
    defensiveAetherModifier                        0
    defensiveAetherModifierChance                  0
    defensiveChaos                                 0
    defensiveChaosChance                           0
    defensiveChaosDuration                         0
    defensiveChaosDurationChance                   0
    defensiveChaosDurationModifier                 0
    defensiveChaosDurationModifierChance           0
    defensiveChaosModifier                         0
    defensiveChaosModifierChance                   0
    defensiveCold                                  0
    defensiveColdChance                            0
    defensiveColdDuration                          0
    defensiveColdDurationChance                    0
    defensiveColdDurationModifier                  0
    defensiveColdDurationModifierChance            0
    defensiveColdModifier                          0
    defensiveColdModifierChance                    0
    defensiveFire                                  0
    defensiveFireChance                            0
    defensiveFireDuration                          0
    defensiveFireDurationChance                    0
    defensiveFireDurationModifier                  0
    defensiveFireDurationModifierChance            0
    defensiveFireModifier                          0
    defensiveFireModifierChance                    0
    defensiveKnockdown                             0
    defensiveKnockdownChance                       0
    defensiveKnockdownModifier                     0
    defensiveKnockdownModifierChance               0
    defensiveLife                                  0
    defensiveLifeChance                            0
    defensiveLifeDuration                          0
    defensiveLifeDurationChance                    0
    defensiveLifeDurationModifier                  0
    defensiveLifeDurationModifierChance            0
    defensiveLifeModifier                          0
    defensiveLifeModifierChance                    0
    defensiveLightning                             0
    defensiveLightningChance                       0
    defensiveLightningDuration                     0
    defensiveLightningDurationChance               0
    defensiveLightningDurationModifier             0
    defensiveLightningDurationModifierChance       0
    defensiveLightningModifier                     0
    defensiveLightningModifierChance               0
    defensivePhysical                              0
    defensivePhysicalChance                        0
    defensivePhysicalDuration                      0
    defensivePhysicalDurationChance                0
    defensivePhysicalDurationChanceModifier        0
    defensivePhysicalDurationModifier              0
    defensivePhysicalModifier                      0
    defensivePhysicalModifierChance                0
    defensivePierce                                0
    defensivePierceChance                          0
    defensivePierceDuration                        0
    defensivePierceDurationChance                  0
    defensivePierceDurationModifier                0
    defensivePierceDurationModifierChance          0
    defensivePierceModifier                        0
    defensivePierceModifierChance                  0
    defensivePoison                                0
    defensivePoisonChance                          0
    defensivePoisonDuration                        0
    defensivePoisonDurationChance                  0
    defensivePoisonDurationModifier                0
    defensivePoisonDurationModifierChance          0
    defensivePoisonModifier                        0
    defensivePoisonModifierChance                  0
    defensiveProtection                            0
    defensiveProtectionChance                      0
    defensiveProtectionModifier                    0
    defensiveProtectionModifierChance              0
    defensiveSlowLifeLeach                         0
    defensiveSlowLifeLeachChance                   0
    defensiveSlowLifeLeachDuration                 0
    defensiveSlowLifeLeachDurationChance           0
    defensiveSlowLifeLeachDurationModifier         0
    defensiveSlowLifeLeachDurationModifierChance   0
    defensiveSlowLifeLeachModifier                 0
    defensiveSlowLifeLeachModifierChance           0
    defensiveSlowManaLeach                         0
    defensiveSlowManaLeachChance                   0
    defensiveSlowManaLeachDuration                 0
    defensiveSlowManaLeachDurationChance           0
    defensiveSlowManaLeachDurationModifier         0
    defensiveSlowManaLeachDurationModifierChance   0
    defensiveSlowManaLeachModifier                 0
    defensiveSlowManaLeachModifierChance           0
    defensiveStun                                  0
    defensiveStunChance                            0
    defensiveStunModifier                          0
    defensiveStunModifierChance                    0
    distanceProfile                                Melee
    dualWieldOnly                                  False
    excludeRacialDamage                            False
    exclusiveSkill                                 False
    isPetDisplayable                               False
    offensiveAetherChance                          0
    offensiveAetherGlobal                          False
    offensiveAetherMax                             0
    offensiveAetherMin                             0
    offensiveAetherModifier                        0
    offensiveAetherModifierChance                  0
    offensiveAetherXOR                             False
    offensiveChaosChance                           0
    offensiveChaosGlobal                           False
    offensiveChaosMax                              0
    offensiveChaosMin                              0
    offensiveChaosModifier                         0
    offensiveChaosModifierChance                   0
    offensiveChaosXOR                              False
    offensiveColdChance                            0
    offensiveColdGlobal                            False
    offensiveColdMax                               0
    offensiveColdMin                               0
    offensiveColdModifier                          0
    offensiveColdModifierChance                    0
    offensiveColdXOR                               False
    offensiveConfusionChance                       0
    offensiveConfusionGlobal                       False
    offensiveConfusionMax                          0
    offensiveConfusionMin                          0
    offensiveConfusionXOR                          False
    offensiveConvertChance                         0
    offensiveConvertGlobal                         False
    offensiveConvertMax                            0
    offensiveConvertMin                            0
    offensiveConvertXOR                            False
    offensiveFearChance                            0
    offensiveFearGlobal                            False
    offensiveFearMax                               0
    offensiveFearMin                               0
    offensiveFearXOR                               False
    offensiveFireChance                            0
    offensiveFireGlobal                            False
    offensiveFireMax                               0
    offensiveFireMin                               0
    offensiveFireModifier                          0
    offensiveFireModifierChance                    0
    offensiveFireXOR                               False
    offensiveGlobalChance                          0
    offensiveKnockdownChance                       0
    offensiveKnockdownGlobal                       False
