#### EDITION III
-- Blitz (slot L / left-mouse)  [base] rank=1
     Class                            = 'Skill_AttackWeaponCharge'
     targetingMode                    = MEASURED-ABSENT
     skillTargetRadius                = MEASURED-ABSENT
     skillTargetNumber                = 3
     skillTargetAngle                 = 180.0
     distanceProfile                  = 'Melee'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = 3.5
     characterRunSpeedModifier        = 300.0
     endRadiusMultiplier              = MEASURED-ABSENT
-- Eye of Reckoning (slot R / right-mouse)  [gdx2] rank=15
     Class                            = 'Skill_AttackRadiusSpin'
     targetingMode                    = 'Point'
     skillTargetRadius                = 3.0
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = 'Melee'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = MEASURED-ABSENT
     characterRunSpeedModifier        = MEASURED-ABSENT
     endRadiusMultiplier              = MEASURED-ABSENT
-- Vire's Might (key 2)  [gdx2] rank=1
     Class                            = 'Skill_AttackPathCharge'
     targetingMode                    = 'Point'
     skillTargetRadius                = 2.200000047683716
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = 'Long'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = 3.5999999046325684
     characterRunSpeedModifier        = 250.0
     endRadiusMultiplier              = 1.5
-- War Cry (key 3)  [base] rank=12
     Class                            = 'Skill_AttackRadius'
     targetingMode                    = MEASURED-ABSENT
     skillTargetRadius                = 16.0   (rank-array n=22, idx 11)
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = 'Short'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = 7.5
     characterRunSpeedModifier        = MEASURED-ABSENT
     endRadiusMultiplier              = MEASURED-ABSENT
-- Ascension (key 4)  [gdx2] rank=1
     Class                            = 'Skill_BuffSelfDuration'
     targetingMode                    = MEASURED-ABSENT
     skillTargetRadius                = MEASURED-ABSENT
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = 'Short'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = 24.0
     characterRunSpeedModifier        = 0.0
     endRadiusMultiplier              = MEASURED-ABSENT
-- defaultweaponattack  [base] rank=1
     Class                            = 'Skill_WeaponPool_Default'
     targetingMode                    = MEASURED-ABSENT
     skillTargetRadius                = MEASURED-ABSENT
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = MEASURED-ABSENT
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = MEASURED-ABSENT
     characterRunSpeedModifier        = MEASURED-ABSENT
     endRadiusMultiplier              = MEASURED-ABSENT
#### EDITION I
-- Blitz (slot L / left-mouse)  [base] rank=1
     Class                            = 'Skill_AttackWeaponCharge'
     targetingMode                    = MEASURED-ABSENT
     skillTargetRadius                = MEASURED-ABSENT
     skillTargetNumber                = 3
     skillTargetAngle                 = 180.0
     distanceProfile                  = 'Melee'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = 3.5
     characterRunSpeedModifier        = 300.0
     endRadiusMultiplier              = MEASURED-ABSENT
-- Eye of Reckoning (slot R / right-mouse)  [gdx2] rank=15
     Class                            = 'Skill_AttackRadiusSpin'
     targetingMode                    = 'Point'
     skillTargetRadius                = 3.0
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = 'Melee'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = MEASURED-ABSENT
     characterRunSpeedModifier        = MEASURED-ABSENT
     endRadiusMultiplier              = MEASURED-ABSENT
-- Vire's Might (key 2)  [gdx2] rank=1
     Class                            = 'Skill_AttackPathCharge'
     targetingMode                    = 'Point'
     skillTargetRadius                = 2.200000047683716
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = 'Long'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = 3.5999999046325684
     characterRunSpeedModifier        = 250.0
     endRadiusMultiplier              = 1.5
-- War Cry (key 3)  [base] rank=12
     Class                            = 'Skill_AttackRadius'
     targetingMode                    = MEASURED-ABSENT
     skillTargetRadius                = 16.0   (rank-array n=22, idx 11)
     skillTargetNumber                = MEASURED-ABSENT
     skillTargetAngle                 = MEASURED-ABSENT
     distanceProfile                  = 'Short'
     autoTargetRadius                 = MEASURED-ABSENT
     targetType                       = MEASURED-ABSENT
     selfTarget                       = MEASURED-ABSENT
     skillTargetInterval              = MEASURED-ABSENT
     skillProjectileTargetGroundOnly  = MEASURED-ABSENT
     skillCooldownTime                = 7.5
     characterRunSpeedModifier        = MEASURED-ABSENT
     endRadiusMultiplier              = MEASURED-ABSENT
-- Ascension (key 4)  [gdx2] rank=1
     Class                            = 'Skill_BuffSelfDuration'
     targetingMode                    = MEASURED-ABSENT
     skillTargetRadius                = MEASURED-ABSENT
